file_name,project_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
C:\mined_repos\CSC-IT-Center-for-Science\pouta-blueprints\pebbles\tests\fixtures.py,CSC-IT-Center-for-Science_pouta-blueprints,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\CSC-IT-Center-for-Science\pouta-blueprints\pebbles\tests\selenium_test_login.py,CSC-IT-Center-for-Science_pouta-blueprints,0.0,0.0,2.0,0.0,1.0
C:\mined_repos\CSC-IT-Center-for-Science\pouta-blueprints\pebbles\tests\test_docker_driver.py,CSC-IT-Center-for-Science_pouta-blueprints,0.0,0.0,3.0,1.0,1.0
C:\mined_repos\CSC-IT-Center-for-Science\pouta-blueprints\pebbles\tests\test_ext.py,CSC-IT-Center-for-Science_pouta-blueprints,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\CSC-IT-Center-for-Science\pouta-blueprints\pebbles\tests\test_flask_api.py,CSC-IT-Center-for-Science_pouta-blueprints,0.0,0.0,71.0,0.0,1.0
C:\mined_repos\CSC-IT-Center-for-Science\pouta-blueprints\pebbles\tests\test_misc.py,CSC-IT-Center-for-Science_pouta-blueprints,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\CSC-IT-Center-for-Science\pouta-blueprints\pebbles\tests\test_mocks.py,CSC-IT-Center-for-Science_pouta-blueprints,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\CSC-IT-Center-for-Science\pouta-blueprints\pebbles\tests\test_models.py,CSC-IT-Center-for-Science_pouta-blueprints,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\CSC-IT-Center-for-Science\pouta-blueprints\pebbles\tests\test_openshift_driver.py,CSC-IT-Center-for-Science_pouta-blueprints,0.0,0.0,0.0,5.0,1.0
C:\mined_repos\CSC-IT-Center-for-Science\pouta-blueprints\pebbles\tests\test_openshift_template_driver.py,CSC-IT-Center-for-Science_pouta-blueprints,0.0,0.0,0.0,3.0,1.0
C:\mined_repos\CSC-IT-Center-for-Science\pouta-blueprints\pebbles\tests\test_openstack_service.py,CSC-IT-Center-for-Science_pouta-blueprints,0.0,0.0,0.0,2.0,1.0
C:\mined_repos\CSC-IT-Center-for-Science\pouta-blueprints\pebbles\tests\__init__.py,CSC-IT-Center-for-Science_pouta-blueprints,0.0,0.0,0.0,0.0,1.0
