file_name,project_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
C:\mined_repos\CentOS-PaaS-SIG\linchpin\linchpin\tests\mockdata\beaker\bkr-new.yml,CentOS-PaaS-SIG_linchpin,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\CentOS-PaaS-SIG\linchpin\linchpin\tests\mockdata\dummy\PinFile-complete.yml,CentOS-PaaS-SIG_linchpin,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\CentOS-PaaS-SIG\linchpin\linchpin\tests\mockdata\dummy\PinFile-old.yml,CentOS-PaaS-SIG_linchpin,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\CentOS-PaaS-SIG\linchpin\linchpin\tests\mockdata\dummy\fetch\ws1\hooks\ansible\installopenshift\copy_tars.yml,CentOS-PaaS-SIG_linchpin,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\CentOS-PaaS-SIG\linchpin\linchpin\tests\mockdata\dummy\fetch\ws1\hooks\ansible\installopenshift\fetch_e2e.yml,CentOS-PaaS-SIG_linchpin,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\CentOS-PaaS-SIG\linchpin\linchpin\tests\mockdata\dummy\fetch\ws1\hooks\ansible\libvirt-setup\fetch_ips.yml,CentOS-PaaS-SIG_linchpin,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\CentOS-PaaS-SIG\linchpin\linchpin\tests\mockdata\dummy\fetch\ws1\hooks\ansible\libvirt-setup\generate_inventory.yml,CentOS-PaaS-SIG_linchpin,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\CentOS-PaaS-SIG\linchpin\linchpin\tests\mockdata\dummy\fetch\ws1\hooks\ansible\libvirt-setup\setup-libvirt-image.yml,CentOS-PaaS-SIG_linchpin,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\CentOS-PaaS-SIG\linchpin\linchpin\tests\mockdata\dummy\fetch\ws1\hooks\ansible\libvirt-setup\setup-system.yml,CentOS-PaaS-SIG_linchpin,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\CentOS-PaaS-SIG\linchpin\linchpin\tests\mockdata\dummy\fetch\ws1\hooks\ansible\libvirt-setup\roles\libvirt-system\tasks\main.yml,CentOS-PaaS-SIG_linchpin,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\CentOS-PaaS-SIG\linchpin\linchpin\tests\mockdata\dummy\fetch\ws1\hooks\ansible\libvirt-setup\roles\libvirt-system\tasks\vm-destroy.yml,CentOS-PaaS-SIG_linchpin,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\CentOS-PaaS-SIG\linchpin\linchpin\tests\mockdata\dummy\fetch\ws1\hooks\ansible\libvirt-setup\roles\libvirt-system\tasks\vm-import.yml,CentOS-PaaS-SIG_linchpin,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\CentOS-PaaS-SIG\linchpin\linchpin\tests\mockdata\dummy\fetch\ws1\hooks\ansible\libvirt-setup\roles\libvirt-system\tasks\vm-init.yml,CentOS-PaaS-SIG_linchpin,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\CentOS-PaaS-SIG\linchpin\linchpin\tests\mockdata\dummy\fetch\ws1\hooks\ansible\libvirt-setup\roles\libvirt-system\tasks\vm-storage.yml,CentOS-PaaS-SIG_linchpin,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\CentOS-PaaS-SIG\linchpin\linchpin\tests\mockdata\dummy\fetch\ws1\hooks\ansible\post_up\install_preqs.yaml,CentOS-PaaS-SIG_linchpin,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\CentOS-PaaS-SIG\linchpin\linchpin\tests\mockdata\dummy\fetch\ws1\hooks\ansible\post_up\test_playbook.yaml,CentOS-PaaS-SIG_linchpin,0.0,1.0,0.0,0.0,1.0
C:\mined_repos\CentOS-PaaS-SIG\linchpin\linchpin\tests\mockdata\dummy\fetch\ws1\hooks\ansible\post_up\test_var.yaml,CentOS-PaaS-SIG_linchpin,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\CentOS-PaaS-SIG\linchpin\linchpin\tests\mockdata\dummy\fetch\ws1\layouts\1node_layout.yml,CentOS-PaaS-SIG_linchpin,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\CentOS-PaaS-SIG\linchpin\linchpin\tests\mockdata\dummy\fetch\ws1\layouts\3node_layout.yml,CentOS-PaaS-SIG_linchpin,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\CentOS-PaaS-SIG\linchpin\linchpin\tests\mockdata\dummy\fetch\ws1\layouts\dummy-layout.yml,CentOS-PaaS-SIG_linchpin,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\CentOS-PaaS-SIG\linchpin\linchpin\tests\mockdata\dummy\fetch\ws1\layouts\example-layout.yml,CentOS-PaaS-SIG_linchpin,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\CentOS-PaaS-SIG\linchpin\linchpin\tests\mockdata\dummy\fetch\ws1\topologies\duffy_1node.yml,CentOS-PaaS-SIG_linchpin,0.0,0.0,0.0,0.0,1.0
