file_name,project_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
C:\mined_repos\CumulusNetworks\cumulus-linux-ansible-modules\tests\acceptance\playbook\default.yml,CumulusNetworks_cumulus-linux-ansible-modules,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\CumulusNetworks\cumulus-linux-ansible-modules\tests\acceptance\playbook\defaults\main.yml,CumulusNetworks_cumulus-linux-ansible-modules,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\CumulusNetworks\cumulus-linux-ansible-modules\tests\acceptance\playbook\handlers\main.yml,CumulusNetworks_cumulus-linux-ansible-modules,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\CumulusNetworks\cumulus-linux-ansible-modules\tests\acceptance\playbook\tasks\bonds.yml,CumulusNetworks_cumulus-linux-ansible-modules,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\CumulusNetworks\cumulus-linux-ansible-modules\tests\acceptance\playbook\tasks\bridges.yml,CumulusNetworks_cumulus-linux-ansible-modules,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\CumulusNetworks\cumulus-linux-ansible-modules\tests\acceptance\playbook\tasks\interfaces.yml,CumulusNetworks_cumulus-linux-ansible-modules,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\CumulusNetworks\cumulus-linux-ansible-modules\tests\acceptance\playbook\tasks\interface_policy.yml,CumulusNetworks_cumulus-linux-ansible-modules,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\CumulusNetworks\cumulus-linux-ansible-modules\tests\acceptance\playbook\tasks\license.yml,CumulusNetworks_cumulus-linux-ansible-modules,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\CumulusNetworks\cumulus-linux-ansible-modules\tests\acceptance\playbook\tasks\ports.yml,CumulusNetworks_cumulus-linux-ansible-modules,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\CumulusNetworks\cumulus-linux-ansible-modules\tests\asserts.py,CumulusNetworks_cumulus-linux-ansible-modules,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\CumulusNetworks\cumulus-linux-ansible-modules\tests\error_after.py,CumulusNetworks_cumulus-linux-ansible-modules,0.0,0.0,0.0,1.0,1.0
C:\mined_repos\CumulusNetworks\cumulus-linux-ansible-modules\tests\test_cl_bond.py,CumulusNetworks_cumulus-linux-ansible-modules,0.0,0.0,2.0,0.0,1.0
C:\mined_repos\CumulusNetworks\cumulus-linux-ansible-modules\tests\test_cl_bridge.py,CumulusNetworks_cumulus-linux-ansible-modules,0.0,0.0,2.0,0.0,1.0
C:\mined_repos\CumulusNetworks\cumulus-linux-ansible-modules\tests\test_cl_img_install.py,CumulusNetworks_cumulus-linux-ansible-modules,0.0,0.0,4.0,2.0,1.0
C:\mined_repos\CumulusNetworks\cumulus-linux-ansible-modules\tests\test_cl_interface.py,CumulusNetworks_cumulus-linux-ansible-modules,0.0,0.0,2.0,0.0,1.0
C:\mined_repos\CumulusNetworks\cumulus-linux-ansible-modules\tests\test_cl_interface_policy.py,CumulusNetworks_cumulus-linux-ansible-modules,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\CumulusNetworks\cumulus-linux-ansible-modules\tests\test_cl_license.py,CumulusNetworks_cumulus-linux-ansible-modules,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\CumulusNetworks\cumulus-linux-ansible-modules\tests\test_cl_ports.py,CumulusNetworks_cumulus-linux-ansible-modules,0.0,0.0,3.0,0.0,1.0
C:\mined_repos\CumulusNetworks\cumulus-linux-ansible-modules\tests\test_cl_prefix_check.py,CumulusNetworks_cumulus-linux-ansible-modules,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\CumulusNetworks\cumulus-linux-ansible-modules\tests\test_cl_quagga_ospf.py,CumulusNetworks_cumulus-linux-ansible-modules,0.0,0.0,7.0,0.0,1.0
C:\mined_repos\CumulusNetworks\cumulus-linux-ansible-modules\tests\test_cl_quagga_protocol.py,CumulusNetworks_cumulus-linux-ansible-modules,0.0,0.0,1.0,0.0,1.0
