file_name,project_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
C:\mined_repos\CyberAnalyticDevTeam\SimpleRock\roles\docket\tests\test.yml,CyberAnalyticDevTeam_SimpleRock,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\CyberAnalyticDevTeam\SimpleRock\roles\kafka\tests\test.yml,CyberAnalyticDevTeam_SimpleRock,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\CyberAnalyticDevTeam\SimpleRock\roles\stenographer\tests\test.yml,CyberAnalyticDevTeam_SimpleRock,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\CyberAnalyticDevTeam\SimpleRock\roles\suricata\tests\test.yml,CyberAnalyticDevTeam_SimpleRock,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\CyberAnalyticDevTeam\SimpleRock\roles\zeek\tests\test.yml,CyberAnalyticDevTeam_SimpleRock,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\CyberAnalyticDevTeam\SimpleRock\roles\zookeeper\tests\test.yml,CyberAnalyticDevTeam_SimpleRock,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\CyberAnalyticDevTeam\SimpleRock\tests\test_common.py,CyberAnalyticDevTeam_SimpleRock,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\CyberAnalyticDevTeam\SimpleRock\tests\test_docket.py,CyberAnalyticDevTeam_SimpleRock,0.0,0.0,1.0,1.0,1.0
C:\mined_repos\CyberAnalyticDevTeam\SimpleRock\tests\test_elasticsearch.py,CyberAnalyticDevTeam_SimpleRock,0.0,0.0,2.0,0.0,1.0
C:\mined_repos\CyberAnalyticDevTeam\SimpleRock\tests\test_filebeat.py,CyberAnalyticDevTeam_SimpleRock,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\CyberAnalyticDevTeam\SimpleRock\tests\test_fsf.py,CyberAnalyticDevTeam_SimpleRock,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\CyberAnalyticDevTeam\SimpleRock\tests\test_kafka.py,CyberAnalyticDevTeam_SimpleRock,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\CyberAnalyticDevTeam\SimpleRock\tests\test_kibana.py,CyberAnalyticDevTeam_SimpleRock,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\CyberAnalyticDevTeam\SimpleRock\tests\test_lighttpd.py,CyberAnalyticDevTeam_SimpleRock,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\CyberAnalyticDevTeam\SimpleRock\tests\test_logstash.py,CyberAnalyticDevTeam_SimpleRock,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\CyberAnalyticDevTeam\SimpleRock\tests\test_sensor.py,CyberAnalyticDevTeam_SimpleRock,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\CyberAnalyticDevTeam\SimpleRock\tests\test_stenographer.py,CyberAnalyticDevTeam_SimpleRock,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\CyberAnalyticDevTeam\SimpleRock\tests\test_suricata.py,CyberAnalyticDevTeam_SimpleRock,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\CyberAnalyticDevTeam\SimpleRock\tests\test_zeek.py,CyberAnalyticDevTeam_SimpleRock,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\CyberAnalyticDevTeam\SimpleRock\tests\test_zookeeper.py,CyberAnalyticDevTeam_SimpleRock,0.0,0.0,2.0,0.0,1.0
