file_name,project_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
C:\mined_repos\F5Networks\f5-ansible-modules\ansible_collections\f5networks\f5_modules\tests\unit\requirements.yml,F5Networks_f5-ansible-modules,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\F5Networks\f5-ansible-modules\ansible_collections\f5networks\f5_modules\tests\__init__.py,F5Networks_f5-ansible-modules,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\F5Networks\f5-ansible-modules\ansible_collections\f5networks\f5_modules\tests\unit\__init__.py,F5Networks_f5-ansible-modules,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\F5Networks\f5-ansible-modules\ansible_collections\f5networks\f5_modules\tests\unit\compat\builtins.py,F5Networks_f5-ansible-modules,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\F5Networks\f5-ansible-modules\ansible_collections\f5networks\f5_modules\tests\unit\compat\mock.py,F5Networks_f5-ansible-modules,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\F5Networks\f5-ansible-modules\ansible_collections\f5networks\f5_modules\tests\unit\compat\unittest.py,F5Networks_f5-ansible-modules,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\F5Networks\f5-ansible-modules\ansible_collections\f5networks\f5_modules\tests\unit\compat\__init__.py,F5Networks_f5-ansible-modules,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\F5Networks\f5-ansible-modules\ansible_collections\f5networks\f5_modules\tests\unit\mock\loader.py,F5Networks_f5-ansible-modules,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\F5Networks\f5-ansible-modules\ansible_collections\f5networks\f5_modules\tests\unit\mock\path.py,F5Networks_f5-ansible-modules,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\F5Networks\f5-ansible-modules\ansible_collections\f5networks\f5_modules\tests\unit\mock\vault_helper.py,F5Networks_f5-ansible-modules,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\F5Networks\f5-ansible-modules\ansible_collections\f5networks\f5_modules\tests\unit\mock\yaml_helper.py,F5Networks_f5-ansible-modules,0.0,0.0,2.0,0.0,1.0
C:\mined_repos\F5Networks\f5-ansible-modules\ansible_collections\f5networks\f5_modules\tests\unit\mock\__init__.py,F5Networks_f5-ansible-modules,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\F5Networks\f5-ansible-modules\ansible_collections\f5networks\f5_modules\tests\unit\modules\conftest.py,F5Networks_f5-ansible-modules,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\F5Networks\f5-ansible-modules\ansible_collections\f5networks\f5_modules\tests\unit\modules\utils.py,F5Networks_f5-ansible-modules,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\F5Networks\f5-ansible-modules\ansible_collections\f5networks\f5_modules\tests\unit\modules\__init__.py,F5Networks_f5-ansible-modules,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\F5Networks\f5-ansible-modules\ansible_collections\f5networks\f5_modules\tests\unit\modules\network\__init__.py,F5Networks_f5-ansible-modules,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\F5Networks\f5-ansible-modules\ansible_collections\f5networks\f5_modules\tests\unit\modules\network\f5\test_bigip_apm_acl.py,F5Networks_f5-ansible-modules,0.0,0.0,4.0,2.0,0.0
C:\mined_repos\F5Networks\f5-ansible-modules\ansible_collections\f5networks\f5_modules\tests\unit\modules\network\f5\test_bigip_apm_network_access.py,F5Networks_f5-ansible-modules,0.0,0.0,4.0,2.0,0.0
C:\mined_repos\F5Networks\f5-ansible-modules\ansible_collections\f5networks\f5_modules\tests\unit\modules\network\f5\test_bigip_apm_policy_fetch.py,F5Networks_f5-ansible-modules,0.0,0.0,0.0,2.0,0.0
C:\mined_repos\F5Networks\f5-ansible-modules\ansible_collections\f5networks\f5_modules\tests\unit\modules\network\f5\test_bigip_apm_policy_import.py,F5Networks_f5-ansible-modules,0.0,0.0,2.0,3.0,0.0
C:\mined_repos\F5Networks\f5-ansible-modules\ansible_collections\f5networks\f5_modules\tests\unit\modules\network\f5\test_bigip_asm_advanced_settings.py,F5Networks_f5-ansible-modules,0.0,0.0,2.0,2.0,0.0
C:\mined_repos\F5Networks\f5-ansible-modules\ansible_collections\f5networks\f5_modules\tests\unit\modules\network\f5\test_bigip_asm_dos_application.py,F5Networks_f5-ansible-modules,0.0,0.0,4.0,2.0,0.0
C:\mined_repos\F5Networks\f5-ansible-modules\ansible_collections\f5networks\f5_modules\tests\unit\modules\network\f5\test_bigip_asm_policy_fetch.py,F5Networks_f5-ansible-modules,0.0,0.0,1.0,2.0,0.0
C:\mined_repos\F5Networks\f5-ansible-modules\ansible_collections\f5networks\f5_modules\tests\unit\modules\network\f5\test_bigip_asm_policy_import.py,F5Networks_f5-ansible-modules,0.0,0.0,2.0,3.0,0.0
C:\mined_repos\F5Networks\f5-ansible-modules\ansible_collections\f5networks\f5_modules\tests\unit\modules\network\f5\test_bigip_asm_policy_manage.py,F5Networks_f5-ansible-modules,0.0,0.0,6.0,3.0,0.0
C:\mined_repos\F5Networks\f5-ansible-modules\ansible_collections\f5networks\f5_modules\tests\unit\modules\network\f5\test_bigip_asm_policy_server_technology.py,F5Networks_f5-ansible-modules,0.0,0.0,2.0,2.0,0.0
C:\mined_repos\F5Networks\f5-ansible-modules\ansible_collections\f5networks\f5_modules\tests\unit\modules\network\f5\test_bigip_asm_policy_signature_set.py,F5Networks_f5-ansible-modules,0.0,0.0,2.0,2.0,0.0
C:\mined_repos\F5Networks\f5-ansible-modules\ansible_collections\f5networks\f5_modules\tests\unit\modules\network\f5\test_bigip_cgnat_lsn_pool.py,F5Networks_f5-ansible-modules,0.0,0.0,4.0,2.0,0.0
C:\mined_repos\F5Networks\f5-ansible-modules\ansible_collections\f5networks\f5_modules\tests\unit\modules\network\f5\test_bigip_cli_alias.py,F5Networks_f5-ansible-modules,0.0,0.0,2.0,2.0,0.0
C:\mined_repos\F5Networks\f5-ansible-modules\ansible_collections\f5networks\f5_modules\tests\unit\modules\network\f5\test_bigip_cli_script.py,F5Networks_f5-ansible-modules,0.0,0.0,2.0,2.0,0.0
C:\mined_repos\F5Networks\f5-ansible-modules\ansible_collections\f5networks\f5_modules\tests\unit\modules\network\f5\test_bigip_command.py,F5Networks_f5-ansible-modules,0.0,0.0,3.0,2.0,0.0
C:\mined_repos\F5Networks\f5-ansible-modules\ansible_collections\f5networks\f5_modules\tests\unit\modules\network\f5\test_bigip_config.py,F5Networks_f5-ansible-modules,0.0,0.0,1.0,2.0,0.0
C:\mined_repos\F5Networks\f5-ansible-modules\ansible_collections\f5networks\f5_modules\tests\unit\modules\network\f5\test_bigip_configsync_action.py,F5Networks_f5-ansible-modules,0.0,0.0,2.0,2.0,0.0
C:\mined_repos\F5Networks\f5-ansible-modules\ansible_collections\f5networks\f5_modules\tests\unit\modules\network\f5\test_bigip_data_group.py,F5Networks_f5-ansible-modules,0.0,0.0,9.0,2.0,0.0
