file_name,project_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
C:\mined_repos\HiSPARC\publicdb\tests\utils.py,HiSPARC_publicdb,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\HiSPARC\publicdb\tests\__init__.py,HiSPARC_publicdb,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\HiSPARC\publicdb\tests\factories\analysissessions_factories.py,HiSPARC_publicdb,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\HiSPARC\publicdb\tests\factories\coincidences_factories.py,HiSPARC_publicdb,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\HiSPARC\publicdb\tests\factories\histograms_factories.py,HiSPARC_publicdb,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\HiSPARC\publicdb\tests\factories\inforecords_factories.py,HiSPARC_publicdb,0.0,0.0,0.0,2.0,1.0
C:\mined_repos\HiSPARC\publicdb\tests\factories\providers.py,HiSPARC_publicdb,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\HiSPARC\publicdb\tests\factories\station_layout_factories.py,HiSPARC_publicdb,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\HiSPARC\publicdb\tests\factories\updates_factories.py,HiSPARC_publicdb,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\HiSPARC\publicdb\tests\factories\__init__.py,HiSPARC_publicdb,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\HiSPARC\publicdb\tests\test_analysissessions\test_management.py,HiSPARC_publicdb,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\HiSPARC\publicdb\tests\test_analysissessions\test_models.py,HiSPARC_publicdb,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\HiSPARC\publicdb\tests\test_analysissessions\__init__.py,HiSPARC_publicdb,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\HiSPARC\publicdb\tests\test_api\test_views.py,HiSPARC_publicdb,0.0,0.0,5.0,0.0,1.0
C:\mined_repos\HiSPARC\publicdb\tests\test_api\__init__.py,HiSPARC_publicdb,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\HiSPARC\publicdb\tests\test_histograms\test_checks.py,HiSPARC_publicdb,0.0,0.0,4.0,0.0,1.0
C:\mined_repos\HiSPARC\publicdb\tests\test_histograms\test_datastore.py,HiSPARC_publicdb,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\HiSPARC\publicdb\tests\test_histograms\test_esd.py,HiSPARC_publicdb,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\HiSPARC\publicdb\tests\test_histograms\test_jobs.py,HiSPARC_publicdb,0.0,0.0,3.0,0.0,0.0
C:\mined_repos\HiSPARC\publicdb\tests\test_histograms\test_management.py,HiSPARC_publicdb,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\HiSPARC\publicdb\tests\test_histograms\test_models.py,HiSPARC_publicdb,0.0,0.0,4.0,0.0,1.0
C:\mined_repos\HiSPARC\publicdb\tests\test_histograms\__init__.py,HiSPARC_publicdb,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\HiSPARC\publicdb\tests\test_inforecords\test_models.py,HiSPARC_publicdb,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\HiSPARC\publicdb\tests\test_inforecords\__init__.py,HiSPARC_publicdb,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\HiSPARC\publicdb\tests\test_maps\test_views.py,HiSPARC_publicdb,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\HiSPARC\publicdb\tests\test_maps\__init__.py,HiSPARC_publicdb,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\HiSPARC\publicdb\tests\test_raw_data\test_date_generator.py,HiSPARC_publicdb,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\HiSPARC\publicdb\tests\test_raw_data\test_forms.py,HiSPARC_publicdb,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\HiSPARC\publicdb\tests\test_raw_data\test_views.py,HiSPARC_publicdb,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\HiSPARC\publicdb\tests\test_raw_data\__init__.py,HiSPARC_publicdb,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\HiSPARC\publicdb\tests\test_station_layout\test_models.py,HiSPARC_publicdb,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\HiSPARC\publicdb\tests\test_station_layout\test_views.py,HiSPARC_publicdb,0.0,0.0,2.0,0.0,1.0
C:\mined_repos\HiSPARC\publicdb\tests\test_station_layout\__init__.py,HiSPARC_publicdb,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\HiSPARC\publicdb\tests\test_status_display\test_views.py,HiSPARC_publicdb,0.0,0.0,4.0,0.0,1.0
C:\mined_repos\HiSPARC\publicdb\tests\test_status_display\__init__.py,HiSPARC_publicdb,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\HiSPARC\publicdb\tests\test_updates\test_views.py,HiSPARC_publicdb,0.0,0.0,5.0,0.0,1.0
C:\mined_repos\HiSPARC\publicdb\tests\test_updates\__init__.py,HiSPARC_publicdb,0.0,0.0,0.0,0.0,1.0
