file_name,project_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
C:\mined_repos\OSSystems\jenkins-job-builder\tests\builders\fixtures\ansible-playbook001.yaml,OSSystems_jenkins-job-builder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\OSSystems\jenkins-job-builder\tests\builders\fixtures\ansible-playbook002.yaml,OSSystems_jenkins-job-builder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\OSSystems\jenkins-job-builder\tests\builders\fixtures\ansible-playbook003.yaml,OSSystems_jenkins-job-builder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\OSSystems\jenkins-job-builder\tests\builders\fixtures\ant001.yaml,OSSystems_jenkins-job-builder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\OSSystems\jenkins-job-builder\tests\builders\fixtures\ant002.yaml,OSSystems_jenkins-job-builder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\OSSystems\jenkins-job-builder\tests\builders\fixtures\artifact-resolver-full.yaml,OSSystems_jenkins-job-builder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\OSSystems\jenkins-job-builder\tests\builders\fixtures\artifact-resolver-minimal.yaml,OSSystems_jenkins-job-builder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\OSSystems\jenkins-job-builder\tests\builders\fixtures\batch.yaml,OSSystems_jenkins-job-builder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\OSSystems\jenkins-job-builder\tests\builders\fixtures\beaker-content.yaml,OSSystems_jenkins-job-builder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\OSSystems\jenkins-job-builder\tests\builders\fixtures\beaker-path.yaml,OSSystems_jenkins-job-builder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\OSSystems\jenkins-job-builder\tests\builders\fixtures\build-name-setter001.yaml,OSSystems_jenkins-job-builder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\OSSystems\jenkins-job-builder\tests\builders\fixtures\build-name-setter002.yaml,OSSystems_jenkins-job-builder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\OSSystems\jenkins-job-builder\tests\builders\fixtures\builders-from.yaml,OSSystems_jenkins-job-builder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\OSSystems\jenkins-job-builder\tests\builders\fixtures\changeassemblyversion-full.yaml,OSSystems_jenkins-job-builder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\OSSystems\jenkins-job-builder\tests\builders\fixtures\changeassemblyversion-minimal.yaml,OSSystems_jenkins-job-builder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\OSSystems\jenkins-job-builder\tests\builders\fixtures\cloudformation.yaml,OSSystems_jenkins-job-builder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\OSSystems\jenkins-job-builder\tests\builders\fixtures\conditional-step-and.yaml,OSSystems_jenkins-job-builder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\OSSystems\jenkins-job-builder\tests\builders\fixtures\conditional-step-build-cause.yaml,OSSystems_jenkins-job-builder,0.0,0.0,0.0,0.0,1.0
