file_name,project_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
C:\mined_repos\StackStorm\st2contrib\packs\aws\tests\fixtures\full.yaml,StackStorm_st2contrib,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\StackStorm\st2contrib\packs\cloudflare\tests\fixture\full.yaml,StackStorm_st2contrib,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\StackStorm\st2contrib\packs\duo\tests\fixtures\full.yaml,StackStorm_st2contrib,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\StackStorm\st2contrib\packs\github\tests\fixtures\full-enterprise.yaml,StackStorm_st2contrib,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\StackStorm\st2contrib\packs\github\tests\fixtures\full.yaml,StackStorm_st2contrib,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\StackStorm\st2contrib\packs\opsgenie\tests\fixtures\configs\full.yaml,StackStorm_st2contrib,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\StackStorm\st2contrib\packs\orion\tests\fixtures\invoke_AddInterfacesOnNode.yaml,StackStorm_st2contrib,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\StackStorm\st2contrib\packs\orion\tests\fixtures\invoke_DiscoverInterfacesOnNode.yaml,StackStorm_st2contrib,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\StackStorm\st2contrib\packs\orion\tests\fixtures\orion_ncm_results.yaml,StackStorm_st2contrib,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\StackStorm\st2contrib\packs\orion\tests\fixtures\orion_npm_results.yaml,StackStorm_st2contrib,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\StackStorm\st2contrib\packs\orion\tests\fixtures\results_list_sdk_verb_args.yaml,StackStorm_st2contrib,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\StackStorm\st2contrib\packs\orion\tests\fixtures\results_orion_engines.yaml,StackStorm_st2contrib,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\StackStorm\st2contrib\packs\orion\tests\fixtures\results_orion_snmp_cred.yaml,StackStorm_st2contrib,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\StackStorm\st2contrib\packs\orion\tests\fixtures\results_sdk_verbs.yaml,StackStorm_st2contrib,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\StackStorm\st2contrib\packs\orion\tests\fixtures\configs\full.yaml,StackStorm_st2contrib,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\StackStorm\st2contrib\packs\vsphere\tests\fixtures\cfg_new.yaml,StackStorm_st2contrib,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\StackStorm\st2contrib\packs\vsphere\tests\fixtures\cfg_new_partial.yaml,StackStorm_st2contrib,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\StackStorm\st2contrib\packs\vsphere\tests\fixtures\cfg_old.yaml,StackStorm_st2contrib,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\StackStorm\st2contrib\packs\vsphere\tests\fixtures\cfg_old_partial.yaml,StackStorm_st2contrib,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\StackStorm\st2contrib\packs\aws\tests\aws_base_action_test_case.py,StackStorm_st2contrib,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\StackStorm\st2contrib\packs\aws\tests\test_action_get_bucket.py,StackStorm_st2contrib,0.0,0.0,2.0,0.0,1.0
C:\mined_repos\StackStorm\st2contrib\packs\aws\tests\test_sensor_sqs.py,StackStorm_st2contrib,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\StackStorm\st2contrib\packs\circle_ci\tests\test_get_build_number_action.py,StackStorm_st2contrib,0.0,0.0,2.0,2.0,1.0
C:\mined_repos\StackStorm\st2contrib\packs\circle_ci\tests\test_wait_until_build_finishes.py,StackStorm_st2contrib,0.0,0.0,0.0,3.0,1.0
C:\mined_repos\StackStorm\st2contrib\packs\cloudflare\tests\test_action_get_ips.py,StackStorm_st2contrib,0.0,0.0,1.0,1.0,1.0
C:\mined_repos\StackStorm\st2contrib\packs\csv\tests\test_action_parse.py,StackStorm_st2contrib,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\StackStorm\st2contrib\packs\docker\tests\test_sensor_docker_sensor.py,StackStorm_st2contrib,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\StackStorm\st2contrib\packs\duo\tests\duo_base_test_case.py,StackStorm_st2contrib,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\StackStorm\st2contrib\packs\duo\tests\test_action_auth_auth.py,StackStorm_st2contrib,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\StackStorm\st2contrib\packs\duo\tests\test_action_auth_check.py,StackStorm_st2contrib,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\StackStorm\st2contrib\packs\duo\tests\test_action_auth_ping.py,StackStorm_st2contrib,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\StackStorm\st2contrib\packs\git\tests\test_commit_sensor.py,StackStorm_st2contrib,0.0,0.0,1.0,3.0,0.0
C:\mined_repos\StackStorm\st2contrib\packs\github\tests\github_base_action_test_case.py,StackStorm_st2contrib,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\StackStorm\st2contrib\packs\github\tests\test_action_add_comment.py,StackStorm_st2contrib,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\StackStorm\st2contrib\packs\github\tests\test_action_add_status.py,StackStorm_st2contrib,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\StackStorm\st2contrib\packs\github\tests\test_action_add_team_membership.py,StackStorm_st2contrib,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\StackStorm\st2contrib\packs\github\tests\test_action_aliases.py,StackStorm_st2contrib,0.0,0.0,15.0,0.0,1.0
C:\mined_repos\StackStorm\st2contrib\packs\github\tests\test_action_check_deployment_env.py,StackStorm_st2contrib,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\StackStorm\st2contrib\packs\github\tests\test_action_create_deployment.py,StackStorm_st2contrib,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\StackStorm\st2contrib\packs\github\tests\test_action_create_deployment_status.py,StackStorm_st2contrib,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\StackStorm\st2contrib\packs\github\tests\test_action_create_issue.py,StackStorm_st2contrib,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\StackStorm\st2contrib\packs\github\tests\test_action_create_release.py,StackStorm_st2contrib,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\StackStorm\st2contrib\packs\github\tests\test_action_get_clone_stats.py,StackStorm_st2contrib,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\StackStorm\st2contrib\packs\github\tests\test_action_get_deployment_statuses.py,StackStorm_st2contrib,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\StackStorm\st2contrib\packs\github\tests\test_action_get_issue.py,StackStorm_st2contrib,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\StackStorm\st2contrib\packs\github\tests\test_action_get_traffic_stats.py,StackStorm_st2contrib,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\StackStorm\st2contrib\packs\github\tests\test_action_get_user.py,StackStorm_st2contrib,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\StackStorm\st2contrib\packs\github\tests\test_action_latest_release.py,StackStorm_st2contrib,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\StackStorm\st2contrib\packs\github\tests\test_action_list_deployments.py,StackStorm_st2contrib,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\StackStorm\st2contrib\packs\github\tests\test_action_list_issues.py,StackStorm_st2contrib,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\StackStorm\st2contrib\packs\github\tests\test_action_list_releases.py,StackStorm_st2contrib,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\StackStorm\st2contrib\packs\github\tests\test_action_list_teams.py,StackStorm_st2contrib,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\StackStorm\st2contrib\packs\github\tests\test_action_store_oauth_token.py,StackStorm_st2contrib,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\StackStorm\st2contrib\packs\kubernetes\tests\test_third_party_resource.py,StackStorm_st2contrib,0.0,0.0,2.0,0.0,1.0
C:\mined_repos\StackStorm\st2contrib\packs\mssql\tests\test_mssql_action.py,StackStorm_st2contrib,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\StackStorm\st2contrib\packs\nagios\tests\test_nagios_handler.py,StackStorm_st2contrib,0.0,0.0,2.0,19.0,1.0
C:\mined_repos\StackStorm\st2contrib\packs\networking_utils\tests\networking_utils_base_test_case.py,StackStorm_st2contrib,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\StackStorm\st2contrib\packs\networking_utils\tests\test_action_is_valid_asa_nameif.py,StackStorm_st2contrib,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\StackStorm\st2contrib\packs\networking_utils\tests\test_action_is_valid_ip.py,StackStorm_st2contrib,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\StackStorm\st2contrib\packs\networking_utils\tests\test_action_is_valid_ip_port.py,StackStorm_st2contrib,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\StackStorm\st2contrib\packs\opsgenie\tests\opsgenie_base_test_case.py,StackStorm_st2contrib,0.0,0.0,1.0,1.0,1.0
C:\mined_repos\StackStorm\st2contrib\packs\opsgenie\tests\test_action_add_heartbeat.py,StackStorm_st2contrib,0.0,0.0,0.0,0.0,1.0
