file_name,project_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
C:\mined_repos\aepyornis\nyc-db\src\tests\__init__.py,aepyornis_nyc-db,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\aepyornis\nyc-db\src\tests\integration\test_nycdb.py,aepyornis_nyc-db,0.0,0.0,9.0,1.0,1.0
C:\mined_repos\aepyornis\nyc-db\src\tests\integration\__init__.py,aepyornis_nyc-db,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\aepyornis\nyc-db\src\tests\unit\test_address.py,aepyornis_nyc-db,0.0,0.0,11.0,0.0,1.0
C:\mined_repos\aepyornis\nyc-db\src\tests\unit\test_bbl.py,aepyornis_nyc-db,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\aepyornis\nyc-db\src\tests\unit\test_database.py,aepyornis_nyc-db,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\aepyornis\nyc-db\src\tests\unit\test_dataset.py,aepyornis_nyc-db,0.0,0.0,3.0,0.0,1.0
C:\mined_repos\aepyornis\nyc-db\src\tests\unit\test_dof_parser.py,aepyornis_nyc-db,0.0,0.0,1.0,1.0,1.0
C:\mined_repos\aepyornis\nyc-db\src\tests\unit\test_file.py,aepyornis_nyc-db,0.0,0.0,3.0,5.0,1.0
C:\mined_repos\aepyornis\nyc-db\src\tests\unit\test_geo.py,aepyornis_nyc-db,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\aepyornis\nyc-db\src\tests\unit\test_sql.py,aepyornis_nyc-db,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\aepyornis\nyc-db\src\tests\unit\test_transform.py,aepyornis_nyc-db,0.0,0.0,6.0,2.0,1.0
C:\mined_repos\aepyornis\nyc-db\src\tests\unit\test_typecast.py,aepyornis_nyc-db,0.0,0.0,16.0,0.0,1.0
C:\mined_repos\aepyornis\nyc-db\src\tests\unit\test_utility.py,aepyornis_nyc-db,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\aepyornis\nyc-db\src\tests\unit\__init__.py,aepyornis_nyc-db,0.0,0.0,0.0,0.0,1.0
