file_name,project_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
C:\mined_repos\ansible\ansible\test\integration\targets\ansible-test\ansible_collections\ns\col\tests\integration\targets\hello\tasks\main.yml,ansible_ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\ansible\ansible\test\integration\targets\ansible-test\ansible_collections\ns\col_constraints\tests\integration\targets\constraints\tasks\main.yml,ansible_ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\ansible\ansible\test\integration\targets\ansible-test-docker\ansible_collections\ns\col\tests\integration\targets\minimal\tasks\main.yml,ansible_ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\ansible\ansible\test\integration\targets\incidental_ios_file\tests\cli\net_get.yaml,ansible_ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\ansible\ansible\test\integration\targets\incidental_ios_file\tests\cli\net_put.yaml,ansible_ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\ansible\ansible\test\integration\targets\incidental_vyos_config\tests\cli\backup.yaml,ansible_ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\ansible\ansible\test\integration\targets\incidental_vyos_config\tests\cli\check_config.yaml,ansible_ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\ansible\ansible\test\integration\targets\incidental_vyos_config\tests\cli\comment.yaml,ansible_ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\ansible\ansible\test\integration\targets\incidental_vyos_config\tests\cli\save.yaml,ansible_ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\ansible\ansible\test\integration\targets\incidental_vyos_config\tests\cli\simple.yaml,ansible_ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\ansible\ansible\test\integration\targets\incidental_vyos_config\tests\cli_config\cli_backup.yaml,ansible_ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\ansible\ansible\test\integration\targets\incidental_vyos_config\tests\cli_config\cli_basic.yaml,ansible_ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\ansible\ansible\test\integration\targets\incidental_vyos_config\tests\cli_config\cli_comment.yaml,ansible_ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\ansible\ansible\test\integration\targets\incidental_vyos_lldp_interfaces\tests\cli\deleted.yaml,ansible_ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\ansible\ansible\test\integration\targets\incidental_vyos_lldp_interfaces\tests\cli\empty_config.yaml,ansible_ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\ansible\ansible\test\integration\targets\incidental_vyos_lldp_interfaces\tests\cli\merged.yaml,ansible_ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\ansible\ansible\test\integration\targets\incidental_vyos_lldp_interfaces\tests\cli\overridden.yaml,ansible_ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\ansible\ansible\test\integration\targets\incidental_vyos_lldp_interfaces\tests\cli\replaced.yaml,ansible_ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\ansible\ansible\test\integration\targets\incidental_vyos_lldp_interfaces\tests\cli\rtt.yaml,ansible_ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\ansible\ansible\test\integration\targets\incidental_vyos_lldp_interfaces\tests\cli\_populate.yaml,ansible_ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\ansible\ansible\test\integration\targets\incidental_vyos_lldp_interfaces\tests\cli\_populate_intf.yaml,ansible_ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\ansible\ansible\test\integration\targets\incidental_vyos_lldp_interfaces\tests\cli\_remove_config.yaml,ansible_ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\ansible\ansible\hacking\tests\gen_distribution_version_testcase.py,ansible_ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\ansible\ansible\packaging\release\tests\version_helper_test.py,ansible_ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\ansible\ansible\packaging\release\tests\__init__.py,ansible_ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\ansible\ansible\test\integration\targets\ansible-test\ansible_collections\ns\col\tests\integration\targets\hello\files\bad.py,ansible_ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\ansible\ansible\test\integration\targets\ansible-test\ansible_collections\ns\col\tests\unit\plugins\modules\test_hello.py,ansible_ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\ansible\ansible\test\integration\targets\ansible-test\ansible_collections\ns\col\tests\unit\plugins\module_utils\test_my_util.py,ansible_ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\ansible\ansible\test\integration\targets\ansible-test\ansible_collections\ns\col_constraints\tests\unit\plugins\modules\test_constraints.py,ansible_ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\ansible\ansible\test\integration\targets\ansible-test-docker\ansible_collections\ns\col\tests\unit\plugins\modules\test_hello.py,ansible_ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\ansible\ansible\test\integration\targets\ansible-test-docker\ansible_collections\ns\col\tests\unit\plugins\module_utils\test_my_util.py,ansible_ansible,0.0,0.0,0.0,0.0,1.0
