file_name,project_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\tests\molecule\android\converge.yml,bitrise-io_osx-box-bootstrap,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\tests\molecule\android\molecule.yml,bitrise-io_osx-box-bootstrap,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\tests\molecule\bitrise-cli\converge.yml,bitrise-io_osx-box-bootstrap,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\tests\molecule\bitrise-cli\molecule.yml,bitrise-io_osx-box-bootstrap,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\tests\molecule\default\converge.yml,bitrise-io_osx-box-bootstrap,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\tests\molecule\default\molecule.yml,bitrise-io_osx-box-bootstrap,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\tests\molecule\flutter\converge.yml,bitrise-io_osx-box-bootstrap,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\tests\molecule\flutter\molecule.yml,bitrise-io_osx-box-bootstrap,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\tests\molecule\go\converge.yml,bitrise-io_osx-box-bootstrap,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\tests\molecule\go\molecule.yml,bitrise-io_osx-box-bootstrap,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\tests\molecule\intermediate-setup\converge.yml,bitrise-io_osx-box-bootstrap,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\tests\molecule\intermediate-setup\molecule.yml,bitrise-io_osx-box-bootstrap,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\tests\molecule\node\converge.yml,bitrise-io_osx-box-bootstrap,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\tests\molecule\node\molecule.yml,bitrise-io_osx-box-bootstrap,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\tests\molecule\remote-access\converge.yml,bitrise-io_osx-box-bootstrap,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\tests\molecule\remote-access\molecule.yml,bitrise-io_osx-box-bootstrap,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\tests\molecule\ruby\converge.yml,bitrise-io_osx-box-bootstrap,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\tests\molecule\ruby\molecule.yml,bitrise-io_osx-box-bootstrap,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\tests\molecule\ssh-setup\converge.yml,bitrise-io_osx-box-bootstrap,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\tests\molecule\ssh-setup\molecule.yml,bitrise-io_osx-box-bootstrap,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\tests\molecule\android\tests\test_default.py,bitrise-io_osx-box-bootstrap,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\tests\molecule\bitrise-cli\tests\test_default.py,bitrise-io_osx-box-bootstrap,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\tests\molecule\default\tests\test_default.py,bitrise-io_osx-box-bootstrap,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\tests\molecule\flutter\tests\test_default.py,bitrise-io_osx-box-bootstrap,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\tests\molecule\go\tests\test_default.py,bitrise-io_osx-box-bootstrap,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\tests\molecule\intermediate-setup\tests\test_default.py,bitrise-io_osx-box-bootstrap,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\tests\molecule\node\tests\test_default.py,bitrise-io_osx-box-bootstrap,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\tests\molecule\remote-access\tests\test_default.py,bitrise-io_osx-box-bootstrap,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\tests\molecule\ruby\tests\test_default.py,bitrise-io_osx-box-bootstrap,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\tests\molecule\ssh-setup\tests\test_default.py,bitrise-io_osx-box-bootstrap,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\android\tests\test_android.py,bitrise-io_osx-box-bootstrap,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\bitrise-cli\tests\test_bitrise_cli.py,bitrise-io_osx-box-bootstrap,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\brew-repos-fix\tests\test_brew.py,bitrise-io_osx-box-bootstrap,0.0,0.0,2.0,0.0,1.0
C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\flutter\tests\test_flutter.py,bitrise-io_osx-box-bootstrap,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\go\tests\test_go.py,bitrise-io_osx-box-bootstrap,0.0,0.0,4.0,0.0,1.0
C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\intermediate-setup\tests\test_intermediate_setup.py,bitrise-io_osx-box-bootstrap,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\node\tests\test_node.py,bitrise-io_osx-box-bootstrap,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\remote-access\tests\test_remote_access.py,bitrise-io_osx-box-bootstrap,0.0,0.0,4.0,0.0,1.0
C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\ruby\tests\test_ruby.py,bitrise-io_osx-box-bootstrap,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\ruby-gems\tests\test_ruby_gems.py,bitrise-io_osx-box-bootstrap,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\ssh-setup\tests\test_ssh.py,bitrise-io_osx-box-bootstrap,0.0,0.0,2.0,0.0,1.0
C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\ssh-setup\tests\test_sshd.py,bitrise-io_osx-box-bootstrap,0.0,0.0,2.0,0.0,1.0
