file_name,project_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
C:\mined_repos\bswartz\manila\manila\tests\share\drivers\dell_emc\plugins\unity\mocked_manila.yaml,bswartz_manila,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\bswartz\manila\manila\tests\share\drivers\dell_emc\plugins\unity\mocked_unity.yaml,bswartz_manila,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\bswartz\manila\manila\tests\conf_fixture.py,bswartz_manila,0.0,0.0,0.0,4.0,1.0
C:\mined_repos\bswartz\manila\manila\tests\db_utils.py,bswartz_manila,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\bswartz\manila\manila\tests\declare_conf.py,bswartz_manila,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\bswartz\manila\manila\tests\fake_client_exception_class.py,bswartz_manila,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\bswartz\manila\manila\tests\fake_compute.py,bswartz_manila,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\bswartz\manila\manila\tests\fake_network.py,bswartz_manila,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\bswartz\manila\manila\tests\fake_notifier.py,bswartz_manila,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\bswartz\manila\manila\tests\fake_service_instance.py,bswartz_manila,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\bswartz\manila\manila\tests\fake_share.py,bswartz_manila,0.0,0.0,0.0,2.0,1.0
C:\mined_repos\bswartz\manila\manila\tests\fake_utils.py,bswartz_manila,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\bswartz\manila\manila\tests\fake_volume.py,bswartz_manila,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\bswartz\manila\manila\tests\fake_zfssa.py,bswartz_manila,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\bswartz\manila\manila\tests\runtime_conf.py,bswartz_manila,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\bswartz\manila\manila\tests\test_api.py,bswartz_manila,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\bswartz\manila\manila\tests\test_conf.py,bswartz_manila,0.0,0.0,6.0,0.0,1.0
C:\mined_repos\bswartz\manila\manila\tests\test_context.py,bswartz_manila,0.0,0.0,3.0,0.0,1.0
C:\mined_repos\bswartz\manila\manila\tests\test_coordination.py,bswartz_manila,0.0,0.0,4.0,0.0,1.0
C:\mined_repos\bswartz\manila\manila\tests\test_exception.py,bswartz_manila,0.0,0.0,48.0,0.0,1.0
C:\mined_repos\bswartz\manila\manila\tests\test_hacking.py,bswartz_manila,0.0,0.0,5.0,0.0,1.0
C:\mined_repos\bswartz\manila\manila\tests\test_manager.py,bswartz_manila,0.0,0.0,3.0,0.0,1.0
C:\mined_repos\bswartz\manila\manila\tests\test_misc.py,bswartz_manila,0.0,0.0,0.0,1.0,1.0
C:\mined_repos\bswartz\manila\manila\tests\test_network.py,bswartz_manila,0.0,0.0,4.0,0.0,1.0
C:\mined_repos\bswartz\manila\manila\tests\test_policy.py,bswartz_manila,0.0,0.0,3.0,0.0,0.0
C:\mined_repos\bswartz\manila\manila\tests\test_quota.py,bswartz_manila,0.0,0.0,32.0,0.0,1.0
C:\mined_repos\bswartz\manila\manila\tests\test_rpc.py,bswartz_manila,0.0,0.0,2.0,0.0,1.0
C:\mined_repos\bswartz\manila\manila\tests\test_service.py,bswartz_manila,0.0,0.0,6.0,0.0,1.0
C:\mined_repos\bswartz\manila\manila\tests\test_test.py,bswartz_manila,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\bswartz\manila\manila\tests\test_test_utils.py,bswartz_manila,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\bswartz\manila\manila\tests\test_utils.py,bswartz_manila,0.0,0.0,8.0,0.0,1.0
C:\mined_repos\bswartz\manila\manila\tests\utils.py,bswartz_manila,0.0,0.0,0.0,1.0,1.0
C:\mined_repos\bswartz\manila\manila\tests\__init__.py,bswartz_manila,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\bswartz\manila\manila\tests\api\common.py,bswartz_manila,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\bswartz\manila\manila\tests\api\fakes.py,bswartz_manila,0.0,0.0,0.0,1.0,1.0
C:\mined_repos\bswartz\manila\manila\tests\api\test_common.py,bswartz_manila,0.0,0.0,9.0,13.0,1.0
C:\mined_repos\bswartz\manila\manila\tests\api\test_extensions.py,bswartz_manila,0.0,0.0,2.0,0.0,1.0
C:\mined_repos\bswartz\manila\manila\tests\api\test_middleware.py,bswartz_manila,0.0,0.0,2.0,5.0,0.0
C:\mined_repos\bswartz\manila\manila\tests\api\test_versions.py,bswartz_manila,0.0,0.0,8.0,7.0,1.0
C:\mined_repos\bswartz\manila\manila\tests\api\test_wsgi.py,bswartz_manila,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\bswartz\manila\manila\tests\api\__init__.py,bswartz_manila,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\bswartz\manila\manila\tests\api\contrib\stubs.py,bswartz_manila,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\bswartz\manila\manila\tests\api\contrib\__init__.py,bswartz_manila,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\bswartz\manila\manila\tests\api\extensions\foxinsocks.py,bswartz_manila,0.0,0.0,0.0,1.0,1.0
