file_name,project_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
C:\mined_repos\ceph\ceph-ansible\tests\functional\dev_setup.yml,ceph_ceph-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\ceph\ceph-ansible\tests\functional\external_clients_admin_key.yml,ceph_ceph-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\ceph\ceph-ansible\tests\functional\lvm_setup.yml,ceph_ceph-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\ceph\ceph-ansible\tests\functional\rbd_map_devices.yml,ceph_ceph-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\ceph\ceph-ansible\tests\functional\reboot.yml,ceph_ceph-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\ceph\ceph-ansible\tests\functional\rgw_multisite.yml,ceph_ceph-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\ceph\ceph-ansible\tests\functional\rhcs_setup.yml,ceph_ceph-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\ceph\ceph-ansible\tests\functional\setup.yml,ceph_ceph-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\ceph\ceph-ansible\tests\functional\add-mdss\vagrant_variables.yml,ceph_ceph-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\ceph\ceph-ansible\tests\functional\add-mdss\container\vagrant_variables.yml,ceph_ceph-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\ceph\ceph-ansible\tests\functional\add-mgrs\vagrant_variables.yml,ceph_ceph-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\ceph\ceph-ansible\tests\functional\add-mgrs\container\vagrant_variables.yml,ceph_ceph-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\ceph\ceph-ansible\tests\functional\add-mons\vagrant_variables.yml,ceph_ceph-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\ceph\ceph-ansible\tests\functional\add-mons\container\vagrant_variables.yml,ceph_ceph-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\ceph\ceph-ansible\tests\functional\add-osds\vagrant_variables.yml,ceph_ceph-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\ceph\ceph-ansible\tests\functional\add-osds\container\vagrant_variables.yml,ceph_ceph-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\ceph\ceph-ansible\tests\functional\add-rbdmirrors\vagrant_variables.yml,ceph_ceph-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\ceph\ceph-ansible\tests\functional\add-rbdmirrors\container\vagrant_variables.yml,ceph_ceph-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\ceph\ceph-ansible\tests\functional\add-rgws\vagrant_variables.yml,ceph_ceph-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\ceph\ceph-ansible\tests\functional\add-rgws\container\vagrant_variables.yml,ceph_ceph-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\ceph\ceph-ansible\tests\functional\all-in-one\vagrant_variables.yml,ceph_ceph-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\ceph\ceph-ansible\tests\functional\all-in-one\container\vagrant_variables.yml,ceph_ceph-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\ceph\ceph-ansible\tests\functional\all_daemons\vagrant_variables.yml,ceph_ceph-ansible,0.0,0.0,0.0,0.0,1.0
