file_name,project_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
C:\mined_repos\demisto\content\Utils\tests\test_data_old_content\temp_test_playbook.yml,demisto_content,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\demisto\content\Utils\tests\test_data_old_content\yml_should_delete.yml,demisto_content,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\demisto\content\Tests\tests\configure_and_test_integration_instances_test.py,demisto_content,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\demisto\content\Tests\tests\constants_testing.py,demisto_content,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\demisto\content\Tests\tests\test_content_test.py,demisto_content,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\demisto\content\Tests\tests\test_integration_test.py,demisto_content,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\demisto\content\Tests\tests\__init__.py,demisto_content,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\demisto\content\Tests\private_build\tests\test_configure_and_test_integration_instances_private.py,demisto_content,0.0,0.0,1.0,1.0,1.0
C:\mined_repos\demisto\content\Tests\private_build\tests\test_upload_packs_private.py,demisto_content,0.0,0.0,1.0,1.0,1.0
C:\mined_repos\demisto\content\Tests\scripts\utils\tests\content_packs_util_test.py,demisto_content,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\demisto\content\Tests\scripts\utils\tests\log_utils_test.py,demisto_content,0.0,0.0,3.0,0.0,1.0
C:\mined_repos\demisto\content\Tests\scripts\utils\tests\test_get_modified_files_for_testing.py,demisto_content,0.0,0.0,17.0,0.0,1.0
C:\mined_repos\demisto\content\Tests\scripts\utils\tests\__init__.py,demisto_content,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\demisto\content\Utils\tests\comment_on_pr_test.py,demisto_content,0.0,0.0,0.0,12.0,1.0
C:\mined_repos\demisto\content\Utils\tests\old_content_branch_test.py,demisto_content,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\demisto\content\Utils\tests\update_contribution_pack_in_base_branch_test.py,demisto_content,0.0,0.0,0.0,21.0,1.0
C:\mined_repos\demisto\content\Utils\tests\update_playbook_test.py,demisto_content,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\demisto\content\Utils\tests\__init__.py,demisto_content,0.0,0.0,0.0,0.0,1.0
