file_name,project_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
C:\mined_repos\drupal-ukraine\dmaps\tests\local_setup\tests.yml,drupal-ukraine_dmaps,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\drupal-ukraine\dmaps\tests\local_setup\roles\ansible-behat-selenium2\defaults\main.yml,drupal-ukraine_dmaps,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\drupal-ukraine\dmaps\tests\local_setup\roles\ansible-behat-selenium2\tasks\chrome.yml,drupal-ukraine_dmaps,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\drupal-ukraine\dmaps\tests\local_setup\roles\ansible-behat-selenium2\tasks\debug.yml,drupal-ukraine_dmaps,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\drupal-ukraine\dmaps\tests\local_setup\roles\ansible-behat-selenium2\tasks\main.yml,drupal-ukraine_dmaps,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\drupal-ukraine\dmaps\tests\local_setup\roles\ansible-behat-selenium2\tasks\selenium.yml,drupal-ukraine_dmaps,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\drupal-ukraine\dmaps\d8\core\tests\Drupal\Tests\Core\Asset\library_test_files\css_js_settings.libraries.yml,drupal-ukraine_dmaps,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\drupal-ukraine\dmaps\d8\core\tests\Drupal\Tests\Core\Asset\library_test_files\css_weights.libraries.yml,drupal-ukraine_dmaps,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\drupal-ukraine\dmaps\d8\core\tests\Drupal\Tests\Core\Asset\library_test_files\data_types.libraries.yml,drupal-ukraine_dmaps,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\drupal-ukraine\dmaps\d8\core\tests\Drupal\Tests\Core\Asset\library_test_files\dependencies.libraries.yml,drupal-ukraine_dmaps,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\drupal-ukraine\dmaps\d8\core\tests\Drupal\Tests\Core\Asset\library_test_files\example_module.libraries.yml,drupal-ukraine_dmaps,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\drupal-ukraine\dmaps\d8\core\tests\Drupal\Tests\Core\Asset\library_test_files\example_module_missing_information.libraries.yml,drupal-ukraine_dmaps,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\drupal-ukraine\dmaps\d8\core\tests\Drupal\Tests\Core\Asset\library_test_files\example_theme.libraries.yml,drupal-ukraine_dmaps,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\drupal-ukraine\dmaps\d8\core\tests\Drupal\Tests\Core\Asset\library_test_files\external.libraries.yml,drupal-ukraine_dmaps,0.0,0.0,0.0,0.0,1.0
