file_name,project_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
C:\mined_repos\freedomofpress\securedrop\molecule\builder-xenial\tests\vars.yml,freedomofpress_securedrop,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\freedomofpress\securedrop\admin\tests\test_integration.py,freedomofpress_securedrop,0.0,0.0,11.0,34.0,0.0
C:\mined_repos\freedomofpress\securedrop\admin\tests\test_securedrop-admin-setup.py,freedomofpress_securedrop,0.0,0.0,3.0,5.0,1.0
C:\mined_repos\freedomofpress\securedrop\admin\tests\test_securedrop-admin.py,freedomofpress_securedrop,0.0,0.0,22.0,2.0,1.0
C:\mined_repos\freedomofpress\securedrop\molecule\ansible-config\tests\test_play_configuration.py,freedomofpress_securedrop,0.0,0.0,0.0,4.0,1.0
C:\mined_repos\freedomofpress\securedrop\molecule\builder-xenial\tests\conftest.py,freedomofpress_securedrop,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\freedomofpress\securedrop\molecule\builder-xenial\tests\test_build_dependencies.py,freedomofpress_securedrop,0.0,0.0,2.0,0.0,1.0
C:\mined_repos\freedomofpress\securedrop\molecule\builder-xenial\tests\test_legacy_paths.py,freedomofpress_securedrop,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\freedomofpress\securedrop\molecule\builder-xenial\tests\test_securedrop_deb_package.py,freedomofpress_securedrop,0.0,0.0,4.0,4.0,1.0
C:\mined_repos\freedomofpress\securedrop\molecule\builder-xenial\tests\test_security_updates.py,freedomofpress_securedrop,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\freedomofpress\securedrop\molecule\fetch-tor-packages\tests\test_tor_packages.py,freedomofpress_securedrop,0.0,0.0,3.0,2.0,1.0
C:\mined_repos\freedomofpress\securedrop\securedrop\tests\conftest.py,freedomofpress_securedrop,0.0,0.0,0.0,6.0,1.0
C:\mined_repos\freedomofpress\securedrop\securedrop\tests\test_2fa.py,freedomofpress_securedrop,0.0,0.0,0.0,2.0,1.0
C:\mined_repos\freedomofpress\securedrop\securedrop\tests\test_alembic.py,freedomofpress_securedrop,0.0,0.0,0.0,1.0,1.0
C:\mined_repos\freedomofpress\securedrop\securedrop\tests\test_crypto_util.py,freedomofpress_securedrop,0.0,0.0,6.0,3.0,1.0
C:\mined_repos\freedomofpress\securedrop\securedrop\tests\test_db.py,freedomofpress_securedrop,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\freedomofpress\securedrop\securedrop\tests\test_i18n.py,freedomofpress_securedrop,0.0,0.0,4.0,5.0,1.0
C:\mined_repos\freedomofpress\securedrop\securedrop\tests\test_i18n_tool.py,freedomofpress_securedrop,0.0,0.0,6.0,0.0,1.0
C:\mined_repos\freedomofpress\securedrop\securedrop\tests\test_integration.py,freedomofpress_securedrop,0.0,0.0,0.0,0.0,1.0
