file_name,project_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
C:\mined_repos\gc3-uzh-ch\elasticluster\elasticluster\share\playbooks\roles\postgresql\tests\playbook.yml,gc3-uzh-ch_elasticluster,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\gc3-uzh-ch\elasticluster\elasticluster\share\playbooks\roles\postgresql\tests\vars.yml,gc3-uzh-ch_elasticluster,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\gc3-uzh-ch\elasticluster\tests\release_tests.py,gc3-uzh-ch_elasticluster,0.0,0.0,0.0,2.0,1.0
C:\mined_repos\gc3-uzh-ch\elasticluster\tests\test_cli.py,gc3-uzh-ch_elasticluster,0.0,0.0,3.0,0.0,1.0
C:\mined_repos\gc3-uzh-ch\elasticluster\tests\test_cluster.py,gc3-uzh-ch_elasticluster,0.0,0.0,7.0,0.0,1.0
C:\mined_repos\gc3-uzh-ch\elasticluster\tests\test_cluster_node.py,gc3-uzh-ch_elasticluster,0.0,0.0,4.0,0.0,1.0
C:\mined_repos\gc3-uzh-ch\elasticluster\tests\test_conf.py,gc3-uzh-ch_elasticluster,0.0,0.0,3.0,21.0,1.0
C:\mined_repos\gc3-uzh-ch\elasticluster\tests\test_config_reader.py,gc3-uzh-ch_elasticluster,0.0,0.0,2.0,12.0,1.0
C:\mined_repos\gc3-uzh-ch\elasticluster\tests\test_repository.py,gc3-uzh-ch_elasticluster,0.0,0.0,3.0,2.0,0.0
C:\mined_repos\gc3-uzh-ch\elasticluster\tests\test_smoke_imports.py,gc3-uzh-ch_elasticluster,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\gc3-uzh-ch\elasticluster\tests\providers\test_ec2_boto.py,gc3-uzh-ch_elasticluster,0.0,0.0,3.0,1.0,1.0
C:\mined_repos\gc3-uzh-ch\elasticluster\tests\_helpers\config.py,gc3-uzh-ch_elasticluster,0.0,0.0,0.0,7.0,1.0
C:\mined_repos\gc3-uzh-ch\elasticluster\tests\_helpers\docker_session.py,gc3-uzh-ch_elasticluster,0.0,0.0,1.0,2.0,1.0
C:\mined_repos\gc3-uzh-ch\elasticluster\tests\_helpers\environ.py,gc3-uzh-ch_elasticluster,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\gc3-uzh-ch\elasticluster\tests\_helpers\__init__.py,gc3-uzh-ch_elasticluster,0.0,0.0,0.0,0.0,1.0
