file_name,project_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
C:\mined_repos\geerlingguy\ansible-for-devops\tests\deployments-rolling.yml,geerlingguy_ansible-for-devops,0.0,0.0,0.0,2.0,1.0
C:\mined_repos\geerlingguy\ansible-for-devops\tests\deployments.yml,geerlingguy_ansible-for-devops,0.0,0.0,0.0,2.0,1.0
C:\mined_repos\geerlingguy\ansible-for-devops\tests\docker-flask.yml,geerlingguy_ansible-for-devops,0.0,0.0,0.0,1.0,1.0
C:\mined_repos\geerlingguy\ansible-for-devops\tests\docker-hubot.yml,geerlingguy_ansible-for-devops,0.0,0.0,0.0,1.0,1.0
C:\mined_repos\geerlingguy\ansible-for-devops\tests\docker.yml,geerlingguy_ansible-for-devops,0.0,0.0,0.0,1.0,1.0
C:\mined_repos\geerlingguy\ansible-for-devops\tests\drupal.yml,geerlingguy_ansible-for-devops,0.0,0.0,0.0,1.0,1.0
C:\mined_repos\geerlingguy\ansible-for-devops\tests\elk.yml,geerlingguy_ansible-for-devops,0.0,0.0,0.0,1.0,1.0
C:\mined_repos\geerlingguy\ansible-for-devops\tests\first-ansible-playbook.yml,geerlingguy_ansible-for-devops,0.0,0.0,0.0,1.0,1.0
C:\mined_repos\geerlingguy\ansible-for-devops\tests\galaxy-role-servers.yml,geerlingguy_ansible-for-devops,0.0,0.0,0.0,2.0,1.0
C:\mined_repos\geerlingguy\ansible-for-devops\tests\https-nginx-proxy.yml,geerlingguy_ansible-for-devops,0.0,0.0,0.0,1.0,1.0
C:\mined_repos\geerlingguy\ansible-for-devops\tests\https-self-signed.yml,geerlingguy_ansible-for-devops,0.0,0.0,0.0,1.0,1.0
C:\mined_repos\geerlingguy\ansible-for-devops\tests\includes.yml,geerlingguy_ansible-for-devops,0.0,0.0,0.0,1.0,1.0
C:\mined_repos\geerlingguy\ansible-for-devops\tests\jenkins.yml,geerlingguy_ansible-for-devops,0.0,0.0,0.0,1.0,1.0
C:\mined_repos\geerlingguy\ansible-for-devops\tests\nodejs-role.yml,geerlingguy_ansible-for-devops,0.0,0.0,0.0,1.0,1.0
C:\mined_repos\geerlingguy\ansible-for-devops\tests\nodejs.yml,geerlingguy_ansible-for-devops,0.0,0.0,0.0,1.0,1.0
C:\mined_repos\geerlingguy\ansible-for-devops\tests\requirements.yml,geerlingguy_ansible-for-devops,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\geerlingguy\ansible-for-devops\tests\security.yml,geerlingguy_ansible-for-devops,0.0,0.0,0.0,1.0,1.0
C:\mined_repos\geerlingguy\ansible-for-devops\tests\solr.yml,geerlingguy_ansible-for-devops,0.0,0.0,0.0,1.0,1.0
C:\mined_repos\geerlingguy\ansible-for-devops\tests\test-plugin.yml,geerlingguy_ansible-for-devops,0.0,0.0,0.0,1.0,1.0
