file_name,project_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
C:\mined_repos\geerlingguy\drupal-vm\provisioning\roles\arknoll.selenium\tests\requirements.yml,geerlingguy_drupal-vm,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\geerlingguy\drupal-vm\provisioning\roles\arknoll.selenium\tests\test.yml,geerlingguy_drupal-vm,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\geerlingguy\drupal-vm\provisioning\roles\geerlingguy.apache-php-fpm\tests\test.yml,geerlingguy_drupal-vm,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\geerlingguy\drupal-vm\provisioning\roles\geerlingguy.daemonize\tests\test.yml,geerlingguy_drupal-vm,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\geerlingguy\drupal-vm\provisioning\roles\geerlingguy.drupal-console\tests\requirements.yml,geerlingguy_drupal-vm,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\geerlingguy\drupal-vm\provisioning\roles\geerlingguy.drupal-console\tests\test-self-update.yml,geerlingguy_drupal-vm,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\geerlingguy\drupal-vm\provisioning\roles\geerlingguy.drupal-console\tests\test.yml,geerlingguy_drupal-vm,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\geerlingguy\drupal-vm\provisioning\roles\geerlingguy.pimpmylog\tests\test.yml,geerlingguy_drupal-vm,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\geerlingguy\drupal-vm\provisioning\roles\geerlingguy.postfix\tests\test.yml,geerlingguy_drupal-vm,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\geerlingguy\drupal-vm\provisioning\roles\thom8.php-upload-progress\tests\test-source.yml,geerlingguy_drupal-vm,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\geerlingguy\drupal-vm\provisioning\roles\weareinteractive.newrelic\tests\main.yml,geerlingguy_drupal-vm,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\geerlingguy\drupal-vm\provisioning\roles\geerlingguy.php-memcached\molecule\default\tests\test_default.py,geerlingguy_drupal-vm,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\geerlingguy\drupal-vm\provisioning\roles\geerlingguy.php-pgsql\molecule\default\tests\test_default.py,geerlingguy_drupal-vm,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\geerlingguy\drupal-vm\provisioning\roles\geerlingguy.php-tideways\molecule\default\tests\test_default.py,geerlingguy_drupal-vm,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\geerlingguy\drupal-vm\provisioning\roles\geerlingguy.ruby\molecule\default\tests\test_default.py,geerlingguy_drupal-vm,0.0,0.0,1.0,0.0,1.0
