file_name,project_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
C:\mined_repos\gmccollister\ansible-virtd-docker-mariadb-bacula-nginx\roles\buildbot-tls-certificates\tests\test.yml,gmccollister_ansible-virtd-docker-mariadb-bacula-nginx,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\gmccollister\ansible-virtd-docker-mariadb-bacula-nginx\roles\buildbot-worker-ptxdist\tests\test.yml,gmccollister_ansible-virtd-docker-mariadb-bacula-nginx,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\gmccollister\ansible-virtd-docker-mariadb-bacula-nginx\roles\docker-networking\tests\test.yml,gmccollister_ansible-virtd-docker-mariadb-bacula-nginx,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\gmccollister\ansible-virtd-docker-mariadb-bacula-nginx\roles\easyrsa\tests\test.yml,gmccollister_ansible-virtd-docker-mariadb-bacula-nginx,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\gmccollister\ansible-virtd-docker-mariadb-bacula-nginx\roles\grafana\tests\test.yml,gmccollister_ansible-virtd-docker-mariadb-bacula-nginx,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\gmccollister\ansible-virtd-docker-mariadb-bacula-nginx\roles\haproxy\tests\test.yml,gmccollister_ansible-virtd-docker-mariadb-bacula-nginx,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\gmccollister\ansible-virtd-docker-mariadb-bacula-nginx\roles\rackspace.cloud-dns\tests\test.yml,gmccollister_ansible-virtd-docker-mariadb-bacula-nginx,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\gmccollister\ansible-virtd-docker-mariadb-bacula-nginx\roles\cloudalchemy.node-exporter\molecule\alternative\tests\test_alternative.py,gmccollister_ansible-virtd-docker-mariadb-bacula-nginx,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\gmccollister\ansible-virtd-docker-mariadb-bacula-nginx\roles\cloudalchemy.node-exporter\molecule\default\tests\test_default.py,gmccollister_ansible-virtd-docker-mariadb-bacula-nginx,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\gmccollister\ansible-virtd-docker-mariadb-bacula-nginx\roles\cloudalchemy.node-exporter\molecule\latest\tests\test_alternative.py,gmccollister_ansible-virtd-docker-mariadb-bacula-nginx,0.0,0.0,1.0,0.0,1.0
