file_name,project_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
C:\mined_repos\k8s-community\cluster-deploy\roles\build\tests\test.yml,k8s-community_cluster-deploy,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\k8s-community\cluster-deploy\roles\cicd\tests\test.yml,k8s-community_cluster-deploy,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\k8s-community\cluster-deploy\roles\cni\tests\test.yml,k8s-community_cluster-deploy,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\k8s-community\cluster-deploy\roles\cockroachdb\tests\test.yml,k8s-community_cluster-deploy,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\k8s-community\cluster-deploy\roles\coredns\tests\test.yml,k8s-community_cluster-deploy,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\k8s-community\cluster-deploy\roles\dashboard\tests\test.yml,k8s-community_cluster-deploy,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\k8s-community\cluster-deploy\roles\etcd\tests\test.yml,k8s-community_cluster-deploy,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\k8s-community\cluster-deploy\roles\external\tests\test.yml,k8s-community_cluster-deploy,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\k8s-community\cluster-deploy\roles\haproxy\tests\test.yml,k8s-community_cluster-deploy,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\k8s-community\cluster-deploy\roles\helm\tests\test.yml,k8s-community_cluster-deploy,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\k8s-community\cluster-deploy\roles\ingress\tests\test.yml,k8s-community_cluster-deploy,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\k8s-community\cluster-deploy\roles\instance\tests\test.yml,k8s-community_cluster-deploy,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\k8s-community\cluster-deploy\roles\istio\tests\test.yml,k8s-community_cluster-deploy,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\k8s-community\cluster-deploy\roles\journald\tests\test.yml,k8s-community_cluster-deploy,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\k8s-community\cluster-deploy\roles\kubedns\tests\test.yml,k8s-community_cluster-deploy,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\k8s-community\cluster-deploy\roles\kubelego\tests\test.yml,k8s-community_cluster-deploy,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\k8s-community\cluster-deploy\roles\kubernetes\tests\test.yml,k8s-community_cluster-deploy,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\k8s-community\cluster-deploy\roles\lb\tests\test.yml,k8s-community_cluster-deploy,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\k8s-community\cluster-deploy\roles\logrotate\tests\test.yml,k8s-community_cluster-deploy,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\k8s-community\cluster-deploy\roles\network\tests\test.yml,k8s-community_cluster-deploy,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\k8s-community\cluster-deploy\roles\policy\tests\test.yml,k8s-community_cluster-deploy,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\k8s-community\cluster-deploy\roles\readiness\tests\test.yml,k8s-community_cluster-deploy,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\k8s-community\cluster-deploy\roles\registry\tests\test.yml,k8s-community_cluster-deploy,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\k8s-community\cluster-deploy\roles\ssl\tests\test.yml,k8s-community_cluster-deploy,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\k8s-community\cluster-deploy\roles\stats\tests\test.yml,k8s-community_cluster-deploy,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\k8s-community\cluster-deploy\roles\storage\tests\test.yml,k8s-community_cluster-deploy,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\k8s-community\cluster-deploy\roles\toolchain\tests\test.yml,k8s-community_cluster-deploy,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\k8s-community\cluster-deploy\roles\user\tests\test.yml,k8s-community_cluster-deploy,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\k8s-community\cluster-deploy\roles\volumes\tests\test.yml,k8s-community_cluster-deploy,0.0,0.0,0.0,0.0,1.0
