file_name,project_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
C:\mined_repos\kalliope-project\kalliope\kalliope\neurons\ansible_playbook\tests\test_ansible_playbook_neuron.yml,kalliope-project_kalliope,0.0,1.0,0.0,0.0,1.0
C:\mined_repos\kalliope-project\kalliope\kalliope\neurons\neurotransmitter\tests\neurotransmitter_test_brain.yml,kalliope-project_kalliope,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kalliope-project\kalliope\kalliope\neurons\uri\tests\uri_test_brain.yml,kalliope-project_kalliope,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kalliope-project\kalliope\kalliope\neurons\ansible_playbook\tests\test_ansible_playbook.py,kalliope-project_kalliope,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kalliope-project\kalliope\kalliope\neurons\ansible_playbook\tests\__init__.py,kalliope-project_kalliope,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kalliope-project\kalliope\kalliope\neurons\brain\tests\test_brain.py,kalliope-project_kalliope,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kalliope-project\kalliope\kalliope\neurons\brain\tests\__init__.py,kalliope-project_kalliope,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kalliope-project\kalliope\kalliope\neurons\neurotransmitter\tests\test_neurotransmitter.py,kalliope-project_kalliope,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kalliope-project\kalliope\kalliope\neurons\neurotransmitter\tests\__init__.py,kalliope-project_kalliope,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kalliope-project\kalliope\kalliope\neurons\say\tests\test_say.py,kalliope-project_kalliope,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kalliope-project\kalliope\kalliope\neurons\say\tests\__init__.py,kalliope-project_kalliope,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kalliope-project\kalliope\kalliope\neurons\script\tests\test_script.py,kalliope-project_kalliope,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kalliope-project\kalliope\kalliope\neurons\script\tests\__init__.py,kalliope-project_kalliope,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kalliope-project\kalliope\kalliope\neurons\settings\tests\test_settings.py,kalliope-project_kalliope,0.0,0.0,1.0,0.0,0.0
C:\mined_repos\kalliope-project\kalliope\kalliope\neurons\settings\tests\__init__.py,kalliope-project_kalliope,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kalliope-project\kalliope\kalliope\neurons\shell\tests\test_shell.py,kalliope-project_kalliope,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kalliope-project\kalliope\kalliope\neurons\shell\tests\__init__.py,kalliope-project_kalliope,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kalliope-project\kalliope\kalliope\neurons\sleep\tests\test_sleep.py,kalliope-project_kalliope,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kalliope-project\kalliope\kalliope\neurons\sleep\tests\__init__.py,kalliope-project_kalliope,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kalliope-project\kalliope\kalliope\neurons\systemdate\tests\test_systemdate.py,kalliope-project_kalliope,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kalliope-project\kalliope\kalliope\neurons\systemdate\tests\__init__.py,kalliope-project_kalliope,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kalliope-project\kalliope\kalliope\neurons\uri\tests\test_uri_neuron.py,kalliope-project_kalliope,0.0,0.0,0.0,1.0,1.0
