file_name,project_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
C:\mined_repos\kubernetes-incubator\kargo\tests\cloud_playbooks\create-aws.yml,kubernetes-incubator_kargo,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kubernetes-incubator\kargo\tests\cloud_playbooks\create-do.yml,kubernetes-incubator_kargo,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kubernetes-incubator\kargo\tests\cloud_playbooks\create-gce.yml,kubernetes-incubator_kargo,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kubernetes-incubator\kargo\tests\cloud_playbooks\create-packet.yml,kubernetes-incubator_kargo,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kubernetes-incubator\kargo\tests\cloud_playbooks\delete-aws.yml,kubernetes-incubator_kargo,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kubernetes-incubator\kargo\tests\cloud_playbooks\delete-gce.yml,kubernetes-incubator_kargo,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kubernetes-incubator\kargo\tests\cloud_playbooks\delete-packet.yml,kubernetes-incubator_kargo,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kubernetes-incubator\kargo\tests\cloud_playbooks\upload-logs-gcs.yml,kubernetes-incubator_kargo,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kubernetes-incubator\kargo\tests\cloud_playbooks\wait-for-ssh.yml,kubernetes-incubator_kargo,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kubernetes-incubator\kargo\tests\cloud_playbooks\roles\packet-ci\defaults\main.yml,kubernetes-incubator_kargo,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kubernetes-incubator\kargo\tests\cloud_playbooks\roles\packet-ci\tasks\create-vms.yml,kubernetes-incubator_kargo,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kubernetes-incubator\kargo\tests\cloud_playbooks\roles\packet-ci\tasks\delete-vms.yml,kubernetes-incubator_kargo,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kubernetes-incubator\kargo\tests\cloud_playbooks\roles\packet-ci\tasks\main.yml,kubernetes-incubator_kargo,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kubernetes-incubator\kargo\tests\files\packet_amazon-linux-2-aio.yml,kubernetes-incubator_kargo,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kubernetes-incubator\kargo\tests\files\packet_centos7-calico-ha-once-localhost.yml,kubernetes-incubator_kargo,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kubernetes-incubator\kargo\tests\files\packet_centos7-calico-ha.yml,kubernetes-incubator_kargo,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kubernetes-incubator\kargo\tests\files\packet_centos7-crio.yml,kubernetes-incubator_kargo,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kubernetes-incubator\kargo\tests\files\packet_centos7-flannel-containerd-addons-ha.yml,kubernetes-incubator_kargo,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kubernetes-incubator\kargo\tests\files\packet_centos7-kube-router.yml,kubernetes-incubator_kargo,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kubernetes-incubator\kargo\tests\files\packet_centos7-multus-calico.yml,kubernetes-incubator_kargo,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kubernetes-incubator\kargo\tests\files\packet_centos7-weave-upgrade-ha.yml,kubernetes-incubator_kargo,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kubernetes-incubator\kargo\tests\files\packet_centos8-calico.yml,kubernetes-incubator_kargo,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kubernetes-incubator\kargo\tests\files\packet_centos8-kube-ovn.yml,kubernetes-incubator_kargo,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kubernetes-incubator\kargo\tests\files\packet_debian10-cilium-svc-proxy.yml,kubernetes-incubator_kargo,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kubernetes-incubator\kargo\tests\files\packet_debian10-containerd.yml,kubernetes-incubator_kargo,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kubernetes-incubator\kargo\tests\files\packet_debian9-calico-upgrade-once.yml,kubernetes-incubator_kargo,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kubernetes-incubator\kargo\tests\files\packet_debian9-calico-upgrade.yml,kubernetes-incubator_kargo,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kubernetes-incubator\kargo\tests\files\packet_debian9-macvlan.yml,kubernetes-incubator_kargo,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kubernetes-incubator\kargo\tests\files\packet_fedora31-flannel.yml,kubernetes-incubator_kargo,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kubernetes-incubator\kargo\tests\files\packet_fedora32-kube-ovn-containerd.yml,kubernetes-incubator_kargo,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kubernetes-incubator\kargo\tests\files\packet_fedora32-weave.yml,kubernetes-incubator_kargo,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kubernetes-incubator\kargo\tests\files\packet_opensuse-canal.yml,kubernetes-incubator_kargo,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kubernetes-incubator\kargo\tests\files\packet_oracle7-canal-ha.yml,kubernetes-incubator_kargo,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kubernetes-incubator\kargo\tests\files\packet_ubuntu16-canal-kubeadm-ha.yml,kubernetes-incubator_kargo,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kubernetes-incubator\kargo\tests\files\packet_ubuntu16-canal-sep.yml,kubernetes-incubator_kargo,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kubernetes-incubator\kargo\tests\files\packet_ubuntu16-contiv-sep.yml,kubernetes-incubator_kargo,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kubernetes-incubator\kargo\tests\files\packet_ubuntu16-flannel-ha.yml,kubernetes-incubator_kargo,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kubernetes-incubator\kargo\tests\files\packet_ubuntu16-kube-router-sep.yml,kubernetes-incubator_kargo,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kubernetes-incubator\kargo\tests\files\packet_ubuntu16-kube-router-svc-proxy.yml,kubernetes-incubator_kargo,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kubernetes-incubator\kargo\tests\files\packet_ubuntu16-weave-sep.yml,kubernetes-incubator_kargo,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kubernetes-incubator\kargo\tests\files\packet_ubuntu18-calico-aio.yml,kubernetes-incubator_kargo,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kubernetes-incubator\kargo\tests\files\packet_ubuntu18-calico-ha-recover-noquorum.yml,kubernetes-incubator_kargo,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kubernetes-incubator\kargo\tests\files\packet_ubuntu18-calico-ha-recover.yml,kubernetes-incubator_kargo,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kubernetes-incubator\kargo\tests\files\packet_ubuntu18-cilium-sep.yml,kubernetes-incubator_kargo,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kubernetes-incubator\kargo\tests\files\packet_ubuntu18-crio.yml,kubernetes-incubator_kargo,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kubernetes-incubator\kargo\tests\files\packet_ubuntu18-flannel-containerd-ha-once.yml,kubernetes-incubator_kargo,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kubernetes-incubator\kargo\tests\files\packet_ubuntu18-flannel-containerd-ha.yml,kubernetes-incubator_kargo,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kubernetes-incubator\kargo\tests\files\packet_ubuntu18-ovn4nfv.yml,kubernetes-incubator_kargo,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kubernetes-incubator\kargo\tests\files\packet_ubuntu20-calico-aio.yml,kubernetes-incubator_kargo,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kubernetes-incubator\kargo\tests\files\tf-elastx_ubuntu18-calico.yml,kubernetes-incubator_kargo,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kubernetes-incubator\kargo\tests\files\tf-ovh_ubuntu18-calico.yml,kubernetes-incubator_kargo,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kubernetes-incubator\kargo\tests\files\vagrant_ubuntu18-flannel.yml,kubernetes-incubator_kargo,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kubernetes-incubator\kargo\tests\files\vagrant_ubuntu18-weave-medium.yml,kubernetes-incubator_kargo,0.0,0.0,0.0,0.0,1.0
