file_name,project_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
C:\mined_repos\kubespray\kargo\tests\cloud_playbooks\create-aws.yml,kubespray_kargo,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kubespray\kargo\tests\cloud_playbooks\create-do.yml,kubespray_kargo,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kubespray\kargo\tests\cloud_playbooks\create-gce.yml,kubespray_kargo,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kubespray\kargo\tests\cloud_playbooks\create-packet.yml,kubespray_kargo,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kubespray\kargo\tests\cloud_playbooks\delete-aws.yml,kubespray_kargo,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kubespray\kargo\tests\cloud_playbooks\delete-gce.yml,kubespray_kargo,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kubespray\kargo\tests\cloud_playbooks\delete-packet.yml,kubespray_kargo,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kubespray\kargo\tests\cloud_playbooks\upload-logs-gcs.yml,kubespray_kargo,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kubespray\kargo\tests\cloud_playbooks\wait-for-ssh.yml,kubespray_kargo,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kubespray\kargo\tests\cloud_playbooks\roles\packet-ci\defaults\main.yml,kubespray_kargo,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kubespray\kargo\tests\cloud_playbooks\roles\packet-ci\tasks\create-vms.yml,kubespray_kargo,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kubespray\kargo\tests\cloud_playbooks\roles\packet-ci\tasks\delete-vms.yml,kubespray_kargo,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kubespray\kargo\tests\cloud_playbooks\roles\packet-ci\tasks\main.yml,kubespray_kargo,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kubespray\kargo\tests\files\packet_amazon-linux-2-aio.yml,kubespray_kargo,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kubespray\kargo\tests\files\packet_centos7-calico-ha-once-localhost.yml,kubespray_kargo,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kubespray\kargo\tests\files\packet_centos7-calico-ha.yml,kubespray_kargo,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kubespray\kargo\tests\files\packet_centos7-crio.yml,kubespray_kargo,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kubespray\kargo\tests\files\packet_centos7-flannel-containerd-addons-ha.yml,kubespray_kargo,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kubespray\kargo\tests\files\packet_centos7-kube-router.yml,kubespray_kargo,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kubespray\kargo\tests\files\packet_centos7-multus-calico.yml,kubespray_kargo,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\kubespray\kargo\tests\files\packet_centos7-weave-upgrade-ha.yml,kubespray_kargo,0.0,0.0,0.0,0.0,1.0
