file_name,project_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
C:\mined_repos\leapp-to\snactor\tests\actors\base_actor\_actor.yaml,leapp-to_snactor,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\leapp-to\snactor\tests\actors\group_actor\_actor.yaml,leapp-to_snactor,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\leapp-to\snactor\tests\actors\group_part_one_actor\_actor.yaml,leapp-to_snactor,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\leapp-to\snactor\tests\actors\group_part_two_actor\_actor.yaml,leapp-to_snactor,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\leapp-to\snactor\tests\actors\incomplete_group_actor\_actor.yaml,leapp-to_snactor,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\leapp-to\snactor\tests\actors\load_twice_actor\_actor.yaml,leapp-to_snactor,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\leapp-to\snactor\tests\actors\no_executor_actor\_actor.yaml,leapp-to_snactor,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\leapp-to\snactor\tests\actors\simple_actor\_actor.yaml,leapp-to_snactor,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\leapp-to\snactor\tests\test_loader.py,leapp-to_snactor,0.0,0.0,0.0,1.0,1.0
C:\mined_repos\leapp-to\snactor\tests\test_registry.py,leapp-to_snactor,0.0,0.0,3.0,0.0,1.0
C:\mined_repos\leapp-to\snactor\tests\__init__.py,leapp-to_snactor,0.0,0.0,0.0,0.0,1.0
