file_name,project_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
C:\mined_repos\openshift\openshift-tools\ansible\roles\lib_aws_service_limit\tests\test.yml,openshift_openshift-tools,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openshift\openshift-tools\ansible\roles\logrotate\tests\test.yml,openshift_openshift-tools,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openshift\openshift-tools\ansible\roles\openshift_disk_provision\tests\test.yml,openshift_openshift-tools,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openshift\openshift-tools\ansible\roles\temp_dir_git_clone\tests\test.yml,openshift_openshift-tools,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openshift\openshift-tools\openshift\installer\vendored\openshift-ansible-3.10.0-0.29.0\roles\nickhammond.logrotate\tests\test.yml,openshift_openshift-tools,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openshift\openshift-tools\openshift\installer\vendored\openshift-ansible-3.10.0-0.29.0\roles\openshift_prometheus\tests\test.yaml,openshift_openshift-tools,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openshift\openshift-tools\openshift\installer\vendored\openshift-ansible-3.11.28-1\roles\nickhammond.logrotate\tests\test.yml,openshift_openshift-tools,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openshift\openshift-tools\openshift\installer\vendored\openshift-ansible-3.9.14-1\roles\nickhammond.logrotate\tests\test.yml,openshift_openshift-tools,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openshift\openshift-tools\openshift\installer\vendored\openshift-ansible-3.9.14-1\roles\openshift_prometheus\tests\test.yaml,openshift_openshift-tools,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openshift\openshift-tools\openshift\installer\vendored\openshift-ansible-3.9.40\roles\nickhammond.logrotate\tests\test.yml,openshift_openshift-tools,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openshift\openshift-tools\openshift\installer\vendored\openshift-ansible-3.9.40\roles\openshift_prometheus\tests\test.yaml,openshift_openshift-tools,0.0,0.0,0.0,0.0,1.0
