file_name,project_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
C:\mined_repos\openstack-infra\shade\shade\tests\ansible\run.yml,openstack-infra_shade,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack-infra\shade\shade\tests\ansible\roles\auth\tasks\main.yml,openstack-infra_shade,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack-infra\shade\shade\tests\ansible\roles\client_config\tasks\main.yml,openstack-infra_shade,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack-infra\shade\shade\tests\ansible\roles\group\tasks\main.yml,openstack-infra_shade,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack-infra\shade\shade\tests\ansible\roles\group\vars\main.yml,openstack-infra_shade,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack-infra\shade\shade\tests\ansible\roles\image\tasks\main.yml,openstack-infra_shade,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack-infra\shade\shade\tests\ansible\roles\image\vars\main.yml,openstack-infra_shade,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack-infra\shade\shade\tests\ansible\roles\keypair\tasks\main.yml,openstack-infra_shade,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack-infra\shade\shade\tests\ansible\roles\keypair\vars\main.yml,openstack-infra_shade,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack-infra\shade\shade\tests\ansible\roles\keystone_domain\tasks\main.yml,openstack-infra_shade,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack-infra\shade\shade\tests\ansible\roles\keystone_domain\vars\main.yml,openstack-infra_shade,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack-infra\shade\shade\tests\ansible\roles\keystone_role\tasks\main.yml,openstack-infra_shade,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack-infra\shade\shade\tests\ansible\roles\keystone_role\vars\main.yml,openstack-infra_shade,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack-infra\shade\shade\tests\ansible\roles\network\tasks\main.yml,openstack-infra_shade,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack-infra\shade\shade\tests\ansible\roles\network\vars\main.yml,openstack-infra_shade,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack-infra\shade\shade\tests\ansible\roles\nova_flavor\tasks\main.yml,openstack-infra_shade,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack-infra\shade\shade\tests\ansible\roles\object\tasks\main.yml,openstack-infra_shade,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack-infra\shade\shade\tests\ansible\roles\port\tasks\main.yml,openstack-infra_shade,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack-infra\shade\shade\tests\ansible\roles\port\vars\main.yml,openstack-infra_shade,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack-infra\shade\shade\tests\ansible\roles\router\tasks\main.yml,openstack-infra_shade,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack-infra\shade\shade\tests\ansible\roles\router\vars\main.yml,openstack-infra_shade,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack-infra\shade\shade\tests\ansible\roles\security_group\tasks\main.yml,openstack-infra_shade,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack-infra\shade\shade\tests\ansible\roles\security_group\vars\main.yml,openstack-infra_shade,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack-infra\shade\shade\tests\ansible\roles\server\tasks\main.yml,openstack-infra_shade,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack-infra\shade\shade\tests\ansible\roles\server\vars\main.yaml,openstack-infra_shade,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack-infra\shade\shade\tests\ansible\roles\subnet\tasks\main.yml,openstack-infra_shade,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack-infra\shade\shade\tests\ansible\roles\subnet\vars\main.yml,openstack-infra_shade,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack-infra\shade\shade\tests\ansible\roles\user\tasks\main.yml,openstack-infra_shade,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack-infra\shade\shade\tests\ansible\roles\user_group\tasks\main.yml,openstack-infra_shade,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack-infra\shade\shade\tests\ansible\roles\volume\tasks\main.yml,openstack-infra_shade,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack-infra\shade\shade\tests\unit\fixtures\clouds\clouds.yaml,openstack-infra_shade,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack-infra\shade\shade\tests\unit\fixtures\clouds\clouds_cache.yaml,openstack-infra_shade,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack-infra\shade\shade\tests\base.py,openstack-infra_shade,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack-infra\shade\shade\tests\fakes.py,openstack-infra_shade,0.0,0.0,0.0,3.0,1.0
C:\mined_repos\openstack-infra\shade\shade\tests\__init__.py,openstack-infra_shade,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack-infra\shade\shade\tests\functional\base.py,openstack-infra_shade,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack-infra\shade\shade\tests\functional\test_aggregate.py,openstack-infra_shade,0.0,0.0,1.0,0.0,0.0
C:\mined_repos\openstack-infra\shade\shade\tests\functional\test_cluster_templates.py,openstack-infra_shade,0.0,0.0,1.0,0.0,0.0
C:\mined_repos\openstack-infra\shade\shade\tests\functional\test_compute.py,openstack-infra_shade,0.0,0.0,15.0,0.0,1.0
C:\mined_repos\openstack-infra\shade\shade\tests\functional\test_devstack.py,openstack-infra_shade,0.0,0.0,0.0,0.0,1.0
