file_name,project_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
C:\mined_repos\openstack\castellan\castellan\tests\base.py,openstack_castellan,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\castellan\castellan\tests\utils.py,openstack_castellan,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\castellan\castellan\tests\__init__.py,openstack_castellan,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\castellan\castellan\tests\functional\config.py,openstack_castellan,0.0,0.0,0.0,1.0,1.0
C:\mined_repos\openstack\castellan\castellan\tests\functional\__init__.py,openstack_castellan,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\castellan\castellan\tests\functional\key_manager\test_key_manager.py,openstack_castellan,0.0,0.0,4.0,0.0,1.0
C:\mined_repos\openstack\castellan\castellan\tests\functional\key_manager\test_vault_key_manager.py,openstack_castellan,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\castellan\castellan\tests\functional\key_manager\__init__.py,openstack_castellan,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\castellan\castellan\tests\unit\test_config_driver.py,openstack_castellan,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\openstack\castellan\castellan\tests\unit\test_options.py,openstack_castellan,0.0,0.0,1.0,2.0,1.0
C:\mined_repos\openstack\castellan\castellan\tests\unit\test_utils.py,openstack_castellan,0.0,0.0,9.0,0.0,1.0
C:\mined_repos\openstack\castellan\castellan\tests\unit\__init__.py,openstack_castellan,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\castellan\castellan\tests\unit\credentials\test_keystone_password.py,openstack_castellan,0.0,0.0,2.0,0.0,1.0
C:\mined_repos\openstack\castellan\castellan\tests\unit\credentials\test_keystone_token.py,openstack_castellan,0.0,0.0,2.0,0.0,1.0
C:\mined_repos\openstack\castellan\castellan\tests\unit\credentials\test_password.py,openstack_castellan,0.0,0.0,2.0,0.0,1.0
C:\mined_repos\openstack\castellan\castellan\tests\unit\credentials\test_token.py,openstack_castellan,0.0,0.0,2.0,0.0,1.0
C:\mined_repos\openstack\castellan\castellan\tests\unit\credentials\__init__.py,openstack_castellan,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\castellan\castellan\tests\unit\key_manager\fake.py,openstack_castellan,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\castellan\castellan\tests\unit\key_manager\mock_key_manager.py,openstack_castellan,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\castellan\castellan\tests\unit\key_manager\test_barbican_key_manager.py,openstack_castellan,0.0,0.0,12.0,17.0,1.0
C:\mined_repos\openstack\castellan\castellan\tests\unit\key_manager\test_key_manager.py,openstack_castellan,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\openstack\castellan\castellan\tests\unit\key_manager\test_migration_key_manager.py,openstack_castellan,0.0,0.0,3.0,0.0,1.0
C:\mined_repos\openstack\castellan\castellan\tests\unit\key_manager\test_mock_key_manager.py,openstack_castellan,0.0,0.0,6.0,0.0,0.0
C:\mined_repos\openstack\castellan\castellan\tests\unit\key_manager\test_not_implemented_key_manager.py,openstack_castellan,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\castellan\castellan\tests\unit\key_manager\__init__.py,openstack_castellan,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\castellan\castellan\tests\unit\objects\test_opaque.py,openstack_castellan,0.0,0.0,2.0,0.0,1.0
C:\mined_repos\openstack\castellan\castellan\tests\unit\objects\test_passphrase.py,openstack_castellan,0.0,0.0,2.0,0.0,1.0
C:\mined_repos\openstack\castellan\castellan\tests\unit\objects\test_private_key.py,openstack_castellan,0.0,0.0,2.0,0.0,1.0
C:\mined_repos\openstack\castellan\castellan\tests\unit\objects\test_public_key.py,openstack_castellan,0.0,0.0,2.0,0.0,1.0
C:\mined_repos\openstack\castellan\castellan\tests\unit\objects\test_symmetric_key.py,openstack_castellan,0.0,0.0,2.0,0.0,1.0
C:\mined_repos\openstack\castellan\castellan\tests\unit\objects\test_x_509.py,openstack_castellan,0.0,0.0,2.0,0.0,1.0
C:\mined_repos\openstack\castellan\castellan\tests\unit\objects\__init__.py,openstack_castellan,0.0,0.0,0.0,0.0,1.0
