file_name,project_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
C:\mined_repos\openstack\cinder\cinder\tests\unit\volume\drivers\dell_emc\vnx\mocked_cinder.yaml,openstack_cinder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\volume\drivers\dell_emc\vnx\mocked_vnx.yaml,openstack_cinder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\volume\drivers\dell_emc\vnx\test_res_mock.yaml,openstack_cinder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\fake_driver.py,openstack_cinder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\fixtures.py,openstack_cinder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\__init__.py,openstack_cinder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\compliance\test_backup_drivers.py,openstack_cinder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\compliance\test_fczm_drivers.py,openstack_cinder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\compliance\test_volume_drivers.py,openstack_cinder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\compliance\__init__.py,openstack_cinder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\functional\api_samples_test_base.py,openstack_cinder,0.0,0.0,0.0,5.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\functional\functional_helpers.py,openstack_cinder,0.0,0.0,0.0,4.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\functional\test_default_types.py,openstack_cinder,0.0,0.0,4.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\functional\test_extensions.py,openstack_cinder,0.0,0.0,2.0,1.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\functional\test_groups.py,openstack_cinder,0.0,0.0,2.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\functional\test_group_replication.py,openstack_cinder,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\functional\test_group_snapshots.py,openstack_cinder,0.0,0.0,4.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\functional\test_login.py,openstack_cinder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\functional\test_middleware.py,openstack_cinder,0.0,0.0,0.0,1.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\functional\test_quotas.py,openstack_cinder,0.0,0.0,2.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\functional\test_volumes.py,openstack_cinder,0.0,0.0,9.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\functional\__init__.py,openstack_cinder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\functional\api\client.py,openstack_cinder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\functional\api\foxinsocks.py,openstack_cinder,0.0,0.0,0.0,1.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\functional\api\__init__.py,openstack_cinder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\functional\api_sample_tests\fakes.py,openstack_cinder,0.0,0.0,0.0,2.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\functional\api_sample_tests\test_extensions.py,openstack_cinder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\functional\api_sample_tests\test_limits.py,openstack_cinder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\functional\api_sample_tests\test_qos.py,openstack_cinder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\functional\api_sample_tests\test_quota_classes.py,openstack_cinder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\functional\api_sample_tests\test_quota_sets.py,openstack_cinder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\functional\api_sample_tests\test_snapshots.py,openstack_cinder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\functional\api_sample_tests\test_snapshot_manage_extensions.py,openstack_cinder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\functional\api_sample_tests\test_versions.py,openstack_cinder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\functional\api_sample_tests\test_volumes.py,openstack_cinder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\functional\api_sample_tests\test_volume_actions.py,openstack_cinder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\functional\api_sample_tests\test_volume_manage_extensions.py,openstack_cinder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\functional\api_sample_tests\test_volume_transfer.py,openstack_cinder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\functional\api_sample_tests\test_volume_types.py,openstack_cinder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\functional\api_sample_tests\__init__.py,openstack_cinder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\hacking\checks.py,openstack_cinder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\hacking\__init__.py,openstack_cinder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\cast_as_call.py,openstack_cinder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\conf_fixture.py,openstack_cinder,0.0,0.0,0.0,1.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\fake_cluster.py,openstack_cinder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\fake_constants.py,openstack_cinder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\fake_group.py,openstack_cinder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\fake_group_snapshot.py,openstack_cinder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\fake_notifier.py,openstack_cinder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\fake_objects.py,openstack_cinder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\fake_service.py,openstack_cinder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\fake_snapshot.py,openstack_cinder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\fake_utils.py,openstack_cinder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\fake_volume.py,openstack_cinder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\test.py,openstack_cinder,0.0,0.0,0.0,4.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\test_api.py,openstack_cinder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\test_api_urlmap.py,openstack_cinder,0.0,0.0,3.0,13.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\test_cleanable_manager.py,openstack_cinder,0.0,0.0,8.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\test_cmd.py,openstack_cinder,0.0,0.0,50.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\test_context.py,openstack_cinder,0.0,0.0,4.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\test_coordination.py,openstack_cinder,0.0,0.0,5.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\test_db_api.py,openstack_cinder,0.0,0.0,57.0,1.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\test_db_worker_api.py,openstack_cinder,0.0,0.0,8.0,0.0,0.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\test_evaluator.py,openstack_cinder,0.0,0.0,12.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\test_exception.py,openstack_cinder,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\test_fixtures.py,openstack_cinder,0.0,0.0,2.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\test_hacking.py,openstack_cinder,0.0,0.0,8.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\test_image_utils.py,openstack_cinder,0.0,0.0,61.0,3.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\test_interface.py,openstack_cinder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\test_manager.py,openstack_cinder,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\test_paginate_query.py,openstack_cinder,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\test_policy.py,openstack_cinder,0.0,0.0,0.0,1.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\test_qos_specs.py,openstack_cinder,0.0,0.0,8.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\test_quota.py,openstack_cinder,0.0,0.0,52.0,1.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\test_quota_utils.py,openstack_cinder,0.0,0.0,5.0,1.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\test_rpc.py,openstack_cinder,0.0,0.0,6.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\test_service.py,openstack_cinder,0.0,0.0,21.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\test_service_auth.py,openstack_cinder,0.0,0.0,3.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\test_setup_profiler.py,openstack_cinder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\test_ssh_utils.py,openstack_cinder,0.0,0.0,9.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\test_test.py,openstack_cinder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\test_test_utils.py,openstack_cinder,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\test_utils.py,openstack_cinder,0.0,0.0,83.0,2.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\test_volume_cleanup.py,openstack_cinder,0.0,0.0,5.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\test_volume_configuration.py,openstack_cinder,0.0,0.0,4.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\test_volume_glance_metadata.py,openstack_cinder,0.0,0.0,3.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\test_volume_throttling.py,openstack_cinder,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\test_volume_transfer.py,openstack_cinder,0.0,0.0,12.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\test_volume_types.py,openstack_cinder,0.0,0.0,13.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\test_volume_types_extra_specs.py,openstack_cinder,0.0,0.0,3.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\test_volume_utils.py,openstack_cinder,0.0,0.0,40.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\utils.py,openstack_cinder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\__init__.py,openstack_cinder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\api\fakes.py,openstack_cinder,0.0,0.0,0.0,3.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\api\test_api_validation.py,openstack_cinder,0.0,0.0,9.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\api\test_common.py,openstack_cinder,0.0,0.0,2.0,29.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\api\test_versions.py,openstack_cinder,0.0,0.0,8.0,5.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\api\__init__.py,openstack_cinder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\api\contrib\test_admin_actions.py,openstack_cinder,0.0,0.0,22.0,0.0,0.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\api\contrib\test_availability_zones.py,openstack_cinder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\api\contrib\test_backups.py,openstack_cinder,0.0,0.0,71.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\api\contrib\test_backup_project_attribute.py,openstack_cinder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\api\contrib\test_capabilities.py,openstack_cinder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\api\contrib\test_cgsnapshots.py,openstack_cinder,0.0,0.0,14.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\api\contrib\test_consistencygroups.py,openstack_cinder,0.0,0.0,46.0,1.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\api\contrib\test_extended_snapshot_attributes.py,openstack_cinder,0.0,0.0,3.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\api\contrib\test_hosts.py,openstack_cinder,0.0,0.0,3.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\api\contrib\test_qos_specs_manage.py,openstack_cinder,0.0,0.0,24.0,1.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\api\contrib\test_quotas.py,openstack_cinder,0.0,0.0,20.0,1.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\api\contrib\test_quotas_classes.py,openstack_cinder,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\api\contrib\test_scheduler_hints.py,openstack_cinder,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\api\contrib\test_scheduler_stats.py,openstack_cinder,0.0,0.0,5.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\api\contrib\test_services.py,openstack_cinder,0.0,0.0,13.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\api\contrib\test_snapshot_actions.py,openstack_cinder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\api\contrib\test_snapshot_manage.py,openstack_cinder,0.0,0.0,14.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\api\contrib\test_snapshot_unmanage.py,openstack_cinder,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\api\contrib\test_types_extra_specs.py,openstack_cinder,0.0,0.0,10.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\api\contrib\test_types_manage.py,openstack_cinder,0.0,0.0,15.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\api\contrib\test_used_limits.py,openstack_cinder,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\api\contrib\test_volume_actions.py,openstack_cinder,0.0,0.0,13.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\api\contrib\test_volume_encryption_metadata.py,openstack_cinder,0.0,0.0,11.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\api\contrib\test_volume_host_attribute.py,openstack_cinder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\api\contrib\test_volume_image_metadata.py,openstack_cinder,0.0,0.0,8.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\api\contrib\test_volume_manage.py,openstack_cinder,0.0,0.0,13.0,1.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\api\contrib\test_volume_migration_status_attribute.py,openstack_cinder,0.0,0.0,5.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\api\contrib\test_volume_tenant_attribute.py,openstack_cinder,0.0,0.0,4.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\api\contrib\test_volume_transfer.py,openstack_cinder,0.0,0.0,20.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\api\contrib\test_volume_type_access.py,openstack_cinder,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\api\contrib\test_volume_type_encryption.py,openstack_cinder,0.0,0.0,12.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\api\contrib\test_volume_unmanage.py,openstack_cinder,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\api\contrib\__init__.py,openstack_cinder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\api\middleware\test_auth.py,openstack_cinder,0.0,0.0,4.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\api\middleware\test_faults.py,openstack_cinder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\api\middleware\__init__.py,openstack_cinder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\cinder\cinder\tests\unit\api\openstack\test_api_version_request.py,openstack_cinder,0.0,0.0,5.0,0.0,1.0
