file_name,project_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
C:\mined_repos\openstack\diskimage-builder\diskimage_builder\block_device\tests\config\bad_edge_graph.yaml,openstack_diskimage-builder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\diskimage-builder\diskimage_builder\block_device\tests\config\bad_plugin.yaml,openstack_diskimage-builder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\diskimage-builder\diskimage_builder\block_device\tests\config\cmd_create.yaml,openstack_diskimage-builder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\diskimage-builder\diskimage_builder\block_device\tests\config\deep_graph.yaml,openstack_diskimage-builder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\diskimage-builder\diskimage_builder\block_device\tests\config\deep_tree.yaml,openstack_diskimage-builder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\diskimage-builder\diskimage_builder\block_device\tests\config\duplicate_fs_labels.yaml,openstack_diskimage-builder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\diskimage-builder\diskimage_builder\block_device\tests\config\duplicate_name.yaml,openstack_diskimage-builder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\diskimage-builder\diskimage_builder\block_device\tests\config\gpt_efi.yaml,openstack_diskimage-builder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\diskimage-builder\diskimage_builder\block_device\tests\config\lvm_graph.yaml,openstack_diskimage-builder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\diskimage-builder\diskimage_builder\block_device\tests\config\lvm_tree.yaml,openstack_diskimage-builder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\diskimage-builder\diskimage_builder\block_device\tests\config\lvm_tree_multiple_partitions.yaml,openstack_diskimage-builder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\diskimage-builder\diskimage_builder\block_device\tests\config\lvm_tree_multiple_pv.yaml,openstack_diskimage-builder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\diskimage-builder\diskimage_builder\block_device\tests\config\lvm_tree_multiple_pv_vg.yaml,openstack_diskimage-builder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\diskimage-builder\diskimage_builder\block_device\tests\config\lvm_tree_partition_ordering.yaml,openstack_diskimage-builder,0.0,0.0,0.0,0.0,1.0
