file_name,project_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
C:\mined_repos\openstack\glance\glance\tests\stubs.py,openstack_glance,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\glance\glance\tests\test_hacking.py,openstack_glance,0.0,0.0,11.0,0.0,1.0
C:\mined_repos\openstack\glance\glance\tests\utils.py,openstack_glance,0.0,0.0,0.0,7.0,1.0
C:\mined_repos\openstack\glance\glance\tests\__init__.py,openstack_glance,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\glance\glance\tests\functional\ft_utils.py,openstack_glance,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\openstack\glance\glance\tests\functional\store_utils.py,openstack_glance,0.0,0.0,0.0,1.0,1.0
C:\mined_repos\openstack\glance\glance\tests\functional\test_api.py,openstack_glance,0.0,0.0,9.0,14.0,1.0
C:\mined_repos\openstack\glance\glance\tests\functional\test_cache_middleware.py,openstack_glance,0.0,0.0,4.0,17.0,0.0
C:\mined_repos\openstack\glance\glance\tests\functional\test_client_exceptions.py,openstack_glance,0.0,0.0,1.0,1.0,1.0
C:\mined_repos\openstack\glance\glance\tests\functional\test_client_redirects.py,openstack_glance,0.0,0.0,5.0,2.0,1.0
C:\mined_repos\openstack\glance\glance\tests\functional\test_cors_middleware.py,openstack_glance,0.0,0.0,4.0,7.0,1.0
C:\mined_repos\openstack\glance\glance\tests\functional\test_glance_manage.py,openstack_glance,0.0,0.0,4.0,3.0,1.0
C:\mined_repos\openstack\glance\glance\tests\functional\test_gzip_middleware.py,openstack_glance,0.0,0.0,1.0,1.0,1.0
C:\mined_repos\openstack\glance\glance\tests\functional\test_healthcheck_middleware.py,openstack_glance,0.0,0.0,1.0,1.0,1.0
C:\mined_repos\openstack\glance\glance\tests\functional\test_logging.py,openstack_glance,0.0,0.0,4.0,1.0,1.0
