file_name,project_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
C:\mined_repos\openstack\kolla\tests\playbooks\post.yml,openstack_kolla,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\kolla\tests\playbooks\pre.yml,openstack_kolla,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\kolla\tests\playbooks\publish.yml,openstack_kolla,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\kolla\tests\playbooks\run.yml,openstack_kolla,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\kolla\tests\vars\zuul.yml,openstack_kolla,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\kolla\tests\clients.py,openstack_kolla,0.0,0.0,0.0,1.0,1.0
C:\mined_repos\openstack\kolla\tests\test_keystone.py,openstack_kolla,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\kolla\tests\test_set_config.py,openstack_kolla,0.0,0.0,10.0,1.0,1.0
C:\mined_repos\openstack\kolla\tests\__init__.py,openstack_kolla,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\kolla\tests\files\process_build_logs.py,openstack_kolla,0.0,0.0,0.0,1.0,1.0
C:\mined_repos\openstack\kolla\kolla\tests\base.py,openstack_kolla,0.0,0.0,0.0,2.0,1.0
C:\mined_repos\openstack\kolla\kolla\tests\test_build.py,openstack_kolla,0.0,0.0,17.0,17.0,1.0
C:\mined_repos\openstack\kolla\kolla\tests\test_hacking.py,openstack_kolla,0.0,0.0,2.0,0.0,1.0
C:\mined_repos\openstack\kolla\kolla\tests\test_methods.py,openstack_kolla,0.0,0.0,0.0,4.0,1.0
C:\mined_repos\openstack\kolla\kolla\tests\__init__.py,openstack_kolla,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\kolla\kolla\tests\common\test_config.py,openstack_kolla,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\kolla\kolla\tests\common\__init__.py,openstack_kolla,0.0,0.0,0.0,0.0,1.0
