file_name,project_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
C:\mined_repos\openstack\magnum\magnum\tests\base.py,openstack_magnum,0.0,0.0,0.0,2.0,1.0
C:\mined_repos\openstack\magnum\magnum\tests\conf_fixture.py,openstack_magnum,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\magnum\magnum\tests\fakes.py,openstack_magnum,0.0,0.0,0.0,1.0,1.0
C:\mined_repos\openstack\magnum\magnum\tests\fake_notifier.py,openstack_magnum,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\magnum\magnum\tests\output_fixture.py,openstack_magnum,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\magnum\magnum\tests\policy_fixture.py,openstack_magnum,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\magnum\magnum\tests\utils.py,openstack_magnum,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\magnum\magnum\tests\__init__.py,openstack_magnum,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\magnum\magnum\tests\functional\python_client_base.py,openstack_magnum,0.0,0.0,3.0,0.0,0.0
C:\mined_repos\openstack\magnum\magnum\tests\functional\__init__.py,openstack_magnum,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\magnum\magnum\tests\functional\api\__init__.py,openstack_magnum,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\magnum\magnum\tests\functional\api\v1\__init__.py,openstack_magnum,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\magnum\magnum\tests\functional\api\v1\clients\baymodel_client.py,openstack_magnum,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\magnum\magnum\tests\functional\api\v1\clients\bay_client.py,openstack_magnum,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\magnum\magnum\tests\functional\api\v1\clients\cert_client.py,openstack_magnum,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\magnum\magnum\tests\functional\api\v1\clients\cluster_client.py,openstack_magnum,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\magnum\magnum\tests\functional\api\v1\clients\cluster_template_client.py,openstack_magnum,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\magnum\magnum\tests\functional\api\v1\clients\magnum_service_client.py,openstack_magnum,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\magnum\magnum\tests\functional\api\v1\clients\__init__.py,openstack_magnum,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\magnum\magnum\tests\functional\api\v1\models\baymodelpatch_model.py,openstack_magnum,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\magnum\magnum\tests\functional\api\v1\models\baymodel_model.py,openstack_magnum,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\magnum\magnum\tests\functional\api\v1\models\baypatch_model.py,openstack_magnum,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\magnum\magnum\tests\functional\api\v1\models\bay_model.py,openstack_magnum,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\magnum\magnum\tests\functional\api\v1\models\cert_model.py,openstack_magnum,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\magnum\magnum\tests\functional\api\v1\models\clusterpatch_model.py,openstack_magnum,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\magnum\magnum\tests\functional\api\v1\models\cluster_id_model.py,openstack_magnum,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\magnum\magnum\tests\functional\api\v1\models\cluster_model.py,openstack_magnum,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\magnum\magnum\tests\functional\api\v1\models\cluster_templatepatch_model.py,openstack_magnum,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\magnum\magnum\tests\functional\api\v1\models\cluster_template_model.py,openstack_magnum,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\magnum\magnum\tests\functional\api\v1\models\magnum_service_model.py,openstack_magnum,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\magnum\magnum\tests\functional\api\v1\models\__init__.py,openstack_magnum,0.0,0.0,0.0,0.0,1.0
