file_name,project_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
C:\mined_repos\openstack\manila\manila\tests\share\drivers\dell_emc\plugins\unity\mocked_manila.yaml,openstack_manila,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\manila\manila\tests\share\drivers\dell_emc\plugins\unity\mocked_unity.yaml,openstack_manila,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\manila\manila\tests\conf_fixture.py,openstack_manila,0.0,0.0,0.0,4.0,1.0
C:\mined_repos\openstack\manila\manila\tests\db_utils.py,openstack_manila,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\manila\manila\tests\declare_conf.py,openstack_manila,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\manila\manila\tests\fake_client_exception_class.py,openstack_manila,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\manila\manila\tests\fake_compute.py,openstack_manila,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\manila\manila\tests\fake_network.py,openstack_manila,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\manila\manila\tests\fake_notifier.py,openstack_manila,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\manila\manila\tests\fake_service_instance.py,openstack_manila,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\manila\manila\tests\fake_share.py,openstack_manila,0.0,0.0,0.0,2.0,1.0
C:\mined_repos\openstack\manila\manila\tests\fake_utils.py,openstack_manila,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\manila\manila\tests\fake_volume.py,openstack_manila,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\manila\manila\tests\fake_zfssa.py,openstack_manila,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\manila\manila\tests\runtime_conf.py,openstack_manila,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\manila\manila\tests\test_api.py,openstack_manila,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\manila\manila\tests\test_conf.py,openstack_manila,0.0,0.0,6.0,0.0,1.0
C:\mined_repos\openstack\manila\manila\tests\test_context.py,openstack_manila,0.0,0.0,3.0,0.0,1.0
C:\mined_repos\openstack\manila\manila\tests\test_coordination.py,openstack_manila,0.0,0.0,4.0,0.0,1.0
C:\mined_repos\openstack\manila\manila\tests\test_exception.py,openstack_manila,0.0,0.0,50.0,0.0,1.0
C:\mined_repos\openstack\manila\manila\tests\test_hacking.py,openstack_manila,0.0,0.0,5.0,0.0,1.0
C:\mined_repos\openstack\manila\manila\tests\test_manager.py,openstack_manila,0.0,0.0,3.0,0.0,1.0
C:\mined_repos\openstack\manila\manila\tests\test_misc.py,openstack_manila,0.0,0.0,0.0,1.0,1.0
C:\mined_repos\openstack\manila\manila\tests\test_network.py,openstack_manila,0.0,0.0,4.0,0.0,1.0
C:\mined_repos\openstack\manila\manila\tests\test_policy.py,openstack_manila,0.0,0.0,3.0,0.0,0.0
C:\mined_repos\openstack\manila\manila\tests\test_quota.py,openstack_manila,0.0,0.0,32.0,0.0,1.0
C:\mined_repos\openstack\manila\manila\tests\test_rpc.py,openstack_manila,0.0,0.0,2.0,0.0,1.0
