file_name,project_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
C:\mined_repos\openstack\mistral\mistral\tests\releasenotes\notes\return-errors-for-std-mistral-http-b852b6d8f0034477.yaml,openstack_mistral,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\mistral\mistral\tests\resources\action_jinja.yaml,openstack_mistral,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\mistral\mistral\tests\resources\action_v2.yaml,openstack_mistral,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\mistral\mistral\tests\resources\single_wf.yaml,openstack_mistral,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\mistral\mistral\tests\resources\wb_v1.yaml,openstack_mistral,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\mistral\mistral\tests\resources\wb_v2.yaml,openstack_mistral,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\mistral\mistral\tests\resources\wb_with_nested_wf.yaml,openstack_mistral,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\mistral\mistral\tests\resources\wf_action_ex_concurrency.yaml,openstack_mistral,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\mistral\mistral\tests\resources\wf_jinja.yaml,openstack_mistral,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\mistral\mistral\tests\resources\wf_task_ex_concurrency.yaml,openstack_mistral,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\mistral\mistral\tests\resources\wf_v2.yaml,openstack_mistral,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\mistral\mistral\tests\resources\for_wf_namespace\lowest_level_wf.yaml,openstack_mistral,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\mistral\mistral\tests\resources\for_wf_namespace\middle_wf.yaml,openstack_mistral,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\mistral\mistral\tests\resources\for_wf_namespace\top_level_wf.yaml,openstack_mistral,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\mistral\mistral\tests\resources\workbook\v2\my_workbook.yaml,openstack_mistral,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\mistral\mistral\tests\resources\workbook\v2\workbook_schema_test.yaml,openstack_mistral,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\mistral\mistral\tests\__init__.py,openstack_mistral,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\mistral\mistral\tests\unit\base.py,openstack_mistral,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\mistral\mistral\tests\unit\config.py,openstack_mistral,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\mistral\mistral\tests\unit\test_command_dispatcher.py,openstack_mistral,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\openstack\mistral\mistral\tests\unit\test_context.py,openstack_mistral,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\openstack\mistral\mistral\tests\unit\test_coordination.py,openstack_mistral,0.0,0.0,4.0,0.0,1.0
C:\mined_repos\openstack\mistral\mistral\tests\unit\test_exception_base.py,openstack_mistral,0.0,0.0,3.0,0.0,1.0
C:\mined_repos\openstack\mistral\mistral\tests\unit\test_expressions.py,openstack_mistral,0.0,0.0,2.0,2.0,1.0
C:\mined_repos\openstack\mistral\mistral\tests\unit\test_launcher.py,openstack_mistral,0.0,0.0,3.0,0.0,1.0
C:\mined_repos\openstack\mistral\mistral\tests\unit\test_version.py,openstack_mistral,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\mistral\mistral\tests\unit\__init__.py,openstack_mistral,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\mistral\mistral\tests\unit\actions\test_action_service.py,openstack_mistral,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\openstack\mistral\mistral\tests\unit\actions\test_adhoc_action_provider.py,openstack_mistral,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\openstack\mistral\mistral\tests\unit\actions\test_dynamic_action_provider.py,openstack_mistral,0.0,0.0,3.0,0.0,1.0
C:\mined_repos\openstack\mistral\mistral\tests\unit\actions\test_javascript_action.py,openstack_mistral,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\mistral\mistral\tests\unit\actions\test_legacy_action_provider.py,openstack_mistral,0.0,0.0,2.0,0.0,1.0
C:\mined_repos\openstack\mistral\mistral\tests\unit\actions\test_std_echo_action.py,openstack_mistral,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\mistral\mistral\tests\unit\actions\test_std_email_action.py,openstack_mistral,0.0,0.0,0.0,0.0,1.0
