file_name,project_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
C:\mined_repos\openstack\monasca-notification\tests\resources\notification.yaml,openstack_monasca-notification,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\monasca-notification\tests\resources\test_jiraformat.yml,openstack_monasca-notification,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\monasca-notification\tests\resources\test_jiraformat_without_comments.yml,openstack_monasca-notification,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\monasca-notification\tests\resources\test_jiraformat_without_summary.yml,openstack_monasca-notification,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\monasca-notification\tests\base.py,openstack_monasca-notification,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\monasca-notification\tests\test_alarm_processor.py,openstack_monasca-notification,0.0,0.0,5.0,12.0,1.0
C:\mined_repos\openstack\monasca-notification\tests\test_email_notification.py,openstack_monasca-notification,0.0,0.0,9.0,2.0,1.0
C:\mined_repos\openstack\monasca-notification\tests\test_hipchat_notification.py,openstack_monasca-notification,0.0,0.0,1.0,2.0,0.0
C:\mined_repos\openstack\monasca-notification\tests\test_jira_notification.py,openstack_monasca-notification,0.0,0.0,10.0,5.0,1.0
C:\mined_repos\openstack\monasca-notification\tests\test_mysql_repo.py,openstack_monasca-notification,0.0,0.0,0.0,10.0,1.0
C:\mined_repos\openstack\monasca-notification\tests\test_notification.py,openstack_monasca-notification,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\monasca-notification\tests\test_notification_processor.py,openstack_monasca-notification,0.0,0.0,0.0,5.0,1.0
C:\mined_repos\openstack\monasca-notification\tests\test_notifiers.py,openstack_monasca-notification,0.0,0.0,6.0,0.0,0.0
C:\mined_repos\openstack\monasca-notification\tests\test_orm_repo.py,openstack_monasca-notification,0.0,0.0,5.0,1.0,1.0
C:\mined_repos\openstack\monasca-notification\tests\test_pagerduty_notification.py,openstack_monasca-notification,0.0,0.0,3.0,1.0,0.0
C:\mined_repos\openstack\monasca-notification\tests\test_slack_notification.py,openstack_monasca-notification,0.0,0.0,9.0,13.0,1.0
C:\mined_repos\openstack\monasca-notification\tests\test_utils.py,openstack_monasca-notification,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\monasca-notification\tests\test_webhook_notification.py,openstack_monasca-notification,0.0,0.0,3.0,4.0,0.0
C:\mined_repos\openstack\monasca-notification\tests\__init__.py,openstack_monasca-notification,0.0,0.0,0.0,0.0,1.0
