file_name,project_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
C:\mined_repos\openstack\networking-odl\networking_odl\tests\base.py,openstack_networking-odl,0.0,0.0,0.0,2.0,1.0
C:\mined_repos\openstack\networking-odl\networking_odl\tests\match.py,openstack_networking-odl,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\networking-odl\networking_odl\tests\__init__.py,openstack_networking-odl,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\networking-odl\networking_odl\tests\functional\base.py,openstack_networking-odl,0.0,0.0,1.0,2.0,1.0
C:\mined_repos\openstack\networking-odl\networking_odl\tests\functional\test_bgpvpn.py,openstack_networking-odl,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\networking-odl\networking_odl\tests\functional\test_l2gateway.py,openstack_networking-odl,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\networking-odl\networking_odl\tests\functional\test_l3.py,openstack_networking-odl,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\networking-odl\networking_odl\tests\functional\test_ml2_drivers.py,openstack_networking-odl,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\networking-odl\networking_odl\tests\functional\test_odl_dhcp_driver.py,openstack_networking-odl,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\networking-odl\networking_odl\tests\functional\test_qos.py,openstack_networking-odl,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\networking-odl\networking_odl\tests\functional\test_trunk_drivers.py,openstack_networking-odl,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\networking-odl\networking_odl\tests\functional\__init__.py,openstack_networking-odl,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\networking-odl\networking_odl\tests\functional\db\test_migrations.py,openstack_networking-odl,0.0,0.0,0.0,2.0,1.0
C:\mined_repos\openstack\networking-odl\networking_odl\tests\functional\db\__init__.py,openstack_networking-odl,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\networking-odl\networking_odl\tests\unit\base_v2.py,openstack_networking-odl,0.0,0.0,0.0,1.0,1.0
C:\mined_repos\openstack\networking-odl\networking_odl\tests\unit\test_base_db.py,openstack_networking-odl,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\networking-odl\networking_odl\tests\unit\__init__.py,openstack_networking-odl,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\networking-odl\networking_odl\tests\unit\bgpvpn\test_odl_v2.py,openstack_networking-odl,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\networking-odl\networking_odl\tests\unit\bgpvpn\__init__.py,openstack_networking-odl,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\networking-odl\networking_odl\tests\unit\ceilometer\__init__.py,openstack_networking-odl,0.0,0.0,0.0,0.0,1.0
