file_name,project_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
C:\mined_repos\openstack\neutron\neutron\tests\base.py,openstack_neutron,0.0,0.0,0.0,3.0,0.0
C:\mined_repos\openstack\neutron\neutron\tests\post_mortem_debug.py,openstack_neutron,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\neutron\neutron\tests\__init__.py,openstack_neutron,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\neutron\neutron\tests\common\base.py,openstack_neutron,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\neutron\neutron\tests\common\config_fixtures.py,openstack_neutron,0.0,0.0,0.0,1.0,1.0
C:\mined_repos\openstack\neutron\neutron\tests\common\conn_testers.py,openstack_neutron,0.0,0.0,0.0,2.0,0.0
C:\mined_repos\openstack\neutron\neutron\tests\common\helpers.py,openstack_neutron,0.0,0.0,0.0,2.0,1.0
C:\mined_repos\openstack\neutron\neutron\tests\common\l3_test_common.py,openstack_neutron,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\neutron\neutron\tests\common\machine_fixtures.py,openstack_neutron,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\neutron\neutron\tests\common\net_helpers.py,openstack_neutron,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\openstack\neutron\neutron\tests\common\__init__.py,openstack_neutron,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\neutron\neutron\tests\common\agents\l2_extensions.py,openstack_neutron,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\neutron\neutron\tests\common\agents\l3_agent.py,openstack_neutron,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\neutron\neutron\tests\common\agents\ovs_agent.py,openstack_neutron,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\neutron\neutron\tests\common\agents\__init__.py,openstack_neutron,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\neutron\neutron\tests\common\exclusive_resources\ip_address.py,openstack_neutron,0.0,0.0,0.0,1.0,1.0
C:\mined_repos\openstack\neutron\neutron\tests\common\exclusive_resources\ip_network.py,openstack_neutron,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\neutron\neutron\tests\common\exclusive_resources\port.py,openstack_neutron,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\neutron\neutron\tests\common\exclusive_resources\resource_allocator.py,openstack_neutron,0.0,0.0,0.0,1.0,1.0
C:\mined_repos\openstack\neutron\neutron\tests\common\exclusive_resources\__init__.py,openstack_neutron,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\neutron\neutron\tests\fullstack\base.py,openstack_neutron,0.0,0.0,0.0,1.0,1.0
C:\mined_repos\openstack\neutron\neutron\tests\fullstack\test_agent_bandwidth_report.py,openstack_neutron,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\openstack\neutron\neutron\tests\fullstack\test_connectivity.py,openstack_neutron,0.0,0.0,0.0,0.0,1.0
