file_name,project_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
C:\mined_repos\openstack\octavia\octavia\tests\__init__.py,openstack_octavia,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\octavia\octavia\tests\common\constants.py,openstack_octavia,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\octavia\octavia\tests\common\data_model_helpers.py,openstack_octavia,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\octavia\octavia\tests\common\sample_certs.py,openstack_octavia,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\octavia\octavia\tests\common\sample_data_models.py,openstack_octavia,0.0,0.0,0.0,2.0,1.0
C:\mined_repos\openstack\octavia\octavia\tests\common\sample_network_data.py,openstack_octavia,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\octavia\octavia\tests\common\utils.py,openstack_octavia,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\octavia\octavia\tests\common\__init__.py,openstack_octavia,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\octavia\octavia\tests\functional\__init__.py,openstack_octavia,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\octavia\octavia\tests\functional\amphorae\__init__.py,openstack_octavia,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\octavia\octavia\tests\functional\amphorae\backend\__init__.py,openstack_octavia,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\octavia\octavia\tests\functional\amphorae\backend\agent\__init__.py,openstack_octavia,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\octavia\octavia\tests\functional\amphorae\backend\agent\api_server\test_keepalivedlvs.py,openstack_octavia,0.0,0.0,4.0,1.0,1.0
C:\mined_repos\openstack\octavia\octavia\tests\functional\amphorae\backend\agent\api_server\test_server.py,openstack_octavia,0.0,0.0,16.0,0.0,1.0
C:\mined_repos\openstack\octavia\octavia\tests\functional\amphorae\backend\agent\api_server\__init__.py,openstack_octavia,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\octavia\octavia\tests\functional\api\test_healthcheck.py,openstack_octavia,0.0,0.0,13.0,0.0,1.0
C:\mined_repos\openstack\octavia\octavia\tests\functional\api\test_root_controller.py,openstack_octavia,0.0,0.0,1.0,1.0,1.0
C:\mined_repos\openstack\octavia\octavia\tests\functional\api\__init__.py,openstack_octavia,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\octavia\octavia\tests\functional\api\drivers\__init__.py,openstack_octavia,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\octavia\octavia\tests\functional\api\drivers\driver_agent\test_driver_agent.py,openstack_octavia,0.0,0.0,7.0,0.0,1.0
C:\mined_repos\openstack\octavia\octavia\tests\functional\api\drivers\driver_agent\__init__.py,openstack_octavia,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\octavia\octavia\tests\functional\api\v2\base.py,openstack_octavia,0.0,0.0,7.0,0.0,1.0
C:\mined_repos\openstack\octavia\octavia\tests\functional\api\v2\test_amphora.py,openstack_octavia,0.0,0.0,14.0,0.0,1.0
C:\mined_repos\openstack\octavia\octavia\tests\functional\api\v2\test_availability_zones.py,openstack_octavia,0.0,0.0,10.0,0.0,1.0
C:\mined_repos\openstack\octavia\octavia\tests\functional\api\v2\test_availability_zone_profiles.py,openstack_octavia,0.0,0.0,18.0,0.0,1.0
C:\mined_repos\openstack\octavia\octavia\tests\functional\api\v2\test_flavors.py,openstack_octavia,0.0,0.0,18.0,0.0,1.0
C:\mined_repos\openstack\octavia\octavia\tests\functional\api\v2\test_flavor_profiles.py,openstack_octavia,0.0,0.0,18.0,0.0,1.0
C:\mined_repos\openstack\octavia\octavia\tests\functional\api\v2\test_health_monitor.py,openstack_octavia,0.0,0.0,42.0,1.0,1.0
C:\mined_repos\openstack\octavia\octavia\tests\functional\api\v2\test_l7policy.py,openstack_octavia,0.0,0.0,25.0,30.0,1.0
C:\mined_repos\openstack\octavia\octavia\tests\functional\api\v2\test_l7rule.py,openstack_octavia,0.0,0.0,23.0,0.0,1.0
C:\mined_repos\openstack\octavia\octavia\tests\functional\api\v2\test_listener.py,openstack_octavia,0.0,0.0,61.0,0.0,1.0
C:\mined_repos\openstack\octavia\octavia\tests\functional\api\v2\test_load_balancer.py,openstack_octavia,0.0,0.0,58.0,1.0,1.0
C:\mined_repos\openstack\octavia\octavia\tests\functional\api\v2\test_member.py,openstack_octavia,0.0,0.0,27.0,0.0,1.0
C:\mined_repos\openstack\octavia\octavia\tests\functional\api\v2\test_pool.py,openstack_octavia,0.0,0.0,53.0,0.0,1.0
C:\mined_repos\openstack\octavia\octavia\tests\functional\api\v2\test_provider.py,openstack_octavia,0.0,0.0,9.0,0.0,1.0
C:\mined_repos\openstack\octavia\octavia\tests\functional\api\v2\test_quotas.py,openstack_octavia,0.0,0.0,8.0,0.0,1.0
C:\mined_repos\openstack\octavia\octavia\tests\functional\api\v2\__init__.py,openstack_octavia,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\octavia\octavia\tests\functional\db\base.py,openstack_octavia,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\octavia\octavia\tests\functional\db\test_models.py,openstack_octavia,0.0,0.0,78.0,4.0,1.0
