file_name,project_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
C:\mined_repos\openstack\openstack-ansible-lxc_container_create\tests\ansible-role-requirements.yml,openstack_openstack-ansible-lxc_container_create,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\openstack-ansible-lxc_container_create\tests\overrides-btrfs.yml,openstack_openstack-ansible-lxc_container_create,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\openstack-ansible-lxc_container_create\tests\overrides-dir.yml,openstack_openstack-ansible-lxc_container_create,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\openstack-ansible-lxc_container_create\tests\overrides-machinectl.yml,openstack_openstack-ansible-lxc_container_create,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\openstack-ansible-lxc_container_create\tests\overrides-overlayfs.yml,openstack_openstack-ansible-lxc_container_create,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\openstack-ansible-lxc_container_create\tests\overrides-zfs.yml,openstack_openstack-ansible-lxc_container_create,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\openstack-ansible-lxc_container_create\tests\test-containers-create.yml,openstack_openstack-ansible-lxc_container_create,0.0,0.0,0.0,1.0,1.0
C:\mined_repos\openstack\openstack-ansible-lxc_container_create\tests\test-containers-functional.yml,openstack_openstack-ansible-lxc_container_create,7.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\openstack-ansible-lxc_container_create\tests\test-create-btrfs-dev.yml,openstack_openstack-ansible-lxc_container_create,0.0,1.0,0.0,0.0,1.0
C:\mined_repos\openstack\openstack-ansible-lxc_container_create\tests\test-create-zfs-dev.yml,openstack_openstack-ansible-lxc_container_create,0.0,1.0,0.0,0.0,1.0
C:\mined_repos\openstack\openstack-ansible-lxc_container_create\tests\test.yml,openstack_openstack-ansible-lxc_container_create,0.0,0.0,0.0,6.0,1.0
C:\mined_repos\openstack\openstack-ansible-lxc_container_create\tests\group_vars\all_containers.yml,openstack_openstack-ansible-lxc_container_create,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\openstack-ansible-lxc_container_create\tests\host_vars\container1.yml,openstack_openstack-ansible-lxc_container_create,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\openstack-ansible-lxc_container_create\tests\host_vars\container2.yml,openstack_openstack-ansible-lxc_container_create,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\openstack-ansible-lxc_container_create\tests\host_vars\container3.yml,openstack_openstack-ansible-lxc_container_create,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\openstack-ansible-lxc_container_create\tests\host_vars\localhost.yml,openstack_openstack-ansible-lxc_container_create,0.0,0.0,0.0,0.0,1.0
