file_name,project_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
C:\mined_repos\openstack\openstack-ansible-repo_server\tests\ansible-role-requirements.yml,openstack_openstack-ansible-repo_server,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\openstack-ansible-repo_server\tests\test-install-repo-server.yml,openstack_openstack-ansible-repo_server,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\openstack-ansible-repo_server\tests\test-repo-server-functional.yml,openstack_openstack-ansible-repo_server,2.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\openstack-ansible-repo_server\tests\test.yml,openstack_openstack-ansible-repo_server,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\openstack-ansible-repo_server\tests\group_vars\all.yml,openstack_openstack-ansible-repo_server,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\openstack-ansible-repo_server\tests\group_vars\all_containers.yml,openstack_openstack-ansible-repo_server,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\openstack-ansible-repo_server\tests\host_vars\container1.yml,openstack_openstack-ansible-repo_server,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\openstack-ansible-repo_server\tests\host_vars\container2.yml,openstack_openstack-ansible-repo_server,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\openstack-ansible-repo_server\tests\host_vars\container3.yml,openstack_openstack-ansible-repo_server,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\openstack-ansible-repo_server\tests\host_vars\localhost.yml,openstack_openstack-ansible-repo_server,0.0,0.0,0.0,0.0,1.0
