file_name,project_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
C:\mined_repos\openstack\openstack-ansible\tests\bootstrap-aio.yml,openstack_openstack-ansible,0.0,1.0,1.0,0.0,1.0
C:\mined_repos\openstack\openstack-ansible\tests\test-vars-overrides.yml,openstack_openstack-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\openstack-ansible\tests\roles\bootstrap-host\defaults\main.yml,openstack_openstack-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\openstack-ansible\tests\roles\bootstrap-host\files\user_variables_proxy.yml,openstack_openstack-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\openstack-ansible\tests\roles\bootstrap-host\handlers\main.yml,openstack_openstack-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\openstack-ansible\tests\roles\bootstrap-host\tasks\check-requirements.yml,openstack_openstack-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\openstack-ansible\tests\roles\bootstrap-host\tasks\detect_data_disk_device.yml,openstack_openstack-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\openstack-ansible\tests\roles\bootstrap-host\tasks\gather_nodepool_vars.yml,openstack_openstack-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\openstack-ansible\tests\roles\bootstrap-host\tasks\install_packages.yml,openstack_openstack-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\openstack-ansible\tests\roles\bootstrap-host\tasks\main.yml,openstack_openstack-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\openstack-ansible\tests\roles\bootstrap-host\tasks\prepare_aio_config.yml,openstack_openstack-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\openstack-ansible\tests\roles\bootstrap-host\tasks\prepare_ceph.yml,openstack_openstack-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\openstack-ansible\tests\roles\bootstrap-host\tasks\prepare_data_disk.yml,openstack_openstack-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\openstack-ansible\tests\roles\bootstrap-host\tasks\prepare_hostname.yml,openstack_openstack-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\openstack-ansible\tests\roles\bootstrap-host\tasks\prepare_loopback_btrfs.yml,openstack_openstack-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\openstack-ansible\tests\roles\bootstrap-host\tasks\prepare_loopback_cinder.yml,openstack_openstack-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\openstack-ansible\tests\roles\bootstrap-host\tasks\prepare_loopback_machines.yml,openstack_openstack-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\openstack-ansible\tests\roles\bootstrap-host\tasks\prepare_loopback_manila.yml,openstack_openstack-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\openstack-ansible\tests\roles\bootstrap-host\tasks\prepare_loopback_nova.yml,openstack_openstack-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\openstack-ansible\tests\roles\bootstrap-host\tasks\prepare_loopback_swap.yml,openstack_openstack-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\openstack-ansible\tests\roles\bootstrap-host\tasks\prepare_loopback_swift.yml,openstack_openstack-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\openstack-ansible\tests\roles\bootstrap-host\tasks\prepare_loopback_zfs.yml,openstack_openstack-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\openstack-ansible\tests\roles\bootstrap-host\tasks\prepare_networking.yml,openstack_openstack-ansible,0.0,0.0,0.0,0.0,0.0
C:\mined_repos\openstack\openstack-ansible\tests\roles\bootstrap-host\tasks\prepare_squid.yml,openstack_openstack-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\openstack-ansible\tests\roles\bootstrap-host\tasks\prepare_ssh_keys.yml,openstack_openstack-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\openstack-ansible\tests\roles\bootstrap-host\vars\debian.yml,openstack_openstack-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\openstack-ansible\tests\roles\bootstrap-host\vars\main.yml,openstack_openstack-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\openstack-ansible\tests\roles\bootstrap-host\vars\redhat-8.yml,openstack_openstack-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\openstack-ansible\tests\roles\bootstrap-host\vars\redhat.yml,openstack_openstack-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\openstack-ansible\tests\roles\bootstrap-host\vars\suse.yml,openstack_openstack-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\openstack-ansible\tests\test_dictutils.py,openstack_openstack-ansible,0.0,0.0,7.0,0.0,1.0
C:\mined_repos\openstack\openstack-ansible\tests\test_filesystem.py,openstack_openstack-ansible,0.0,0.0,2.0,6.0,0.0
C:\mined_repos\openstack\openstack-ansible\tests\test_inventory.py,openstack_openstack-ansible,0.0,0.0,17.0,11.0,0.0
C:\mined_repos\openstack\openstack-ansible\tests\test_ip.py,openstack_openstack-ansible,0.0,0.0,7.0,0.0,1.0
C:\mined_repos\openstack\openstack-ansible\tests\test_manage.py,openstack_openstack-ansible,0.0,0.0,1.0,1.0,0.0
