file_name,project_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
C:\mined_repos\openstack\os-vif\os_vif\tests\__init__.py,openstack_os-vif,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\os-vif\os_vif\tests\functional\base.py,openstack_os-vif,0.0,0.0,0.0,3.0,1.0
C:\mined_repos\openstack\os-vif\os_vif\tests\functional\privsep.py,openstack_os-vif,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\os-vif\os_vif\tests\functional\__init__.py,openstack_os-vif,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\os-vif\os_vif\tests\functional\internal\__init__.py,openstack_os-vif,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\os-vif\os_vif\tests\functional\internal\command\__init__.py,openstack_os-vif,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\os-vif\os_vif\tests\functional\internal\command\ip\test_impl_pyroute2.py,openstack_os-vif,0.0,0.0,8.0,0.0,1.0
C:\mined_repos\openstack\os-vif\os_vif\tests\functional\internal\command\ip\__init__.py,openstack_os-vif,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\os-vif\os_vif\tests\unit\base.py,openstack_os-vif,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\os-vif\os_vif\tests\unit\test_base.py,openstack_os-vif,0.0,0.0,2.0,0.0,1.0
C:\mined_repos\openstack\os-vif\os_vif\tests\unit\test_exception.py,openstack_os-vif,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\os-vif\os_vif\tests\unit\test_host_info.py,openstack_os-vif,0.0,0.0,6.0,0.0,1.0
C:\mined_repos\openstack\os-vif\os_vif\tests\unit\test_objects.py,openstack_os-vif,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\openstack\os-vif\os_vif\tests\unit\test_os_vif.py,openstack_os-vif,0.0,0.0,5.0,0.0,1.0
C:\mined_repos\openstack\os-vif\os_vif\tests\unit\test_vif.py,openstack_os-vif,0.0,0.0,15.0,0.0,1.0
C:\mined_repos\openstack\os-vif\os_vif\tests\unit\__init__.py,openstack_os-vif,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\os-vif\os_vif\tests\unit\internal\__init__.py,openstack_os-vif,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\os-vif\os_vif\tests\unit\internal\ip\test_api.py,openstack_os-vif,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\os-vif\os_vif\tests\unit\internal\ip\__init__.py,openstack_os-vif,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\os-vif\os_vif\tests\unit\internal\ip\linux\test_impl_pyroute2.py,openstack_os-vif,0.0,0.0,1.0,0.0,1.0
