file_name,project_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
C:\mined_repos\openstack\packstack\tests\__init__.py,openstack_packstack,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\packstack\tests\installer\test_arch.py,openstack_packstack,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\packstack\tests\installer\test_drones.py,openstack_packstack,0.0,0.0,1.0,15.0,0.0
C:\mined_repos\openstack\packstack\tests\installer\test_processors.py,openstack_packstack,0.0,0.0,0.0,1.0,1.0
C:\mined_repos\openstack\packstack\tests\installer\test_run_setup.py,openstack_packstack,0.0,0.0,0.0,3.0,0.0
C:\mined_repos\openstack\packstack\tests\installer\test_sequences.py,openstack_packstack,0.0,0.0,1.0,0.0,0.0
C:\mined_repos\openstack\packstack\tests\installer\test_setup_params.py,openstack_packstack,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\openstack\packstack\tests\installer\test_utils.py,openstack_packstack,0.0,0.0,4.0,0.0,0.0
C:\mined_repos\openstack\packstack\tests\installer\test_validators.py,openstack_packstack,0.0,0.0,2.0,4.0,0.0
C:\mined_repos\openstack\packstack\tests\installer\__init__.py,openstack_packstack,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\packstack\tests\modules\test_ospluginutils.py,openstack_packstack,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\packstack\tests\modules\test_puppet.py,openstack_packstack,0.0,0.0,1.0,4.0,1.0
C:\mined_repos\openstack\packstack\tests\modules\__init__.py,openstack_packstack,0.0,0.0,0.0,0.0,1.0
