file_name,project_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
C:\mined_repos\openstack\python-ironicclient\ironicclient\tests\__init__.py,openstack_python-ironicclient,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\python-ironicclient\ironicclient\tests\functional\base.py,openstack_python-ironicclient,0.0,0.0,0.0,2.0,1.0
C:\mined_repos\openstack\python-ironicclient\ironicclient\tests\functional\utils.py,openstack_python-ironicclient,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\python-ironicclient\ironicclient\tests\functional\__init__.py,openstack_python-ironicclient,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\python-ironicclient\ironicclient\tests\functional\osc\__init__.py,openstack_python-ironicclient,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\python-ironicclient\ironicclient\tests\functional\osc\v1\base.py,openstack_python-ironicclient,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\python-ironicclient\ironicclient\tests\functional\osc\v1\test_baremetal_allocation.py,openstack_python-ironicclient,0.0,0.0,7.0,0.0,1.0
C:\mined_repos\openstack\python-ironicclient\ironicclient\tests\functional\osc\v1\test_baremetal_chassis_basic.py,openstack_python-ironicclient,0.0,0.0,4.0,0.0,1.0
C:\mined_repos\openstack\python-ironicclient\ironicclient\tests\functional\osc\v1\test_baremetal_conductor_basic.py,openstack_python-ironicclient,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\openstack\python-ironicclient\ironicclient\tests\functional\osc\v1\test_baremetal_deploy_template_basic.py,openstack_python-ironicclient,0.0,0.0,5.0,0.0,0.0
C:\mined_repos\openstack\python-ironicclient\ironicclient\tests\functional\osc\v1\test_baremetal_driver_basic.py,openstack_python-ironicclient,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\python-ironicclient\ironicclient\tests\functional\osc\v1\test_baremetal_node_basic.py,openstack_python-ironicclient,0.0,0.0,8.0,0.0,1.0
C:\mined_repos\openstack\python-ironicclient\ironicclient\tests\functional\osc\v1\test_baremetal_node_create_negative.py,openstack_python-ironicclient,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\python-ironicclient\ironicclient\tests\functional\osc\v1\test_baremetal_node_fields.py,openstack_python-ironicclient,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\python-ironicclient\ironicclient\tests\functional\osc\v1\test_baremetal_node_negative.py,openstack_python-ironicclient,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\python-ironicclient\ironicclient\tests\functional\osc\v1\test_baremetal_node_power_states.py,openstack_python-ironicclient,0.0,0.0,2.0,0.0,1.0
C:\mined_repos\openstack\python-ironicclient\ironicclient\tests\functional\osc\v1\test_baremetal_node_provision_states.py,openstack_python-ironicclient,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\openstack\python-ironicclient\ironicclient\tests\functional\osc\v1\test_baremetal_portgroup_basic.py,openstack_python-ironicclient,0.0,0.0,4.0,0.0,1.0
C:\mined_repos\openstack\python-ironicclient\ironicclient\tests\functional\osc\v1\test_baremetal_port_basic.py,openstack_python-ironicclient,0.0,0.0,5.0,0.0,1.0
C:\mined_repos\openstack\python-ironicclient\ironicclient\tests\functional\osc\v1\__init__.py,openstack_python-ironicclient,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\python-ironicclient\ironicclient\tests\unit\test_client.py,openstack_python-ironicclient,0.0,0.0,3.0,27.0,1.0
C:\mined_repos\openstack\python-ironicclient\ironicclient\tests\unit\test_exc.py,openstack_python-ironicclient,0.0,0.0,2.0,1.0,1.0
C:\mined_repos\openstack\python-ironicclient\ironicclient\tests\unit\test_import.py,openstack_python-ironicclient,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\openstack\python-ironicclient\ironicclient\tests\unit\utils.py,openstack_python-ironicclient,0.0,0.0,0.0,2.0,1.0
