file_name,project_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
C:\mined_repos\openstack\python-tripleoclient\tripleoclient\tests\base.py,openstack_python-tripleoclient,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\python-tripleoclient\tripleoclient\tests\fakes.py,openstack_python-tripleoclient,0.0,0.0,0.0,3.0,1.0
C:\mined_repos\openstack\python-tripleoclient\tripleoclient\tests\test_export.py,openstack_python-tripleoclient,0.0,0.0,5.0,2.0,1.0
C:\mined_repos\openstack\python-tripleoclient\tripleoclient\tests\test_overcloud_credentials.py,openstack_python-tripleoclient,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\python-tripleoclient\tripleoclient\tests\test_plugin.py,openstack_python-tripleoclient,0.0,0.0,2.0,0.0,1.0
C:\mined_repos\openstack\python-tripleoclient\tripleoclient\tests\test_utils.py,openstack_python-tripleoclient,0.0,0.0,20.0,6.0,0.0
C:\mined_repos\openstack\python-tripleoclient\tripleoclient\tests\__init__.py,openstack_python-tripleoclient,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\python-tripleoclient\tripleoclient\tests\config\test_config_base.py,openstack_python-tripleoclient,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\python-tripleoclient\tripleoclient\tests\config\test_config_minion.py,openstack_python-tripleoclient,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\python-tripleoclient\tripleoclient\tests\config\test_config_standalone.py,openstack_python-tripleoclient,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\python-tripleoclient\tripleoclient\tests\config\test_config_undercloud.py,openstack_python-tripleoclient,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\openstack\python-tripleoclient\tripleoclient\tests\config\__init__.py,openstack_python-tripleoclient,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\python-tripleoclient\tripleoclient\tests\fixture_data\deployment.py,openstack_python-tripleoclient,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\python-tripleoclient\tripleoclient\tests\fixture_data\__init__.py,openstack_python-tripleoclient,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\python-tripleoclient\tripleoclient\tests\v1\test_container_image.py,openstack_python-tripleoclient,0.0,0.0,12.0,15.0,1.0
C:\mined_repos\openstack\python-tripleoclient\tripleoclient\tests\v1\test_overcloud_admin.py,openstack_python-tripleoclient,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\python-tripleoclient\tripleoclient\tests\v1\test_overcloud_bios.py,openstack_python-tripleoclient,0.0,0.0,3.0,0.0,1.0
C:\mined_repos\openstack\python-tripleoclient\tripleoclient\tests\v1\test_overcloud_export.py,openstack_python-tripleoclient,0.0,0.0,4.0,2.0,1.0
C:\mined_repos\openstack\python-tripleoclient\tripleoclient\tests\v1\test_overcloud_export_ceph.py,openstack_python-tripleoclient,0.0,0.0,1.0,1.0,1.0
C:\mined_repos\openstack\python-tripleoclient\tripleoclient\tests\v1\test_overcloud_parameters.py,openstack_python-tripleoclient,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\python-tripleoclient\tripleoclient\tests\v1\test_overcloud_plan.py,openstack_python-tripleoclient,0.0,0.0,4.0,5.0,1.0
C:\mined_repos\openstack\python-tripleoclient\tripleoclient\tests\v1\test_overcloud_plan_roles.py,openstack_python-tripleoclient,0.0,0.0,3.0,0.0,1.0
C:\mined_repos\openstack\python-tripleoclient\tripleoclient\tests\v1\test_overcloud_profiles.py,openstack_python-tripleoclient,0.0,0.0,3.0,0.0,1.0
C:\mined_repos\openstack\python-tripleoclient\tripleoclient\tests\v1\test_overcloud_raid.py,openstack_python-tripleoclient,0.0,0.0,3.0,0.0,1.0
C:\mined_repos\openstack\python-tripleoclient\tripleoclient\tests\v1\test_plugin.py,openstack_python-tripleoclient,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\python-tripleoclient\tripleoclient\tests\v1\__init__.py,openstack_python-tripleoclient,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\python-tripleoclient\tripleoclient\tests\v1\baremetal\__init__.py,openstack_python-tripleoclient,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\python-tripleoclient\tripleoclient\tests\v1\overcloud_backup\test_backup.py,openstack_python-tripleoclient,0.0,0.0,0.0,0.0,1.0
