file_name,project_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
C:\mined_repos\openstack\senlin\senlin\tests\__init__.py,openstack_senlin,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\senlin\senlin\tests\drivers\__init__.py,openstack_senlin,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\senlin\senlin\tests\drivers\os_test\cinder_v2.py,openstack_senlin,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\senlin\senlin\tests\drivers\os_test\glance_v2.py,openstack_senlin,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\senlin\senlin\tests\drivers\os_test\heat_v1.py,openstack_senlin,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\senlin\senlin\tests\drivers\os_test\keystone_v3.py,openstack_senlin,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\senlin\senlin\tests\drivers\os_test\lbaas.py,openstack_senlin,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\senlin\senlin\tests\drivers\os_test\mistral_v2.py,openstack_senlin,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\senlin\senlin\tests\drivers\os_test\neutron_v2.py,openstack_senlin,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\senlin\senlin\tests\drivers\os_test\nova_v2.py,openstack_senlin,0.0,0.0,0.0,2.0,1.0
C:\mined_repos\openstack\senlin\senlin\tests\drivers\os_test\octavia_v2.py,openstack_senlin,0.0,0.0,0.0,2.0,1.0
C:\mined_repos\openstack\senlin\senlin\tests\drivers\os_test\zaqar_v2.py,openstack_senlin,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\senlin\senlin\tests\drivers\os_test\__init__.py,openstack_senlin,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\senlin\senlin\tests\unit\fakes.py,openstack_senlin,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\senlin\senlin\tests\unit\test_common_constraints.py,openstack_senlin,0.0,0.0,2.0,0.0,1.0
C:\mined_repos\openstack\senlin\senlin\tests\unit\test_common_context.py,openstack_senlin,0.0,0.0,0.0,1.0,1.0
C:\mined_repos\openstack\senlin\senlin\tests\unit\test_common_exception.py,openstack_senlin,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\senlin\senlin\tests\unit\test_common_messaging.py,openstack_senlin,0.0,0.0,4.0,0.0,1.0
C:\mined_repos\openstack\senlin\senlin\tests\unit\test_common_policy.py,openstack_senlin,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\openstack\senlin\senlin\tests\unit\test_common_scaleutils.py,openstack_senlin,0.0,0.0,12.0,0.0,1.0
C:\mined_repos\openstack\senlin\senlin\tests\unit\test_common_schema.py,openstack_senlin,0.0,0.0,51.0,0.0,1.0
C:\mined_repos\openstack\senlin\senlin\tests\unit\test_common_utils.py,openstack_senlin,0.0,0.0,11.0,8.0,1.0
C:\mined_repos\openstack\senlin\senlin\tests\unit\test_conf.py,openstack_senlin,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\senlin\senlin\tests\unit\test_hacking.py,openstack_senlin,0.0,0.0,4.0,0.0,1.0
C:\mined_repos\openstack\senlin\senlin\tests\unit\test_rpc_client.py,openstack_senlin,0.0,0.0,3.0,0.0,1.0
C:\mined_repos\openstack\senlin\senlin\tests\unit\__init__.py,openstack_senlin,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\senlin\senlin\tests\unit\api\__init__.py,openstack_senlin,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\senlin\senlin\tests\unit\api\common\test_serializers.py,openstack_senlin,0.0,0.0,9.0,0.0,1.0
C:\mined_repos\openstack\senlin\senlin\tests\unit\api\common\test_util.py,openstack_senlin,0.0,0.0,4.0,0.0,1.0
C:\mined_repos\openstack\senlin\senlin\tests\unit\api\common\test_version_request.py,openstack_senlin,0.0,0.0,4.0,0.0,1.0
C:\mined_repos\openstack\senlin\senlin\tests\unit\api\common\test_wsgi.py,openstack_senlin,0.0,0.0,9.0,0.0,1.0
C:\mined_repos\openstack\senlin\senlin\tests\unit\api\common\__init__.py,openstack_senlin,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\senlin\senlin\tests\unit\api\middleware\test_context.py,openstack_senlin,0.0,0.0,0.0,2.0,1.0
C:\mined_repos\openstack\senlin\senlin\tests\unit\api\middleware\test_fault.py,openstack_senlin,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\openstack\senlin\senlin\tests\unit\api\middleware\test_middleware_filters.py,openstack_senlin,0.0,0.0,6.0,0.0,1.0
C:\mined_repos\openstack\senlin\senlin\tests\unit\api\middleware\test_trust.py,openstack_senlin,0.0,0.0,5.0,0.0,1.0
C:\mined_repos\openstack\senlin\senlin\tests\unit\api\middleware\test_version_negotiation.py,openstack_senlin,0.0,0.0,12.0,0.0,1.0
C:\mined_repos\openstack\senlin\senlin\tests\unit\api\middleware\test_webhook.py,openstack_senlin,0.0,0.0,3.0,9.0,1.0
C:\mined_repos\openstack\senlin\senlin\tests\unit\api\middleware\__init__.py,openstack_senlin,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\senlin\senlin\tests\unit\api\openstack\test_versions.py,openstack_senlin,0.0,0.0,2.0,0.0,1.0
C:\mined_repos\openstack\senlin\senlin\tests\unit\api\openstack\__init__.py,openstack_senlin,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\senlin\senlin\tests\unit\api\openstack\v1\test_actions.py,openstack_senlin,0.0,0.0,17.0,0.0,1.0
C:\mined_repos\openstack\senlin\senlin\tests\unit\api\openstack\v1\test_buildinfo.py,openstack_senlin,0.0,0.0,3.0,0.0,1.0
C:\mined_repos\openstack\senlin\senlin\tests\unit\api\openstack\v1\test_clusters.py,openstack_senlin,0.0,0.0,76.0,0.0,1.0
C:\mined_repos\openstack\senlin\senlin\tests\unit\api\openstack\v1\test_cluster_policies.py,openstack_senlin,0.0,0.0,9.0,0.0,1.0
C:\mined_repos\openstack\senlin\senlin\tests\unit\api\openstack\v1\test_events.py,openstack_senlin,0.0,0.0,12.0,0.0,1.0
C:\mined_repos\openstack\senlin\senlin\tests\unit\api\openstack\v1\test_nodes.py,openstack_senlin,0.0,0.0,45.0,0.0,1.0
C:\mined_repos\openstack\senlin\senlin\tests\unit\api\openstack\v1\test_policies.py,openstack_senlin,0.0,0.0,28.0,0.0,1.0
C:\mined_repos\openstack\senlin\senlin\tests\unit\api\openstack\v1\test_policy_types.py,openstack_senlin,0.0,0.0,10.0,0.0,1.0
C:\mined_repos\openstack\senlin\senlin\tests\unit\api\openstack\v1\test_profiles.py,openstack_senlin,0.0,0.0,32.0,0.0,1.0
C:\mined_repos\openstack\senlin\senlin\tests\unit\api\openstack\v1\test_profile_types.py,openstack_senlin,0.0,0.0,15.0,0.0,1.0
