file_name,project_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
C:\mined_repos\openstack\tempest\tempest\tests\base.py,openstack_tempest,0.0,0.0,0.0,2.0,1.0
C:\mined_repos\openstack\tempest\tempest\tests\fake_config.py,openstack_tempest,0.0,0.0,0.0,2.0,1.0
C:\mined_repos\openstack\tempest\tempest\tests\fake_tempest_plugin.py,openstack_tempest,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\tempest\tempest\tests\test_base_test.py,openstack_tempest,0.0,0.0,4.0,0.0,1.0
C:\mined_repos\openstack\tempest\tempest\tests\test_config.py,openstack_tempest,0.0,0.0,3.0,0.0,1.0
C:\mined_repos\openstack\tempest\tempest\tests\test_decorators.py,openstack_tempest,0.0,0.0,2.0,0.0,1.0
C:\mined_repos\openstack\tempest\tempest\tests\test_hacking.py,openstack_tempest,0.0,0.0,9.0,0.0,1.0
C:\mined_repos\openstack\tempest\tempest\tests\test_imports.py,openstack_tempest,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\tempest\tempest\tests\test_list_tests.py,openstack_tempest,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\openstack\tempest\tempest\tests\test_microversions.py,openstack_tempest,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\tempest\tempest\tests\test_tempest_plugin.py,openstack_tempest,0.0,0.0,3.0,0.0,1.0
C:\mined_repos\openstack\tempest\tempest\tests\test_test.py,openstack_tempest,0.0,0.0,14.0,0.0,1.0
C:\mined_repos\openstack\tempest\tempest\tests\utils.py,openstack_tempest,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\tempest\tempest\tests\__init__.py,openstack_tempest,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\tempest\tempest\tests\api\__init__.py,openstack_tempest,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\tempest\tempest\tests\api\compute\test_base.py,openstack_tempest,0.0,0.0,5.0,0.0,1.0
C:\mined_repos\openstack\tempest\tempest\tests\api\compute\__init__.py,openstack_tempest,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\tempest\tempest\tests\cmd\test_account_generator.py,openstack_tempest,0.0,0.0,8.0,0.0,1.0
C:\mined_repos\openstack\tempest\tempest\tests\cmd\test_cleanup.py,openstack_tempest,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\tempest\tempest\tests\cmd\test_cleanup_services.py,openstack_tempest,0.0,0.0,2.0,28.0,1.0
C:\mined_repos\openstack\tempest\tempest\tests\cmd\test_list_plugins.py,openstack_tempest,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\tempest\tempest\tests\cmd\test_run.py,openstack_tempest,0.0,0.0,3.0,10.0,1.0
C:\mined_repos\openstack\tempest\tempest\tests\cmd\test_subunit_describe_calls.py,openstack_tempest,0.0,0.0,12.0,10.0,1.0
C:\mined_repos\openstack\tempest\tempest\tests\cmd\test_tempest_init.py,openstack_tempest,0.0,0.0,4.0,16.0,1.0
C:\mined_repos\openstack\tempest\tempest\tests\cmd\test_verify_tempest_config.py,openstack_tempest,0.0,0.0,19.0,22.0,1.0
C:\mined_repos\openstack\tempest\tempest\tests\cmd\test_workspace.py,openstack_tempest,0.0,0.0,23.0,3.0,1.0
C:\mined_repos\openstack\tempest\tempest\tests\cmd\__init__.py,openstack_tempest,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\tempest\tempest\tests\common\test_admin_available.py,openstack_tempest,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\tempest\tempest\tests\common\test_alt_available.py,openstack_tempest,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\tempest\tempest\tests\common\test_compute.py,openstack_tempest,0.0,0.0,3.0,1.0,1.0
C:\mined_repos\openstack\tempest\tempest\tests\common\test_credentials_factory.py,openstack_tempest,0.0,0.0,10.0,0.0,1.0
C:\mined_repos\openstack\tempest\tempest\tests\common\test_custom_matchers.py,openstack_tempest,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\tempest\tempest\tests\common\test_image.py,openstack_tempest,0.0,0.0,0.0,2.0,1.0
C:\mined_repos\openstack\tempest\tempest\tests\common\test_waiters.py,openstack_tempest,0.0,0.0,8.0,0.0,1.0
