file_name,project_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
C:\mined_repos\openstack\tooz\tooz\tests\test_coordination.py,openstack_tooz,0.0,0.0,35.0,0.0,1.0
C:\mined_repos\openstack\tooz\tooz\tests\test_etcd.py,openstack_tooz,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\tooz\tooz\tests\test_hashring.py,openstack_tooz,0.0,0.0,13.0,0.0,1.0
C:\mined_repos\openstack\tooz\tooz\tests\test_memcache.py,openstack_tooz,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\tooz\tooz\tests\test_mysql.py,openstack_tooz,0.0,0.0,0.0,3.0,1.0
C:\mined_repos\openstack\tooz\tooz\tests\test_partitioner.py,openstack_tooz,0.0,0.0,4.0,0.0,0.0
C:\mined_repos\openstack\tooz\tooz\tests\test_postgresql.py,openstack_tooz,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\openstack\tooz\tooz\tests\test_utils.py,openstack_tooz,0.0,0.0,4.0,2.0,1.0
C:\mined_repos\openstack\tooz\tooz\tests\__init__.py,openstack_tooz,0.0,0.0,0.0,1.0,0.0
C:\mined_repos\openstack\tooz\tooz\tests\drivers\test_etcd3.py,openstack_tooz,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\tooz\tooz\tests\drivers\test_etcd3gw.py,openstack_tooz,0.0,0.0,0.0,2.0,1.0
C:\mined_repos\openstack\tooz\tooz\tests\drivers\test_file.py,openstack_tooz,0.0,0.0,1.0,2.0,1.0
C:\mined_repos\openstack\tooz\tooz\tests\drivers\__init__.py,openstack_tooz,0.0,0.0,0.0,0.0,1.0
