file_name,project_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
C:\mined_repos\openstack\tripleo-common\tripleo_common\tests\inventory_data\cell1_static.yaml,openstack_tripleo-common,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\tripleo-common\tripleo_common\tests\inventory_data\merged_static.yaml,openstack_tripleo-common,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\tripleo-common\tripleo_common\tests\inventory_data\overcloud_static.yaml,openstack_tripleo-common,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\tripleo-common\tripleo_common\tests\inventory_data\single_static.yaml,openstack_tripleo-common,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\tripleo-common\tripleo_common\tests\utils\data\config_data.yaml,openstack_tripleo-common,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\tripleo-common\tripleo_common\tests\base.py,openstack_tripleo-common,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\tripleo-common\tripleo_common\tests\test_arch.py,openstack_tripleo-common,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\tripleo-common\tripleo_common\tests\test_filters.py,openstack_tripleo-common,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\tripleo-common\tripleo_common\tests\test_inventories.py,openstack_tripleo-common,0.0,0.0,0.0,3.0,1.0
C:\mined_repos\openstack\tripleo-common\tripleo_common\tests\test_inventory.py,openstack_tripleo-common,0.0,0.0,1.0,1.0,1.0
C:\mined_repos\openstack\tripleo-common\tripleo_common\tests\test_update.py,openstack_tripleo-common,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\openstack\tripleo-common\tripleo_common\tests\test_workflows.py,openstack_tripleo-common,0.0,0.0,0.0,2.0,1.0
C:\mined_repos\openstack\tripleo-common\tripleo_common\tests\__init__.py,openstack_tripleo-common,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\tripleo-common\tripleo_common\tests\actions\test_ansible.py,openstack_tripleo-common,0.0,0.0,5.0,9.0,1.0
C:\mined_repos\openstack\tripleo-common\tripleo_common\tests\actions\test_baremetal.py,openstack_tripleo-common,0.0,0.0,20.0,0.0,1.0
C:\mined_repos\openstack\tripleo-common\tripleo_common\tests\actions\test_base.py,openstack_tripleo-common,0.0,0.0,1.0,2.0,1.0
C:\mined_repos\openstack\tripleo-common\tripleo_common\tests\actions\test_derive_params.py,openstack_tripleo-common,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\tripleo-common\tripleo_common\tests\actions\test_parameters.py,openstack_tripleo-common,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\openstack\tripleo-common\tripleo_common\tests\actions\test_plan.py,openstack_tripleo-common,0.0,0.0,5.0,0.0,1.0
C:\mined_repos\openstack\tripleo-common\tripleo_common\tests\actions\test_scale.py,openstack_tripleo-common,0.0,0.0,2.0,8.0,1.0
C:\mined_repos\openstack\tripleo-common\tripleo_common\tests\actions\test_validations.py,openstack_tripleo-common,0.0,0.0,2.0,0.0,1.0
C:\mined_repos\openstack\tripleo-common\tripleo_common\tests\actions\__init__.py,openstack_tripleo-common,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\tripleo-common\tripleo_common\tests\fake_config\fakes.py,openstack_tripleo-common,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\tripleo-common\tripleo_common\tests\fake_config\__init__.py,openstack_tripleo-common,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\tripleo-common\tripleo_common\tests\fake_nova\__init__.py,openstack_tripleo-common,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\tripleo-common\tripleo_common\tests\fake_nova\scheduler\filters.py,openstack_tripleo-common,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\tripleo-common\tripleo_common\tests\fake_nova\scheduler\__init__.py,openstack_tripleo-common,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\tripleo-common\tripleo_common\tests\image\fakes.py,openstack_tripleo-common,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\tripleo-common\tripleo_common\tests\image\test_base.py,openstack_tripleo-common,0.0,0.0,3.0,0.0,1.0
C:\mined_repos\openstack\tripleo-common\tripleo_common\tests\image\test_build.py,openstack_tripleo-common,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\openstack\tripleo-common\tripleo_common\tests\image\test_image_builder.py,openstack_tripleo-common,0.0,0.0,2.0,0.0,1.0
C:\mined_repos\openstack\tripleo-common\tripleo_common\tests\image\test_image_export.py,openstack_tripleo-common,0.0,0.0,7.0,55.0,1.0
C:\mined_repos\openstack\tripleo-common\tripleo_common\tests\image\test_image_uploader.py,openstack_tripleo-common,0.0,0.0,54.0,67.0,1.0
C:\mined_repos\openstack\tripleo-common\tripleo_common\tests\image\test_kolla_builder.py,openstack_tripleo-common,0.0,0.0,12.0,10.0,1.0
C:\mined_repos\openstack\tripleo-common\tripleo_common\tests\image\__init__.py,openstack_tripleo-common,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\tripleo-common\tripleo_common\tests\image\builder\test_buildah.py,openstack_tripleo-common,0.0,0.0,2.0,0.0,1.0
C:\mined_repos\openstack\tripleo-common\tripleo_common\tests\image\builder\__init__.py,openstack_tripleo-common,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\tripleo-common\tripleo_common\tests\utils\test_config.py,openstack_tripleo-common,0.0,0.0,10.0,26.0,1.0
C:\mined_repos\openstack\tripleo-common\tripleo_common\tests\utils\test_glance.py,openstack_tripleo-common,0.0,0.0,3.0,4.0,1.0
C:\mined_repos\openstack\tripleo-common\tripleo_common\tests\utils\test_nodes.py,openstack_tripleo-common,0.0,0.0,12.0,9.0,1.0
C:\mined_repos\openstack\tripleo-common\tripleo_common\tests\utils\test_overcloudrc.py,openstack_tripleo-common,0.0,0.0,2.0,4.0,1.0
C:\mined_repos\openstack\tripleo-common\tripleo_common\tests\utils\test_parameters.py,openstack_tripleo-common,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\openstack\tripleo-common\tripleo_common\tests\utils\test_passwords.py,openstack_tripleo-common,0.0,0.0,2.0,0.0,1.0
C:\mined_repos\openstack\tripleo-common\tripleo_common\tests\utils\test_plan.py,openstack_tripleo-common,0.0,0.0,16.0,13.0,1.0
C:\mined_repos\openstack\tripleo-common\tripleo_common\tests\utils\test_process.py,openstack_tripleo-common,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\tripleo-common\tripleo_common\tests\utils\test_roles.py,openstack_tripleo-common,0.0,0.0,3.0,0.0,1.0
C:\mined_repos\openstack\tripleo-common\tripleo_common\tests\utils\test_stack.py,openstack_tripleo-common,0.0,0.0,3.0,4.0,1.0
C:\mined_repos\openstack\tripleo-common\tripleo_common\tests\utils\test_stack_parameters.py,openstack_tripleo-common,0.0,0.0,10.0,10.0,1.0
C:\mined_repos\openstack\tripleo-common\tripleo_common\tests\utils\test_swift.py,openstack_tripleo-common,0.0,0.0,2.0,1.0,1.0
C:\mined_repos\openstack\tripleo-common\tripleo_common\tests\utils\test_template.py,openstack_tripleo-common,0.0,0.0,5.0,2.0,1.0
C:\mined_repos\openstack\tripleo-common\tripleo_common\tests\utils\test_time_functions.py,openstack_tripleo-common,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\openstack\tripleo-common\tripleo_common\tests\utils\__init__.py,openstack_tripleo-common,0.0,0.0,0.0,0.0,1.0
