file_name,project_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
C:\mined_repos\openstack\trove\integration\tests\integration\int_tests.py,openstack_trove,0.0,0.0,0.0,2.0,1.0
C:\mined_repos\openstack\trove\integration\tests\integration\tests\colorizer.py,openstack_trove,0.0,0.0,0.0,1.0,1.0
C:\mined_repos\openstack\trove\integration\tests\integration\tests\initialize.py,openstack_trove,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\trove\integration\tests\integration\tests\__init__.py,openstack_trove,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\trove\integration\tests\integration\tests\util\report.py,openstack_trove,0.0,0.0,0.0,1.0,1.0
C:\mined_repos\openstack\trove\integration\tests\integration\tests\util\rpc.py,openstack_trove,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\trove\integration\tests\integration\tests\util\services.py,openstack_trove,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\trove\integration\tests\integration\tests\util\__init__.py,openstack_trove,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\trove\trove\tests\config.py,openstack_trove,0.0,0.0,0.0,10.0,1.0
C:\mined_repos\openstack\trove\trove\tests\int_tests.py,openstack_trove,0.0,0.0,0.0,2.0,1.0
C:\mined_repos\openstack\trove\trove\tests\root_logger.py,openstack_trove,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\trove\trove\tests\__init__.py,openstack_trove,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\trove\trove\tests\api\backups.py,openstack_trove,0.0,0.0,0.0,2.0,1.0
C:\mined_repos\openstack\trove\trove\tests\api\configurations.py,openstack_trove,0.0,0.0,0.0,2.0,0.0
C:\mined_repos\openstack\trove\trove\tests\api\databases.py,openstack_trove,0.0,0.0,0.0,1.0,1.0
C:\mined_repos\openstack\trove\trove\tests\api\datastores.py,openstack_trove,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\trove\trove\tests\api\instances.py,openstack_trove,0.0,0.0,1.0,0.0,0.0
C:\mined_repos\openstack\trove\trove\tests\api\instances_actions.py,openstack_trove,0.0,0.0,5.0,23.0,1.0
C:\mined_repos\openstack\trove\trove\tests\api\instances_delete.py,openstack_trove,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\trove\trove\tests\api\instances_resize.py,openstack_trove,0.0,0.0,2.0,8.0,0.0
C:\mined_repos\openstack\trove\trove\tests\api\limits.py,openstack_trove,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\openstack\trove\trove\tests\api\replication.py,openstack_trove,0.0,0.0,0.0,9.0,1.0
C:\mined_repos\openstack\trove\trove\tests\api\root.py,openstack_trove,0.0,0.0,0.0,0.0,1.0
