file_name,project_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
C:\mined_repos\os-cloud\os-ansible-deployment\tests\bootstrap-aio.yml,os-cloud_os-ansible-deployment,0.0,1.0,0.0,0.0,1.0
C:\mined_repos\os-cloud\os-ansible-deployment\tests\get-ansible-role-requirements.yml,os-cloud_os-ansible-deployment,0.0,1.0,0.0,0.0,1.0
C:\mined_repos\os-cloud\os-ansible-deployment\tests\roles\bootstrap-host\defaults\main.yml,os-cloud_os-ansible-deployment,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\os-cloud\os-ansible-deployment\tests\roles\bootstrap-host\tasks\check-requirements.yml,os-cloud_os-ansible-deployment,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\os-cloud\os-ansible-deployment\tests\roles\bootstrap-host\tasks\install_packages.yml,os-cloud_os-ansible-deployment,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\os-cloud\os-ansible-deployment\tests\roles\bootstrap-host\tasks\main.yml,os-cloud_os-ansible-deployment,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\os-cloud\os-ansible-deployment\tests\roles\bootstrap-host\tasks\prepare_aio_config.yml,os-cloud_os-ansible-deployment,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\os-cloud\os-ansible-deployment\tests\roles\bootstrap-host\tasks\prepare_ceph.yml,os-cloud_os-ansible-deployment,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\os-cloud\os-ansible-deployment\tests\roles\bootstrap-host\tasks\prepare_data_disk.yml,os-cloud_os-ansible-deployment,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\os-cloud\os-ansible-deployment\tests\roles\bootstrap-host\tasks\prepare_loopback_cinder.yml,os-cloud_os-ansible-deployment,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\os-cloud\os-ansible-deployment\tests\roles\bootstrap-host\tasks\prepare_loopback_nova.yml,os-cloud_os-ansible-deployment,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\os-cloud\os-ansible-deployment\tests\roles\bootstrap-host\tasks\prepare_loopback_swap.yml,os-cloud_os-ansible-deployment,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\os-cloud\os-ansible-deployment\tests\roles\bootstrap-host\tasks\prepare_loopback_swift.yml,os-cloud_os-ansible-deployment,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\os-cloud\os-ansible-deployment\tests\roles\bootstrap-host\tasks\prepare_networking.yml,os-cloud_os-ansible-deployment,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\os-cloud\os-ansible-deployment\tests\roles\bootstrap-host\tasks\prepare_ssh_keys.yml,os-cloud_os-ansible-deployment,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\os-cloud\os-ansible-deployment\tests\roles\bootstrap-host\vars\redhat.yml,os-cloud_os-ansible-deployment,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\os-cloud\os-ansible-deployment\tests\roles\bootstrap-host\vars\ubuntu.yml,os-cloud_os-ansible-deployment,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\os-cloud\os-ansible-deployment\tests\test_dictutils.py,os-cloud_os-ansible-deployment,0.0,0.0,6.0,1.0,1.0
C:\mined_repos\os-cloud\os-ansible-deployment\tests\test_filesystem.py,os-cloud_os-ansible-deployment,0.0,0.0,2.0,7.0,0.0
C:\mined_repos\os-cloud\os-ansible-deployment\tests\test_inventory.py,os-cloud_os-ansible-deployment,0.0,0.0,17.0,12.0,0.0
C:\mined_repos\os-cloud\os-ansible-deployment\tests\test_ip.py,os-cloud_os-ansible-deployment,0.0,0.0,7.0,1.0,1.0
C:\mined_repos\os-cloud\os-ansible-deployment\tests\test_manage.py,os-cloud_os-ansible-deployment,0.0,0.0,1.0,2.0,0.0
