file_name,project_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
C:\mined_repos\progmaticltd\homebox\tests\main.yml,progmaticltd_homebox,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\progmaticltd\homebox\tests\roles\autoconfig\tasks\main.yml,progmaticltd_homebox,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\progmaticltd\homebox\tests\roles\autodiscover\tasks\main.yml,progmaticltd_homebox,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\progmaticltd\homebox\tests\roles\certificate\tasks\main.yml,progmaticltd_homebox,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\progmaticltd\homebox\tests\roles\clamav\tasks\main.yml,progmaticltd_homebox,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\progmaticltd\homebox\tests\roles\dev-cleanup\tasks\main.yml,progmaticltd_homebox,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\progmaticltd\homebox\tests\roles\dev-support\tasks\main.yml,progmaticltd_homebox,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\progmaticltd\homebox\tests\roles\dns-records\tasks\main.yml,progmaticltd_homebox,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\progmaticltd\homebox\tests\roles\dovecot\defaults\main.yml,progmaticltd_homebox,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\progmaticltd\homebox\tests\roles\dovecot\meta\main.yml,progmaticltd_homebox,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\progmaticltd\homebox\tests\roles\dovecot\tasks\main.yml,progmaticltd_homebox,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\progmaticltd\homebox\tests\roles\dovecot-fts\defaults\main.yml,progmaticltd_homebox,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\progmaticltd\homebox\tests\roles\dovecot-fts\meta\main.yml,progmaticltd_homebox,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\progmaticltd\homebox\tests\roles\dovecot-fts\tasks\main.yml,progmaticltd_homebox,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\progmaticltd\homebox\tests\roles\dovecot-fts\tasks\send-attachment.yml,progmaticltd_homebox,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\progmaticltd\homebox\tests\roles\dovecot-fts\tasks\test-script.yml,progmaticltd_homebox,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\progmaticltd\homebox\tests\roles\home-folders\tasks\main.yml,progmaticltd_homebox,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\progmaticltd\homebox\tests\roles\https-grade\tasks\main.yml,progmaticltd_homebox,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\progmaticltd\homebox\tests\roles\https-grade\tasks\test-cert.yml,progmaticltd_homebox,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\progmaticltd\homebox\tests\roles\ldap\tasks\main.yml,progmaticltd_homebox,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\progmaticltd\homebox\tests\roles\load-test-data\tasks\main.yml,progmaticltd_homebox,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\progmaticltd\homebox\tests\roles\opendkim\tasks\main.yml,progmaticltd_homebox,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\progmaticltd\homebox\tests\roles\opendmarc\tasks\main.yml,progmaticltd_homebox,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\progmaticltd\homebox\tests\roles\postfix\meta\main.yml,progmaticltd_homebox,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\progmaticltd\homebox\tests\roles\postfix\tasks\check-certificates.yml,progmaticltd_homebox,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\progmaticltd\homebox\tests\roles\postfix\tasks\check-extension-email.yml,progmaticltd_homebox,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\progmaticltd\homebox\tests\roles\postfix\tasks\check-ldap-mapping.yml,progmaticltd_homebox,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\progmaticltd\homebox\tests\roles\postfix\tasks\check-simple-email.yml,progmaticltd_homebox,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\progmaticltd\homebox\tests\roles\postfix\tasks\check-utf8-email.yml,progmaticltd_homebox,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\progmaticltd\homebox\tests\roles\postfix\tasks\main.yml,progmaticltd_homebox,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\progmaticltd\homebox\tests\roles\privoxy\tasks\main.yml,progmaticltd_homebox,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\progmaticltd\homebox\tests\roles\roundcube\tasks\main.yml,progmaticltd_homebox,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\progmaticltd\homebox\tests\roles\rspamd\tasks\main.yml,progmaticltd_homebox,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\progmaticltd\homebox\tests\roles\system-base\tasks\main.yml,progmaticltd_homebox,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\progmaticltd\homebox\tests\roles\tor\tasks\main.yml,progmaticltd_homebox,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\progmaticltd\homebox\tests\roles\zabbix\tasks\main.yml,progmaticltd_homebox,0.0,0.0,0.0,0.0,1.0
