file_name,project_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
C:\mined_repos\puppetlabs\jenkins-job-builder\tests\builders\fixtures\ansible-playbook001.yaml,puppetlabs_jenkins-job-builder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\puppetlabs\jenkins-job-builder\tests\builders\fixtures\ansible-playbook002.yaml,puppetlabs_jenkins-job-builder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\puppetlabs\jenkins-job-builder\tests\builders\fixtures\ansible-playbook003.yaml,puppetlabs_jenkins-job-builder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\puppetlabs\jenkins-job-builder\tests\builders\fixtures\ant001.yaml,puppetlabs_jenkins-job-builder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\puppetlabs\jenkins-job-builder\tests\builders\fixtures\ant002.yaml,puppetlabs_jenkins-job-builder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\puppetlabs\jenkins-job-builder\tests\builders\fixtures\artifact-resolver-full.yaml,puppetlabs_jenkins-job-builder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\puppetlabs\jenkins-job-builder\tests\builders\fixtures\artifact-resolver-minimal.yaml,puppetlabs_jenkins-job-builder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\puppetlabs\jenkins-job-builder\tests\builders\fixtures\batch.yaml,puppetlabs_jenkins-job-builder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\puppetlabs\jenkins-job-builder\tests\builders\fixtures\beaker-content.yaml,puppetlabs_jenkins-job-builder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\puppetlabs\jenkins-job-builder\tests\builders\fixtures\beaker-path.yaml,puppetlabs_jenkins-job-builder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\puppetlabs\jenkins-job-builder\tests\builders\fixtures\build-name-setter001.yaml,puppetlabs_jenkins-job-builder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\puppetlabs\jenkins-job-builder\tests\builders\fixtures\build-name-setter002.yaml,puppetlabs_jenkins-job-builder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\puppetlabs\jenkins-job-builder\tests\builders\fixtures\builders-from.yaml,puppetlabs_jenkins-job-builder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\puppetlabs\jenkins-job-builder\tests\builders\fixtures\changeassemblyversion-full.yaml,puppetlabs_jenkins-job-builder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\puppetlabs\jenkins-job-builder\tests\builders\fixtures\changeassemblyversion-minimal.yaml,puppetlabs_jenkins-job-builder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\puppetlabs\jenkins-job-builder\tests\builders\fixtures\cloudformation.yaml,puppetlabs_jenkins-job-builder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\puppetlabs\jenkins-job-builder\tests\builders\fixtures\conditional-step-and.yaml,puppetlabs_jenkins-job-builder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\puppetlabs\jenkins-job-builder\tests\builders\fixtures\conditional-step-build-cause.yaml,puppetlabs_jenkins-job-builder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\puppetlabs\jenkins-job-builder\tests\builders\fixtures\conditional-step-day-of-week001.yaml,puppetlabs_jenkins-job-builder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\puppetlabs\jenkins-job-builder\tests\builders\fixtures\conditional-step-day-of-week002.yaml,puppetlabs_jenkins-job-builder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\puppetlabs\jenkins-job-builder\tests\builders\fixtures\conditional-step-day-of-week003.yaml,puppetlabs_jenkins-job-builder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\puppetlabs\jenkins-job-builder\tests\builders\fixtures\conditional-step-execution-node.yaml,puppetlabs_jenkins-job-builder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\puppetlabs\jenkins-job-builder\tests\builders\fixtures\conditional-step-files-match.yaml,puppetlabs_jenkins-job-builder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\puppetlabs\jenkins-job-builder\tests\builders\fixtures\conditional-step-multiple-steps-and.yaml,puppetlabs_jenkins-job-builder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\puppetlabs\jenkins-job-builder\tests\builders\fixtures\conditional-step-multiple-steps.yaml,puppetlabs_jenkins-job-builder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\puppetlabs\jenkins-job-builder\tests\builders\fixtures\conditional-step-not-file-exists.yaml,puppetlabs_jenkins-job-builder,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\puppetlabs\jenkins-job-builder\tests\builders\fixtures\conditional-step-notbuild-aborted.yaml,puppetlabs_jenkins-job-builder,0.0,0.0,0.0,0.0,1.0
