file_name,project_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
C:\mined_repos\quarkslab\irma\brain\tests\__init__.py,quarkslab_irma,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\quarkslab\irma\brain\tests\config\test_parser.py,quarkslab_irma,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\quarkslab\irma\brain\tests\config\__init__.py,quarkslab_irma,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\quarkslab\irma\brain\tests\controllers\test_frontendtasks.py,quarkslab_irma,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\quarkslab\irma\brain\tests\controllers\test_ftpctrl.py,quarkslab_irma,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\quarkslab\irma\brain\tests\controllers\test_probetasks.py,quarkslab_irma,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\quarkslab\irma\brain\tests\controllers\test_scanctrl.py,quarkslab_irma,0.0,0.0,7.0,0.0,0.0
C:\mined_repos\quarkslab\irma\brain\tests\controllers\__init__.py,quarkslab_irma,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\quarkslab\irma\brain\tests\helpers\test_celerytasks.py,quarkslab_irma,0.0,0.0,2.0,0.0,1.0
C:\mined_repos\quarkslab\irma\brain\tests\helpers\test_sql.py,quarkslab_irma,0.0,0.0,4.0,0.0,1.0
C:\mined_repos\quarkslab\irma\brain\tests\helpers\__init__.py,quarkslab_irma,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\quarkslab\irma\brain\tests\models\test_sqlobjects_Job.py,quarkslab_irma,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\quarkslab\irma\brain\tests\models\test_sqlobjects_Probe.py,quarkslab_irma,0.0,0.0,3.0,0.0,1.0
C:\mined_repos\quarkslab\irma\brain\tests\models\test_sqlobjects_Scan.py,quarkslab_irma,0.0,0.0,2.0,0.0,1.0
C:\mined_repos\quarkslab\irma\brain\tests\models\test_sqlobjects_User.py,quarkslab_irma,0.0,0.0,2.0,0.0,1.0
C:\mined_repos\quarkslab\irma\brain\tests\models\__init__.py,quarkslab_irma,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\quarkslab\irma\common\tests\test_configuration.py,quarkslab_irma,0.0,0.0,7.0,0.0,1.0
C:\mined_repos\quarkslab\irma\common\tests\test_ftp.py,quarkslab_irma,0.0,0.0,34.0,0.0,0.0
C:\mined_repos\quarkslab\irma\common\tests\test_oopatterns.py,quarkslab_irma,0.0,0.0,11.0,0.0,1.0
C:\mined_repos\quarkslab\irma\common\tests\test_utils.py,quarkslab_irma,0.0,0.0,16.0,0.0,1.0
C:\mined_repos\quarkslab\irma\common\tests\__init__.py,quarkslab_irma,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\quarkslab\irma\frontend\tests\__init__.py,quarkslab_irma,0.0,0.0,0.0,1.0,1.0
C:\mined_repos\quarkslab\irma\frontend\tests\api\__init__.py,quarkslab_irma,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\quarkslab\irma\frontend\tests\api\common\test_celerytasks.py,quarkslab_irma,0.0,0.0,2.0,0.0,1.0
C:\mined_repos\quarkslab\irma\frontend\tests\api\common\test_errors.py,quarkslab_irma,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\quarkslab\irma\frontend\tests\api\common\test_formatters.py,quarkslab_irma,0.0,0.0,4.0,1.0,1.0
C:\mined_repos\quarkslab\irma\frontend\tests\api\common\test_ftp.py,quarkslab_irma,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\quarkslab\irma\frontend\tests\api\common\test_middlewares.py,quarkslab_irma,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\quarkslab\irma\frontend\tests\api\common\test_sessions.py,quarkslab_irma,0.0,0.0,4.0,0.0,1.0
C:\mined_repos\quarkslab\irma\frontend\tests\api\common\test_utils.py,quarkslab_irma,0.0,0.0,4.0,10.0,0.0
C:\mined_repos\quarkslab\irma\frontend\tests\api\common\__init__.py,quarkslab_irma,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\quarkslab\irma\frontend\tests\api\files\test_controllers.py,quarkslab_irma,0.0,0.0,5.0,0.0,0.0
C:\mined_repos\quarkslab\irma\frontend\tests\api\files\test_models.py,quarkslab_irma,0.0,0.0,15.0,0.0,0.0
C:\mined_repos\quarkslab\irma\frontend\tests\api\files\test_services.py,quarkslab_irma,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\quarkslab\irma\frontend\tests\api\files\__init__.py,quarkslab_irma,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\quarkslab\irma\frontend\tests\api\files_ext\test_controllers.py,quarkslab_irma,0.0,0.0,5.0,0.0,0.0
C:\mined_repos\quarkslab\irma\frontend\tests\api\files_ext\test_helpers.py,quarkslab_irma,0.0,0.0,4.0,0.0,1.0
C:\mined_repos\quarkslab\irma\frontend\tests\api\files_ext\test_models_files_ext.py,quarkslab_irma,0.0,0.0,9.0,0.0,0.0
C:\mined_repos\quarkslab\irma\frontend\tests\api\files_ext\__init__.py,quarkslab_irma,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\quarkslab\irma\frontend\tests\api\probes\test_controllers.py,quarkslab_irma,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\quarkslab\irma\frontend\tests\api\probes\test_services.py,quarkslab_irma,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\quarkslab\irma\frontend\tests\api\probes\__init__.py,quarkslab_irma,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\quarkslab\irma\frontend\tests\api\probe_results\test_models_proberesult.py,quarkslab_irma,0.0,0.0,1.0,0.0,0.0
C:\mined_repos\quarkslab\irma\frontend\tests\api\probe_results\__init__.py,quarkslab_irma,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\quarkslab\irma\frontend\tests\api\scans\test_controllers.py,quarkslab_irma,0.0,0.0,17.0,0.0,0.0
C:\mined_repos\quarkslab\irma\frontend\tests\api\scans\test_services.py,quarkslab_irma,0.0,0.0,12.0,0.0,0.0
C:\mined_repos\quarkslab\irma\frontend\tests\api\scans\__init__.py,quarkslab_irma,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\quarkslab\irma\frontend\tests\api\tags\test_models.py,quarkslab_irma,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\quarkslab\irma\frontend\tests\api\tags\test_routes.py,quarkslab_irma,0.0,0.0,3.0,0.0,0.0
C:\mined_repos\quarkslab\irma\frontend\tests\api\tags\__init__.py,quarkslab_irma,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\quarkslab\irma\frontend\tests\api\tasks\test_braintasks.py,quarkslab_irma,0.0,0.0,6.0,0.0,0.0
C:\mined_repos\quarkslab\irma\frontend\tests\api\tasks\test_frontendtasks.py,quarkslab_irma,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\quarkslab\irma\frontend\tests\api\tasks\test_frontend_app.py,quarkslab_irma,0.0,0.0,12.0,0.0,0.0
C:\mined_repos\quarkslab\irma\frontend\tests\api\tasks\__init__.py,quarkslab_irma,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\quarkslab\irma\frontend\tests\config\test_parser.py,quarkslab_irma,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\quarkslab\irma\frontend\tests\config\__init__.py,quarkslab_irma,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\quarkslab\irma\probe\tests\__init__.py,quarkslab_irma,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\quarkslab\irma\probe\tests\modules\__init__.py,quarkslab_irma,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\quarkslab\irma\probe\tests\modules\antivirus\test_antivirus.py,quarkslab_irma,0.0,0.0,3.0,0.0,1.0
C:\mined_repos\quarkslab\irma\probe\tests\modules\antivirus\test_avast.py,quarkslab_irma,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\quarkslab\irma\probe\tests\modules\antivirus\test_avg.py,quarkslab_irma,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\quarkslab\irma\probe\tests\modules\antivirus\test_base.py,quarkslab_irma,0.0,0.0,7.0,0.0,1.0
C:\mined_repos\quarkslab\irma\probe\tests\modules\antivirus\test_clamav.py,quarkslab_irma,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\quarkslab\irma\probe\tests\modules\antivirus\test_comodo.py,quarkslab_irma,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\quarkslab\irma\probe\tests\modules\antivirus\test_drweb.py,quarkslab_irma,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\quarkslab\irma\probe\tests\modules\antivirus\test_escan.py,quarkslab_irma,0.0,0.0,0.0,4.0,1.0
C:\mined_repos\quarkslab\irma\probe\tests\modules\antivirus\test_kaspersky_win.py,quarkslab_irma,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\quarkslab\irma\probe\tests\modules\antivirus\test_mcafee.py,quarkslab_irma,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\quarkslab\irma\probe\tests\modules\antivirus\test_symantec_win.py,quarkslab_irma,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\quarkslab\irma\probe\tests\modules\antivirus\test_virusblokada.py,quarkslab_irma,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\quarkslab\irma\probe\tests\modules\antivirus\__init__.py,quarkslab_irma,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\quarkslab\irma\probe\tests\probe\test_tasks.py,quarkslab_irma,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\quarkslab\irma\probe\tests\probe\__init__.py,quarkslab_irma,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\quarkslab\irma\probe\tests\probe\controllers\test_braintasks.py,quarkslab_irma,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\quarkslab\irma\probe\tests\probe\controllers\test_ftpctrl.py,quarkslab_irma,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\quarkslab\irma\probe\tests\probe\controllers\__init__.py,quarkslab_irma,0.0,0.0,0.0,0.0,1.0
