file_name,project_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
C:\mined_repos\redhat-cip\dci-ansible\tests\data\images_list.yaml,redhat-cip_dci-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\redhat-cip\dci-ansible\tests\scenario-tests\openstack\feeder.yml,redhat-cip_dci-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\redhat-cip\dci-ansible\tests\scenario-tests\openstack\remoteci.yml,redhat-cip_dci-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\redhat-cip\dci-ansible\tests\scenario-tests\openstack\setup_env.yml,redhat-cip_dci-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\redhat-cip\dci-ansible\tests\scenario-tests\rhel\feeder.yml,redhat-cip_dci-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\redhat-cip\dci-ansible\tests\scenario-tests\rhel\remoteci.yml,redhat-cip_dci-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\redhat-cip\dci-ansible\tests\scenario-tests\rhel\setup_env.yml,redhat-cip_dci-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\redhat-cip\dci-ansible\tests\unit-tests\dci_component\playbook.yml,redhat-cip_dci-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\redhat-cip\dci-ansible\tests\unit-tests\dci_feeder\playbook.yml,redhat-cip_dci-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\redhat-cip\dci-ansible\tests\unit-tests\dci_job\playbook.yml,redhat-cip_dci-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\redhat-cip\dci-ansible\tests\unit-tests\dci_keys\playbook.yml,redhat-cip_dci-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\redhat-cip\dci-ansible\tests\unit-tests\dci_product\playbook.yml,redhat-cip_dci-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\redhat-cip\dci-ansible\tests\unit-tests\dci_remoteci\playbook.yml,redhat-cip_dci-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\redhat-cip\dci-ansible\tests\unit-tests\dci_role\playbook.yml,redhat-cip_dci-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\redhat-cip\dci-ansible\tests\unit-tests\dci_team\playbook.yml,redhat-cip_dci-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\redhat-cip\dci-ansible\tests\unit-tests\dci_topic\playbook.yml,redhat-cip_dci-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\redhat-cip\dci-ansible\tests\unit-tests\dci_user\playbook.yml,redhat-cip_dci-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\redhat-cip\dci-ansible\tests\test_callback_formatter.py,redhat-cip_dci-ansible,0.0,0.0,25.0,0.0,1.0
