file_name,project_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
C:\mined_repos\redhat-performance\satellite-performance\playbooks\tests\candlepin_identity_regenerate.yaml,redhat-performance_satellite-performance,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\redhat-performance\satellite-performance\playbooks\tests\containers.yaml,redhat-performance_satellite-performance,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\redhat-performance\satellite-performance\playbooks\tests\continuous-reg.yaml,redhat-performance_satellite-performance,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\redhat-performance\satellite-performance\playbooks\tests\continuous-rex.yaml,redhat-performance_satellite-performance,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\redhat-performance\satellite-performance\playbooks\tests\generate-applicability.yaml,redhat-performance_satellite-performance,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\redhat-performance\satellite-performance\playbooks\tests\hammer-list.yaml,redhat-performance_satellite-performance,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\redhat-performance\satellite-performance\playbooks\tests\puppet-big-setup.yaml,redhat-performance_satellite-performance,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\redhat-performance\satellite-performance\playbooks\tests\puppet-big-test.yaml,redhat-performance_satellite-performance,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\redhat-performance\satellite-performance\playbooks\tests\puppet-setup.yaml,redhat-performance_satellite-performance,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\redhat-performance\satellite-performance\playbooks\tests\puppet-single-setup.yaml,redhat-performance_satellite-performance,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\redhat-performance\satellite-performance\playbooks\tests\puppet.yaml,redhat-performance_satellite-performance,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\redhat-performance\satellite-performance\playbooks\tests\registrations.yaml,redhat-performance_satellite-performance,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\redhat-performance\satellite-performance\playbooks\tests\rex.yaml,redhat-performance_satellite-performance,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\redhat-performance\satellite-performance\playbooks\tests\siege-webui.yaml,redhat-performance_satellite-performance,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\redhat-performance\satellite-performance\playbooks\tests\some-webui-pages.yaml,redhat-performance_satellite-performance,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\redhat-performance\satellite-performance\playbooks\tests\sync-docker.yaml,redhat-performance_satellite-performance,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\redhat-performance\satellite-performance\playbooks\tests\sync-iso.yaml,redhat-performance_satellite-performance,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\redhat-performance\satellite-performance\playbooks\tests\sync-mixed-repos-one-cvs.yaml,redhat-performance_satellite-performance,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\redhat-performance\satellite-performance\playbooks\tests\sync-mixed-repos-two-cvs.yaml,redhat-performance_satellite-performance,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\redhat-performance\satellite-performance\playbooks\tests\sync-repositories.yaml,redhat-performance_satellite-performance,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\redhat-performance\satellite-performance\playbooks\tests\includes\prepare_clients_ini.yaml,redhat-performance_satellite-performance,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\redhat-performance\satellite-performance\playbooks\tests\includes\puppet-big-test-deploy.yaml,redhat-performance_satellite-performance,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\redhat-performance\satellite-performance\playbooks\tests\includes\puppet-big-test-register.yaml,redhat-performance_satellite-performance,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\redhat-performance\satellite-performance\playbooks\tests\includes\show_grepper.yaml,redhat-performance_satellite-performance,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\redhat-performance\satellite-performance\playbooks\tests\includes\update_used_containers.yaml,redhat-performance_satellite-performance,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\redhat-performance\satellite-performance\playbooks\tests\roles\grafana-graph-download\tasks\main.yaml,redhat-performance_satellite-performance,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\redhat-performance\satellite-performance\playbooks\tests\roles\wait-for-task-script\tasks\main.yaml,redhat-performance_satellite-performance,0.0,0.0,0.0,0.0,1.0
