file_name,project_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
C:\mined_repos\rocknsm\SimpleRock\roles\docket\tests\test.yml,rocknsm_SimpleRock,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\rocknsm\SimpleRock\roles\kafka\tests\test.yml,rocknsm_SimpleRock,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\rocknsm\SimpleRock\roles\stenographer\tests\test.yml,rocknsm_SimpleRock,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\rocknsm\SimpleRock\roles\suricata\tests\test.yml,rocknsm_SimpleRock,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\rocknsm\SimpleRock\roles\zeek\tests\test.yml,rocknsm_SimpleRock,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\rocknsm\SimpleRock\roles\zookeeper\tests\test.yml,rocknsm_SimpleRock,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\rocknsm\SimpleRock\tests\test_common.py,rocknsm_SimpleRock,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\rocknsm\SimpleRock\tests\test_docket.py,rocknsm_SimpleRock,0.0,0.0,1.0,1.0,1.0
C:\mined_repos\rocknsm\SimpleRock\tests\test_elasticsearch.py,rocknsm_SimpleRock,0.0,0.0,2.0,0.0,1.0
C:\mined_repos\rocknsm\SimpleRock\tests\test_filebeat.py,rocknsm_SimpleRock,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\rocknsm\SimpleRock\tests\test_fsf.py,rocknsm_SimpleRock,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\rocknsm\SimpleRock\tests\test_kafka.py,rocknsm_SimpleRock,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\rocknsm\SimpleRock\tests\test_kibana.py,rocknsm_SimpleRock,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\rocknsm\SimpleRock\tests\test_lighttpd.py,rocknsm_SimpleRock,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\rocknsm\SimpleRock\tests\test_logstash.py,rocknsm_SimpleRock,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\rocknsm\SimpleRock\tests\test_sensor.py,rocknsm_SimpleRock,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\rocknsm\SimpleRock\tests\test_stenographer.py,rocknsm_SimpleRock,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\rocknsm\SimpleRock\tests\test_suricata.py,rocknsm_SimpleRock,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\rocknsm\SimpleRock\tests\test_zeek.py,rocknsm_SimpleRock,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\rocknsm\SimpleRock\tests\test_zookeeper.py,rocknsm_SimpleRock,0.0,0.0,2.0,0.0,1.0
