file_name,project_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
C:\mined_repos\rocknsm\rock\roles\docket\tests\test.yml,rocknsm_rock,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\rocknsm\rock\roles\kafka\tests\test.yml,rocknsm_rock,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\rocknsm\rock\roles\stenographer\tests\test.yml,rocknsm_rock,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\rocknsm\rock\roles\suricata\tests\test.yml,rocknsm_rock,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\rocknsm\rock\roles\zeek\tests\test.yml,rocknsm_rock,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\rocknsm\rock\roles\zookeeper\tests\test.yml,rocknsm_rock,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\rocknsm\rock\tests\test_common.py,rocknsm_rock,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\rocknsm\rock\tests\test_docket.py,rocknsm_rock,0.0,0.0,1.0,1.0,1.0
C:\mined_repos\rocknsm\rock\tests\test_elasticsearch.py,rocknsm_rock,0.0,0.0,2.0,0.0,1.0
C:\mined_repos\rocknsm\rock\tests\test_filebeat.py,rocknsm_rock,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\rocknsm\rock\tests\test_fsf.py,rocknsm_rock,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\rocknsm\rock\tests\test_kafka.py,rocknsm_rock,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\rocknsm\rock\tests\test_kibana.py,rocknsm_rock,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\rocknsm\rock\tests\test_lighttpd.py,rocknsm_rock,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\rocknsm\rock\tests\test_logstash.py,rocknsm_rock,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\rocknsm\rock\tests\test_sensor.py,rocknsm_rock,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\rocknsm\rock\tests\test_stenographer.py,rocknsm_rock,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\rocknsm\rock\tests\test_suricata.py,rocknsm_rock,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\rocknsm\rock\tests\test_zeek.py,rocknsm_rock,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\rocknsm\rock\tests\test_zookeeper.py,rocknsm_rock,0.0,0.0,2.0,0.0,1.0
