file_name,project_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
C:\mined_repos\sborenst\ansible_agnostic_deployer\ansible\roles\ansible-version-lock\tests\test.yml,sborenst_ansible_agnostic_deployer,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\sborenst\ansible_agnostic_deployer\ansible\roles\azure_ansible_execution_env\tests\test.yml,sborenst_ansible_agnostic_deployer,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\sborenst\ansible_agnostic_deployer\ansible\roles\geerlingguy.git\tests\test-source.yml,sborenst_ansible_agnostic_deployer,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\sborenst\ansible_agnostic_deployer\ansible\roles\geerlingguy.git\tests\test.yml,sborenst_ansible_agnostic_deployer,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\sborenst\ansible_agnostic_deployer\ansible\roles\geerlingguy.gogs\tests\requirements.yml,sborenst_ansible_agnostic_deployer,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\sborenst\ansible_agnostic_deployer\ansible\roles\geerlingguy.gogs\tests\test.yml,sborenst_ansible_agnostic_deployer,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\sborenst\ansible_agnostic_deployer\ansible\roles\geerlingguy.java\tests\test.yml,sborenst_ansible_agnostic_deployer,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\sborenst\ansible_agnostic_deployer\ansible\roles\host-jenkins-server\tests\java-8.yml,sborenst_ansible_agnostic_deployer,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\sborenst\ansible_agnostic_deployer\ansible\roles\host-jenkins-server\tests\requirements.yml,sborenst_ansible_agnostic_deployer,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\sborenst\ansible_agnostic_deployer\ansible\roles\host-jenkins-server\tests\test-http-port.yml,sborenst_ansible_agnostic_deployer,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\sborenst\ansible_agnostic_deployer\ansible\roles\host-jenkins-server\tests\test-jenkins-version.yml,sborenst_ansible_agnostic_deployer,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\sborenst\ansible_agnostic_deployer\ansible\roles\host-jenkins-server\tests\test-plugins-with-home.yml,sborenst_ansible_agnostic_deployer,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\sborenst\ansible_agnostic_deployer\ansible\roles\host-jenkins-server\tests\test-plugins-with-pinning.yml,sborenst_ansible_agnostic_deployer,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\sborenst\ansible_agnostic_deployer\ansible\roles\host-jenkins-server\tests\test-plugins.yml,sborenst_ansible_agnostic_deployer,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\sborenst\ansible_agnostic_deployer\ansible\roles\host-jenkins-server\tests\test-prefix.yml,sborenst_ansible_agnostic_deployer,0.0,0.0,0.0,0.0,1.0
