file_name,project_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
C:\mined_repos\stackforge\blazar\blazar\tests\fake_lease.py,stackforge_blazar,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\blazar\blazar\tests\fake_requests.py,stackforge_blazar,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\blazar\blazar\tests\test_context.py,stackforge_blazar,0.0,0.0,2.0,0.0,1.0
C:\mined_repos\stackforge\blazar\blazar\tests\test_exceptions.py,stackforge_blazar,0.0,0.0,3.0,0.0,1.0
C:\mined_repos\stackforge\blazar\blazar\tests\test_policy.py,stackforge_blazar,0.0,0.0,3.0,0.0,1.0
C:\mined_repos\stackforge\blazar\blazar\tests\test_service.py,stackforge_blazar,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\blazar\blazar\tests\test_status.py,stackforge_blazar,0.0,0.0,6.0,0.0,1.0
C:\mined_repos\stackforge\blazar\blazar\tests\__init__.py,stackforge_blazar,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\blazar\blazar\tests\api\test_acl.py,stackforge_blazar,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\blazar\blazar\tests\api\test_context.py,stackforge_blazar,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\blazar\blazar\tests\api\test_root.py,stackforge_blazar,0.0,0.0,3.0,1.0,1.0
C:\mined_repos\stackforge\blazar\blazar\tests\api\test_version_selector.py,stackforge_blazar,0.0,0.0,4.0,1.0,1.0
C:\mined_repos\stackforge\blazar\blazar\tests\api\__init__.py,stackforge_blazar,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\blazar\blazar\tests\api\v1\test_api_version_request.py,stackforge_blazar,0.0,0.0,4.0,0.0,1.0
C:\mined_repos\stackforge\blazar\blazar\tests\api\v1\test_app.py,stackforge_blazar,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\stackforge\blazar\blazar\tests\api\v1\test_utils.py,stackforge_blazar,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\blazar\blazar\tests\api\v1\test_validation.py,stackforge_blazar,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\blazar\blazar\tests\api\v1\__init__.py,stackforge_blazar,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\blazar\blazar\tests\api\v1\leases\test_service.py,stackforge_blazar,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\blazar\blazar\tests\api\v1\leases\test_v1_0.py,stackforge_blazar,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\stackforge\blazar\blazar\tests\api\v1\leases\__init__.py,stackforge_blazar,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\blazar\blazar\tests\api\v1\oshosts\test_service.py,stackforge_blazar,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\blazar\blazar\tests\api\v1\oshosts\test_v1_0.py,stackforge_blazar,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\stackforge\blazar\blazar\tests\api\v1\oshosts\__init__.py,stackforge_blazar,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\blazar\blazar\tests\api\v2\test_hosts.py,stackforge_blazar,0.0,0.0,16.0,0.0,1.0
C:\mined_repos\stackforge\blazar\blazar\tests\api\v2\test_leases.py,stackforge_blazar,0.0,0.0,17.0,0.0,1.0
C:\mined_repos\stackforge\blazar\blazar\tests\api\v2\__init__.py,stackforge_blazar,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\blazar\blazar\tests\cmd\test_status.py,stackforge_blazar,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\blazar\blazar\tests\db\test_api.py,stackforge_blazar,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\blazar\blazar\tests\db\test_utils.py,stackforge_blazar,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\blazar\blazar\tests\db\__init__.py,stackforge_blazar,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\blazar\blazar\tests\db\migration\test_migrations.py,stackforge_blazar,0.0,0.0,3.0,2.0,1.0
C:\mined_repos\stackforge\blazar\blazar\tests\db\migration\__init__.py,stackforge_blazar,0.0,0.0,0.0,28.0,1.0
