file_name,project_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
C:\mined_repos\stackforge\kolla\tests\playbooks\post.yml,stackforge_kolla,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\kolla\tests\playbooks\pre.yml,stackforge_kolla,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\kolla\tests\playbooks\publish.yml,stackforge_kolla,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\kolla\tests\playbooks\run.yml,stackforge_kolla,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\kolla\tests\vars\zuul.yml,stackforge_kolla,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\kolla\tests\clients.py,stackforge_kolla,0.0,0.0,0.0,1.0,1.0
C:\mined_repos\stackforge\kolla\tests\test_keystone.py,stackforge_kolla,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\kolla\tests\test_set_config.py,stackforge_kolla,0.0,0.0,10.0,1.0,1.0
C:\mined_repos\stackforge\kolla\tests\__init__.py,stackforge_kolla,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\kolla\tests\files\process_build_logs.py,stackforge_kolla,0.0,0.0,0.0,1.0,1.0
C:\mined_repos\stackforge\kolla\kolla\tests\base.py,stackforge_kolla,0.0,0.0,0.0,2.0,1.0
C:\mined_repos\stackforge\kolla\kolla\tests\test_build.py,stackforge_kolla,0.0,0.0,17.0,17.0,1.0
C:\mined_repos\stackforge\kolla\kolla\tests\test_hacking.py,stackforge_kolla,0.0,0.0,2.0,0.0,1.0
C:\mined_repos\stackforge\kolla\kolla\tests\test_methods.py,stackforge_kolla,0.0,0.0,0.0,4.0,1.0
C:\mined_repos\stackforge\kolla\kolla\tests\__init__.py,stackforge_kolla,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\kolla\kolla\tests\common\test_config.py,stackforge_kolla,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\kolla\kolla\tests\common\__init__.py,stackforge_kolla,0.0,0.0,0.0,0.0,1.0
