file_name,project_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
C:\mined_repos\stackforge\os-ansible-deployment\tests\bootstrap-aio.yml,stackforge_os-ansible-deployment,0.0,1.0,1.0,0.0,1.0
C:\mined_repos\stackforge\os-ansible-deployment\tests\test-vars-overrides.yml,stackforge_os-ansible-deployment,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\os-ansible-deployment\tests\roles\bootstrap-host\defaults\main.yml,stackforge_os-ansible-deployment,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\os-ansible-deployment\tests\roles\bootstrap-host\files\user_variables_proxy.yml,stackforge_os-ansible-deployment,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\os-ansible-deployment\tests\roles\bootstrap-host\handlers\main.yml,stackforge_os-ansible-deployment,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\os-ansible-deployment\tests\roles\bootstrap-host\tasks\check-requirements.yml,stackforge_os-ansible-deployment,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\os-ansible-deployment\tests\roles\bootstrap-host\tasks\detect_data_disk_device.yml,stackforge_os-ansible-deployment,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\os-ansible-deployment\tests\roles\bootstrap-host\tasks\gather_nodepool_vars.yml,stackforge_os-ansible-deployment,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\os-ansible-deployment\tests\roles\bootstrap-host\tasks\install_packages.yml,stackforge_os-ansible-deployment,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\os-ansible-deployment\tests\roles\bootstrap-host\tasks\main.yml,stackforge_os-ansible-deployment,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\os-ansible-deployment\tests\roles\bootstrap-host\tasks\prepare_aio_config.yml,stackforge_os-ansible-deployment,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\os-ansible-deployment\tests\roles\bootstrap-host\tasks\prepare_ceph.yml,stackforge_os-ansible-deployment,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\os-ansible-deployment\tests\roles\bootstrap-host\tasks\prepare_data_disk.yml,stackforge_os-ansible-deployment,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\os-ansible-deployment\tests\roles\bootstrap-host\tasks\prepare_hostname.yml,stackforge_os-ansible-deployment,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\os-ansible-deployment\tests\roles\bootstrap-host\tasks\prepare_loopback_btrfs.yml,stackforge_os-ansible-deployment,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\os-ansible-deployment\tests\roles\bootstrap-host\tasks\prepare_loopback_cinder.yml,stackforge_os-ansible-deployment,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\os-ansible-deployment\tests\roles\bootstrap-host\tasks\prepare_loopback_machines.yml,stackforge_os-ansible-deployment,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\os-ansible-deployment\tests\roles\bootstrap-host\tasks\prepare_loopback_manila.yml,stackforge_os-ansible-deployment,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\os-ansible-deployment\tests\roles\bootstrap-host\tasks\prepare_loopback_nova.yml,stackforge_os-ansible-deployment,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\os-ansible-deployment\tests\roles\bootstrap-host\tasks\prepare_loopback_swap.yml,stackforge_os-ansible-deployment,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\os-ansible-deployment\tests\roles\bootstrap-host\tasks\prepare_loopback_swift.yml,stackforge_os-ansible-deployment,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\os-ansible-deployment\tests\roles\bootstrap-host\tasks\prepare_loopback_zfs.yml,stackforge_os-ansible-deployment,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\os-ansible-deployment\tests\roles\bootstrap-host\tasks\prepare_networking.yml,stackforge_os-ansible-deployment,0.0,0.0,0.0,0.0,0.0
C:\mined_repos\stackforge\os-ansible-deployment\tests\roles\bootstrap-host\tasks\prepare_squid.yml,stackforge_os-ansible-deployment,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\os-ansible-deployment\tests\roles\bootstrap-host\tasks\prepare_ssh_keys.yml,stackforge_os-ansible-deployment,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\os-ansible-deployment\tests\roles\bootstrap-host\vars\debian.yml,stackforge_os-ansible-deployment,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\os-ansible-deployment\tests\roles\bootstrap-host\vars\main.yml,stackforge_os-ansible-deployment,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\os-ansible-deployment\tests\roles\bootstrap-host\vars\redhat-8.yml,stackforge_os-ansible-deployment,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\os-ansible-deployment\tests\roles\bootstrap-host\vars\redhat.yml,stackforge_os-ansible-deployment,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\os-ansible-deployment\tests\roles\bootstrap-host\vars\suse.yml,stackforge_os-ansible-deployment,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\os-ansible-deployment\tests\test_dictutils.py,stackforge_os-ansible-deployment,0.0,0.0,7.0,0.0,1.0
C:\mined_repos\stackforge\os-ansible-deployment\tests\test_filesystem.py,stackforge_os-ansible-deployment,0.0,0.0,2.0,6.0,0.0
C:\mined_repos\stackforge\os-ansible-deployment\tests\test_inventory.py,stackforge_os-ansible-deployment,0.0,0.0,17.0,11.0,0.0
C:\mined_repos\stackforge\os-ansible-deployment\tests\test_ip.py,stackforge_os-ansible-deployment,0.0,0.0,7.0,0.0,1.0
C:\mined_repos\stackforge\os-ansible-deployment\tests\test_manage.py,stackforge_os-ansible-deployment,0.0,0.0,1.0,1.0,0.0
