file_name,project_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
C:\mined_repos\stackforge\packstack\tests\__init__.py,stackforge_packstack,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\packstack\tests\installer\test_arch.py,stackforge_packstack,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\packstack\tests\installer\test_drones.py,stackforge_packstack,0.0,0.0,1.0,15.0,0.0
C:\mined_repos\stackforge\packstack\tests\installer\test_processors.py,stackforge_packstack,0.0,0.0,0.0,1.0,1.0
C:\mined_repos\stackforge\packstack\tests\installer\test_run_setup.py,stackforge_packstack,0.0,0.0,0.0,3.0,0.0
C:\mined_repos\stackforge\packstack\tests\installer\test_sequences.py,stackforge_packstack,0.0,0.0,1.0,0.0,0.0
C:\mined_repos\stackforge\packstack\tests\installer\test_setup_params.py,stackforge_packstack,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\stackforge\packstack\tests\installer\test_utils.py,stackforge_packstack,0.0,0.0,4.0,0.0,0.0
C:\mined_repos\stackforge\packstack\tests\installer\test_validators.py,stackforge_packstack,0.0,0.0,2.0,4.0,0.0
C:\mined_repos\stackforge\packstack\tests\installer\__init__.py,stackforge_packstack,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\packstack\tests\modules\test_ospluginutils.py,stackforge_packstack,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\packstack\tests\modules\test_puppet.py,stackforge_packstack,0.0,0.0,1.0,4.0,1.0
C:\mined_repos\stackforge\packstack\tests\modules\__init__.py,stackforge_packstack,0.0,0.0,0.0,0.0,1.0
